t,valid,conf,lat_mm,head_deg,bandas,contraste,larg_mm,vx,wz,odom_vx,odom_vy,odom_wz,volts,servo,f_valid,f_conf,f_lat_mm,f_head_deg,f_curv,f_curv_ok,f_bandas,fl,fr,rl,rr
0.001,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0,0.0,0.0,0.0,0.0,11.9,0.25,1,0.909,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.001,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0,0.0,0.0,0.0,0.0,11.9,0.25,1,0.909,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.001,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0,0.0,0.0,0.0,0.0,11.9,0.25,1,0.909,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.001,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0,0.0,0.0,0.0,0.0,11.9,0.25,1,0.909,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.002,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0,0.0,0.0,0.0,0.0,11.9,0.25,1,0.909,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.003,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0,0.0,0.0,0.0,0.0,11.9,0.25,1,0.909,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.003,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0,0.0,0.0,0.0,0.0,11.9,0.25,1,0.909,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.003,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0,0.0,0.0,0.0,0.0,11.9,0.25,1,0.909,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.004,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0,0.0,0.0,0.0,0.0,11.9,0.25,1,0.909,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.004,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0,0.0,0.0,0.0,0.0,11.9,0.25,1,0.909,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.004,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0,0.0,0.0,0.0,0.0,11.9,0.25,1,0.909,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.005,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0,0.0,0.0,0.0,0.0,11.9,0.25,1,0.909,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.026,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0,0.0,0.0,0.0,0.0,11.9,0.25,1,0.909,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.028,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0,0.0,0.0,0.0,0.0,11.9,0.25,1,0.909,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.033,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0,0.0,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.038,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0,0.0,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.039,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0,0.0,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.039,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0,0.0,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.04,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0,0.0,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.043,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0,0.0,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.045,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0068,0.0315,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.064,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0068,0.0315,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.13,0.057,1,5,0.0,0.0,0.0,0.0
0.067,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0138,0.0315,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.13,0.057,1,5,0.0,0.0,0.0,0.0
0.088,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0209,0.0315,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.13,0.057,1,5,0.0,0.0,0.0,0.0
0.088,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0209,0.0315,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.13,0.057,1,5,0.0,0.0,0.0,0.0
0.106,1,0.939,-1.57,-0.99,5,83.0,19.93,0.0278,0.0315,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.13,0.057,1,5,0.0,0.0,0.0,0.0
0.111,1,0.938,-1.57,-0.71,5,83.0,19.93,0.0278,0.0315,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.13,0.057,1,5,0.0,0.0,0.0,0.0
0.126,1,0.938,-1.57,-0.71,5,83.0,19.93,0.0348,0.0266,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.13,0.057,1,5,0.0,0.0,0.0,0.0
0.135,1,0.938,-1.57,-0.71,5,83.0,19.93,0.0348,0.0266,0.0,0.0,0.0,11.9,0.25,1,0.909,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.142,1,0.939,-1.57,-0.99,5,82.9,19.93,0.0348,0.0266,0.0,0.0,0.0,11.9,0.25,1,0.909,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.145,1,0.939,-1.57,-0.99,5,82.9,19.93,0.0418,0.0315,0.0,0.0,0.0,11.9,0.25,1,0.909,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.166,1,0.939,-1.57,-0.99,5,82.9,19.93,0.0418,0.0315,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.167,1,0.939,-1.57,-0.99,5,82.9,19.93,0.0489,0.0315,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.186,1,0.939,-1.57,-0.99,5,82.9,19.93,0.0559,0.0315,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.206,1,0.939,-1.57,-0.99,5,82.9,19.93,0.0628,0.0315,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.21,1,0.939,-1.57,-1.0,5,82.9,19.93,0.0628,0.0315,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.226,1,0.939,-1.57,-1.0,5,82.9,19.93,0.0698,0.0315,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.234,1,0.939,-1.57,-1.0,5,82.9,19.93,0.0698,0.0315,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.238,1,0.939,-1.57,-1.0,5,82.9,19.93,0.0698,0.0315,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.239,1,0.939,-1.57,-1.0,5,82.9,19.93,0.0698,0.0315,0.0,0.0,0.0,11.9,0.25,1,0.91,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
0.239,1,0.939,-1.57,-1.0,5,82.9,19.93,0.0698,0.0315,0.0,0.0,0.0,11.9,-0.07,1,0.91,-4.5,-0.32,-0.017,1,5,0.0,0.0,0.0,0.0
