t,valid,conf,lat_mm,head_deg,bandas,contraste,larg_mm,vx,wz,odom_vx,odom_vy,odom_wz,x_m,y_m,yaw_deg,volts,perfil,servo,f_valid,f_conf,f_lat_mm,f_head_deg,f_curv,f_curv_ok,f_bandas,fl,fr,rl,rr
0.064,1,0.775,-0.5,-0.86,5,76.4,20.56,0.035,0.0194,0.004,0.0,0.0,1.777,-1.08,-68.87,11.59,2,-0.08,1,0.843,13.57,8.3,0.802,1,5,0.0037,0.0056,0.0037,0.0037
0.099,1,0.775,-0.5,-0.85,5,76.4,20.56,0.0489,0.0195,0.006,0.0,0.005,1.778,-1.08,-68.87,11.59,2,-0.08,1,0.839,13.57,8.78,-0.053,1,5,0.0056,0.0074,0.0056,0.0056
0.164,1,0.773,-0.5,-1.2,5,76.2,20.96,0.07,0.0194,0.01,0.001,0.05,1.778,-1.081,-68.93,11.59,2,0.51,1,0.845,13.09,8.31,0.526,1,5,0.0074,0.0093,0.013,0.0111
0.265,1,0.785,-0.5,-1.15,5,75.4,20.96,0.105,0.0254,0.049,-0.002,-0.005,1.78,-1.085,-68.93,11.59,2,0.51,1,0.83,9.69,2.64,0.875,1,5,0.0538,0.0464,0.0482,0.0482
0.365,1,0.785,-0.5,-0.58,5,75.8,20.56,0.14,0.0298,0.095,0.0,0.012,1.783,-1.094,-68.87,11.59,2,2.52,1,0.812,10.66,6.35,7.725,1,5,0.0923,0.0941,0.096,0.096
0.463,1,0.79,-0.25,-0.75,5,76.7,20.56,0.1386,0.0171,0.135,0.002,-0.058,1.788,-1.107,-68.98,11.59,2,2.52,1,0.799,8.72,10.43,0.0,0,5,0.1298,0.1372,0.1372,0.1372
0.498,1,0.78,-0.5,-0.47,5,76.8,20.56,0.1444,0.0183,0.14,0.001,-0.016,1.789,-1.109,-69.04,11.59,2,2.52,1,0.786,4.85,8.89,0.0,0,5,0.1372,0.1391,0.1428,0.1409
0.564,1,0.794,0.25,-0.67,5,75.3,20.81,0.12,0.0137,0.15,-0.001,-0.019,1.793,-1.121,-68.81,11.6,2,4.9,1,0.819,5.82,5.83,0.0,0,5,0.1502,0.1447,0.1502,0.1484
0.598,1,0.802,0.5,-0.73,5,75.6,20.81,0.1269,0.0088,0.152,-0.0,-0.012,1.795,-1.123,-68.87,11.6,2,4.9,1,0.804,3.88,6.92,0.0,0,5,0.1502,0.1521,0.1502,0.1539
0.763,1,0.845,1.0,-1.22,5,76.6,20.56,0.1667,0.0134,0.156,0.0,-0.042,1.805,-1.149,-68.98,11.6,2,5.55,1,0.807,2.91,17.85,0.0,0,5,0.1539,0.1484,0.1558,0.1539
0.791,1,0.814,3.24,-3.35,5,75.6,20.56,0.1735,0.0208,0.161,0.001,-0.002,1.806,-1.152,-68.98,11.6,2,5.55,1,0.807,2.91,17.85,0.0,0,5,0.1574,0.1556,0.1686,0.1612
0.861,1,0.782,4.74,-4.6,5,73.9,20.44,0.1931,0.061,0.174,0.002,-0.009,1.81,-1.162,-69.04,11.6,2,5.55,1,0.811,2.91,24.32,0.0,0,5,0.1723,0.1741,0.1778,0.1723
0.963,1,0.873,3.99,-1.53,5,75.1,20.0,0.1323,0.0496,0.196,0.005,-0.016,1.819,-1.184,-68.81,11.6,2,5.23,1,0.828,4.85,38.0,0.0,0,5,0.179,0.2067,0.1956,0.203
1.064,1,0.844,3.74,-0.65,5,73.3,20.44,0.12,-0.0069,0.187,0.004,-0.071,1.826,-1.201,-68.58,11.6,2,5.23,1,0.807,3.88,44.88,0.0,0,5,0.1741,0.1926,0.1889,0.1908
1.163,1,0.838,7.24,-2.82,5,74.3,20.44,0.12,-0.0209,0.163,0.007,-0.003,1.832,-1.216,-68.75,11.6,2,12.94,1,0.771,-6.3,36.5,0.0,0,5,0.1574,0.1704,0.1686,0.1537
1.233,1,0.842,6.74,-1.82,5,74.3,20.56,0.12,-0.0188,0.151,0.004,-0.114,1.836,-1.224,-68.75,11.6,2,12.94,1,0.802,-10.18,30.09,0.0,0,5,0.1539,0.1409,0.1688,0.1391
1.261,1,0.863,4.74,-0.65,5,74.9,20.46,0.12,-0.0292,0.151,0.005,-0.158,1.837,-1.227,-68.93,11.6,2,12.94,1,0.806,-9.21,31.03,0.0,0,5,0.1521,0.1409,0.1706,0.1391
1.292,1,0.855,6.49,-2.05,5,74.6,20.44,0.12,-0.0261,0.144,0.008,-0.103,1.839,-1.232,-69.1,11.6,2,12.94,1,0.806,-9.21,31.03,0.0,0,5,0.1465,0.1391,0.1651,0.1243
1.458,1,0.832,4.99,5.16,5,74.6,22.04,0.12,-0.0196,0.119,0.006,-0.07,1.847,-1.25,-69.61,11.6,2,17.08,1,0.827,-7.27,26.44,0.0,0,5,0.1211,0.1082,0.1413,0.1064
1.564,1,0.842,3.74,11.44,5,75.6,21.42,0.12,-0.1417,0.11,0.006,-0.056,1.853,-1.262,-70.07,11.59,2,18.98,1,0.777,-4.36,33.5,0.0,0,5,0.1106,0.1069,0.1253,0.0959
1.591,1,0.849,3.74,13.04,5,75.8,21.42,0.12,-0.2465,0.11,0.006,-0.112,1.853,-1.265,-70.19,11.59,2,18.98,1,0.777,-4.36,33.5,0.0,0,5,0.1144,0.1015,0.1292,0.0941
1.662,1,0.841,4.74,14.99,5,75.5,21.67,0.12,-0.2807,0.112,0.001,-0.189,1.856,-1.271,-70.65,11.59,2,18.98,1,0.783,-13.57,30.66,0.0,0,5,0.1324,0.0901,0.1361,0.0883
1.693,1,0.856,2.25,16.94,5,74.9,21.42,0.12,-0.331,0.111,0.004,-0.198,1.858,-1.275,-71.05,11.59,2,18.98,1,0.783,-13.57,30.66,0.0,0,5,0.1359,0.0863,0.1433,0.079
1.765,1,0.865,0.0,18.37,5,74.7,21.02,0.12,-0.3404,0.113,0.012,-0.28,1.86,-1.281,-71.91,11.59,2,31.22,1,0.802,-25.2,24.56,0.0,0,5,0.1369,0.0888,0.161,0.0666
1.829,1,0.871,0.75,17.14,5,74.7,21.42,0.12,-0.3444,0.119,0.012,-0.303,1.863,-1.288,-72.82,11.59,2,31.22,1,0.749,-33.93,26.06,0.0,0,5,0.1502,0.0853,0.1762,0.0631
1.86,1,0.863,0.75,16.31,5,74.0,21.11,0.12,-0.3323,0.119,0.01,-0.347,1.864,-1.29,-73.22,11.59,2,31.22,1,0.775,-36.35,22.46,0.0,0,5,0.155,0.0802,0.1787,0.0638
1.93,1,0.87,0.75,15.78,5,73.5,21.02,0.12,-0.3176,0.116,0.009,-0.298,1.867,-1.299,-74.71,11.6,2,34.96,1,0.789,-41.2,25.96,0.0,0,5,0.1586,0.0675,0.1823,0.0547
1.961,1,0.852,0.25,14.66,5,72.3,21.42,0.12,-0.3078,0.114,0.008,-0.313,1.869,-1.303,-75.4,11.6,2,34.96,1,0.809,-42.17,28.84,0.0,0,5,0.1576,0.0649,0.1836,0.0538
2.062,1,0.857,-0.5,12.97,5,72.3,20.96,0.12,-0.2817,0.113,0.001,-0.284,1.871,-1.314,-77.12,11.6,2,34.96,1,0.803,-43.14,37.34,0.0,0,5,0.1613,0.0575,0.1706,0.0631
2.163,1,0.825,-1.75,10.86,5,71.9,21.02,0.12,-0.2422,0.116,0.002,-0.219,1.874,-1.326,-78.61,11.6,2,33.35,1,0.769,-47.01,41.35,0.0,0,5,0.1632,0.0742,0.1613,0.0649
2.261,1,0.84,-2.5,9.56,5,71.6,20.96,0.12,-0.1899,0.114,0.006,-0.26,1.876,-1.334,-79.58,11.6,2,33.35,1,0.825,-43.62,52.48,0.0,0,5,0.1502,0.0816,0.1576,0.0668
2.36,1,0.831,-2.75,7.89,5,70.7,20.56,0.12,-0.1586,0.113,-0.001,-0.189,1.878,-1.346,-80.73,11.6,2,32.42,1,0.678,-39.26,58.8,0.0,0,5,0.1428,0.0779,0.1465,0.0853
2.398,1,0.842,-2.75,7.9,5,70.9,20.56,0.12,-0.1244,0.115,-0.002,-0.136,1.879,-1.35,-81.07,11.6,2,32.42,1,0.743,-41.2,56.63,0.0,0,5,0.1465,0.0816,0.1428,0.0872
2.464,1,0.843,-3.24,7.3,5,71.7,20.46,0.12,-0.1255,0.12,0.003,-0.145,1.881,-1.36,-81.76,11.6,2,32.42,1,0.826,-39.74,53.71,0.0,0,5,0.1391,0.0983,0.1484,0.0946
2.557,1,0.666,-3.24,5.61,4,69.8,20.51,0.12,-0.1094,0.121,0.001,-0.177,1.882,-1.369,-82.39,11.59,2,34.52,1,0.818,-33.93,53.57,0.0,0,5,0.1521,0.1039,0.1391,0.0872
2.628,1,0.792,-3.24,11.94,5,69.6,20.46,0.12,-0.0775,0.119,0.0,-0.086,1.883,-1.379,-82.91,11.59,2,34.52,1,0.812,-29.57,49.07,0.0,0,5,0.1354,0.0964,0.1428,0.102
2.657,1,0.737,-3.24,13.83,5,69.6,21.11,0.12,-0.1989,0.119,0.003,-0.091,1.884,-1.381,-83.02,11.59,2,34.52,1,0.812,-29.57,49.07,0.0,0,5,0.1298,0.0964,0.1465,0.102
2.761,1,0.654,-3.74,20.97,5,70.1,21.11,0.12,-0.2353,0.124,-0.006,-0.115,1.885,-1.396,-83.77,11.59,2,39.16,1,0.795,-23.27,45.46,0.0,0,5,0.1419,0.0959,0.1383,0.1124
2.829,1,0.532,-4.74,30.36,5,69.0,29.19,0.12,-0.3663,0.126,0.003,-0.219,1.886,-1.403,-84.34,11.59,2,39.16,1,0.809,-25.69,32.03,0.0,0,5,0.1558,0.102,0.1558,0.089
2.855,1,0.561,-5.49,31.46,5,67.9,28.61,0.12,-0.4832,0.125,0.001,-0.228,1.886,-1.406,-84.63,11.59,2,39.16,1,0.809,-25.69,32.03,0.0,0,5,0.1558,0.0946,0.1576,0.0909
2.929,1,0.452,-7.74,36.27,4,60.9,24.98,0.12,-0.5488,0.125,-0.005,-0.326,1.887,-1.416,-86.06,11.59,2,45.0,1,0.81,-24.72,19.07,0.0,0,5,0.1745,0.0643,0.1763,0.0845
2.956,1,0.187,1.85,41.59,3,67.8,29.45,0.12,-0.6135,0.128,-0.004,-0.389,1.887,-1.419,-86.46,11.59,2,45.0,1,0.81,-24.72,19.07,0.0,0,5,0.1837,0.0606,0.1873,0.079
3.029,1,0.493,-5.74,41.18,4,71.5,25.16,0.12,-0.7273,0.134,-0.006,-0.486,1.887,-1.43,-88.64,11.59,2,45.0,1,0.784,-23.75,10.46,0.0,0,5,0.2173,0.046,0.2117,0.0626
3.055,1,0.665,-8.24,42.6,5,72.2,26.45,0.12,-0.7229,0.133,-0.006,-0.538,1.887,-1.432,-89.21,11.59,2,45.0,1,0.784,-23.75,10.46,0.0,0,5,0.2228,0.0423,0.2136,0.0552
3.097,1,0.703,-6.99,41.79,5,74.5,26.95,0.12,-0.727,0.134,-0.001,-0.604,1.887,-1.438,-90.58,11.59,2,45.0,1,0.767,-23.75,2.81,0.0,0,5,0.232,0.035,0.232,0.0387
3.128,1,0.721,-6.24,40.77,5,75.7,26.45,0.12,-0.7273,0.13,0.003,-0.654,1.887,-1.443,-92.19,11.59,2,45.0,1,0.748,-25.2,-1.59,0.0,0,5,0.2396,0.0221,0.2433,0.0147
3.16,1,0.723,-5.49,39.84,5,76.7,25.95,0.12,-0.7217,0.129,0.002,-0.673,1.887,-1.445,-92.93,11.59,2,45.0,1,0.754,-26.17,-6.66,0.0,0,5,0.247,0.0166,0.247,0.0074
3.256,1,0.802,-5.74,37.34,5,76.9,25.31,0.12,-0.713,0.125,0.004,-0.716,1.886,-1.458,-97.0,11.59,2,45.0,1,0.756,-30.05,-17.83,0.0,0,5,0.243,0.0074,0.2504,0.0
3.33,1,0.83,-5.49,34.52,5,76.2,24.45,0.12,-0.6622,0.124,0.0,-0.689,1.885,-1.468,-100.1,11.59,2,45.0,1,0.755,-36.84,-31.57,0.0,0,5,0.243,0.0,0.2485,0.0037
3.355,1,0.836,-5.99,33.23,5,76.1,23.96,0.12,-0.6114,0.124,0.001,-0.688,1.884,-1.47,-100.96,11.59,2,45.0,1,0.755,-36.84,-31.57,0.0,0,5,0.2419,0.0,0.251,0.0037
3.429,1,0.84,-6.99,32.0,5,76.0,24.52,0.12,-0.5808,0.12,0.003,-0.659,1.882,-1.48,-103.99,11.59,2,45.0,1,0.762,-43.62,-42.93,0.0,0,5,0.234,0.0037,0.2431,0.0
3.461,1,0.837,-7.74,31.48,5,75.8,23.94,0.12,-0.5459,0.12,0.005,-0.665,1.882,-1.482,-104.74,11.59,2,45.0,1,0.753,-46.53,-46.07,0.0,0,5,0.2294,0.0111,0.2387,0.0
3.561,1,0.829,-8.24,27.28,5,76.6,22.78,0.1203,-0.5318,0.122,0.006,-0.526,1.878,-1.496,-108.52,11.58,2,42.0,1,0.729,-50.89,-51.31,0.0,0,5,0.2151,0.0297,0.2263,0.0204
3.628,1,0.807,-8.98,26.17,5,75.8,25.31,0.1415,-0.527,0.121,0.005,-0.475,1.876,-1.503,-110.41,11.58,2,42.0,1,0.666,-49.92,-53.83,0.0,0,5,0.2059,0.0334,0.2188,0.026
3.657,1,0.822,-9.23,24.52,5,75.7,22.22,0.1482,-0.5166,0.122,0.005,-0.451,1.875,-1.506,-110.92,11.58,2,42.0,1,0.666,-49.92,-53.83,0.0,0,5,0.207,0.037,0.2162,0.0277
3.697,1,0.808,-9.73,23.34,5,75.3,22.22,0.1693,-0.5426,0.129,0.003,-0.495,1.873,-1.511,-112.01,11.58,2,42.0,1,0.652,-44.59,-49.28,0.0,0,5,0.2125,0.0462,0.218,0.0407
3.727,1,0.794,-10.23,22.38,5,74.9,22.22,0.1765,-0.527,0.14,0.0,-0.507,1.871,-1.516,-113.16,11.58,2,30.0,1,0.682,-42.65,-48.2,0.0,0,5,0.2236,0.0554,0.2254,0.0554
3.76,1,0.793,-10.73,21.56,5,74.7,21.67,0.1526,-0.4313,0.145,-0.0,-0.428,1.87,-1.519,-113.62,11.58,2,30.0,1,0.686,-41.68,-47.4,0.0,0,5,0.2318,0.0593,0.23,0.0593
3.856,1,0.737,-12.48,18.93,5,73.4,22.77,0.1613,-0.4325,0.162,-0.004,-0.45,1.863,-1.534,-116.48,11.58,2,30.0,1,0.621,-33.44,-39.1,0.0,0,5,0.243,0.0779,0.2392,0.089
3.929,1,0.725,-12.73,18.3,5,73.1,25.11,0.1576,-0.3407,0.167,0.001,-0.359,1.857,-1.546,-118.2,11.58,2,18.0,1,0.671,-28.11,-31.51,0.0,0,5,0.2347,0.0998,0.2365,0.0961
3.957,1,0.709,-13.23,18.38,5,72.8,26.86,0.1525,-0.3126,0.167,0.001,-0.393,1.855,-1.549,-118.66,11.58,2,18.0,1,0.671,-28.11,-31.51,0.0,0,5,0.231,0.1035,0.2328,0.0998
3.995,1,0.72,-13.23,17.02,5,72.9,25.69,0.1596,-0.3253,0.164,0.003,-0.276,1.852,-1.554,-119.4,11.58,2,18.0,1,0.64,-24.23,-17.08,0.0,0,5,0.2236,0.1109,0.2217,0.0979
4.026,1,0.716,-13.73,16.9,5,72.6,25.69,0.1737,-0.3234,0.161,-0.001,-0.268,1.849,-1.56,-120.03,11.58,2,18.0,1,0.555,-19.39,-13.35,0.0,0,5,0.2204,0.1074,0.2112,0.1037
4.055,1,0.704,-14.23,17.06,5,72.5,24.26,0.1805,-0.328,0.161,-0.002,-0.325,1.847,-1.563,-120.38,11.58,2,18.0,1,0.555,-19.39,-13.35,0.0,0,5,0.2204,0.1056,0.2112,0.1056
4.095,1,0.687,-14.72,14.72,5,72.3,22.77,0.1946,-0.3551,0.163,-0.008,-0.272,1.843,-1.568,-121.12,11.58,2,18.0,1,0.557,-14.06,-0.83,0.0,0,5,0.2204,0.1,0.2093,0.1223
4.126,1,0.685,-15.22,13.68,5,70.8,21.11,0.1893,-0.2749,0.17,-0.01,-0.311,1.839,-1.574,-121.81,11.58,2,6.0,1,0.555,-10.66,5.0,0.0,0,5,0.2294,0.1055,0.2146,0.1295
4.162,1,0.679,-15.72,12.96,5,69.4,21.11,0.1653,-0.2027,0.175,-0.009,-0.309,1.837,-1.577,-122.15,11.58,2,6.0,1,0.578,-9.69,9.78,0.0,0,5,0.235,0.111,0.2202,0.1332
4.257,1,0.626,-16.22,11.39,5,67.7,21.11,0.123,-0.1099,0.187,-0.002,-0.185,1.826,-1.593,-123.59,11.58,2,6.0,1,0.534,-0.48,27.14,0.0,0,5,0.2427,0.1426,0.2278,0.1352
4.294,1,0.603,-16.72,11.51,5,67.7,21.6,0.12,-0.0683,0.182,-0.002,-0.295,1.822,-1.599,-124.27,11.58,2,6.0,1,0.553,3.39,34.96,0.0,0,5,0.2278,0.1389,0.2204,0.1389
4.325,1,0.587,-17.47,10.52,5,68.2,21.11,0.12,-0.0661,0.179,-0.003,-0.256,1.82,-1.601,-124.56,11.58,2,6.0,1,0.584,5.82,40.6,0.0,0,5,0.2188,0.1335,0.2188,0.1447
4.357,1,0.628,-17.22,10.66,5,68.2,21.02,0.12,-0.0396,0.168,-0.007,-0.112,1.816,-1.606,-124.96,11.57,2,-2.62,1,0.584,5.82,40.6,0.0,0,5,0.2002,0.1139,0.2075,0.1488
4.425,1,0.263,-15.82,13.35,4,72.3,21.1,0.12,-0.0473,0.155,0.001,-0.054,1.809,-1.617,-125.54,11.57,2,-2.62,1,0.615,7.76,42.17,0.0,0,5,0.1779,0.1357,0.1779,0.1302
4.46,1,0.272,-15.82,13.71,4,73.2,21.1,0.12,-0.0935,0.151,0.001,-0.119,1.808,-1.619,-125.65,11.57,2,-2.62,1,0.626,7.76,40.18,0.0,0,5,0.1741,0.1371,0.1667,0.1241
4.528,1,0.66,-16.97,8.29,5,71.6,21.11,0.12,-0.0983,0.134,-0.008,-0.022,1.801,-1.627,-126.11,11.57,2,-2.62,1,0.604,1.45,34.35,0.0,0,5,0.1548,0.1106,0.1419,0.129
4.595,1,0.69,-16.47,8.08,5,71.3,21.11,0.12,-0.0039,0.124,-0.002,0.001,1.796,-1.633,-126.11,11.57,2,5.33,1,0.556,-4.85,24.35,0.0,0,5,0.1267,0.1047,0.1377,0.1249
4.625,1,0.696,-15.97,8.86,5,71.2,21.1,0.12,-0.0068,0.118,0.001,-0.007,1.794,-1.637,-126.11,11.57,2,5.33,1,0.558,-4.85,18.92,0.0,0,5,0.1175,0.1157,0.1231,0.1175
4.661,1,0.704,-15.47,9.71,5,71.5,21.1,0.12,-0.0275,0.118,0.002,-0.036,1.793,-1.639,-126.17,11.57,2,5.33,1,0.569,-4.85,18.41,0.0,0,5,0.1168,0.1243,0.1168,0.115
4.725,1,0.718,-14.47,9.71,5,71.5,20.56,0.12,-0.0486,0.113,-0.003,-0.022,1.788,-1.644,-126.22,11.57,2,5.33,1,0.553,-3.88,18.82,0.0,0,5,0.1205,0.1187,0.102,0.1113
4.762,1,0.734,-13.98,9.36,5,71.7,21.1,0.12,-0.0595,0.11,-0.004,-0.022,1.787,-1.645,-126.22,11.57,2,7.67,1,0.56,-4.85,17.3,0.0,0,5,0.1185,0.113,0.1,0.1093
4.825,1,0.713,-13.23,9.37,5,72.4,21.02,0.12,-0.0565,0.104,-0.001,0.022,1.782,-1.652,-126.11,11.57,2,7.67,1,0.549,-7.27,11.39,0.0,0,5,0.0997,0.0997,0.107,0.1107
4.924,1,0.739,-12.73,10.49,5,72.9,21.11,0.12,-0.0622,0.106,0.001,-0.072,1.776,-1.661,-126.28,11.57,2,7.67,1,0.54,-7.76,10.41,-5.583,1,5,0.1061,0.1061,0.108,0.1025
4.962,1,0.76,-12.48,9.08,5,72.8,21.02,0.12,-0.089,0.105,-0.002,-0.066,1.773,-1.664,-126.51,11.57,2,8.74,1,0.532,-8.72,8.27,0.0,0,5,0.1113,0.102,0.1094,0.102
5.026,1,0.773,-11.98,8.95,5,72.3,20.57,0.12,-0.0633,0.106,-0.002,-0.049,1.769,-1.669,-126.62,11.57,2,8.74,1,0.549,-9.69,1.98,0.0,0,5,0.115,0.0946,0.1131,0.102
5.059,1,0.785,-11.98,8.79,5,72.9,21.1,0.12,-0.066,0.105,-0.002,-0.018,1.768,-1.671,-126.62,11.57,2,8.74,1,0.55,-9.69,1.25,7.997,1,5,0.1131,0.0946,0.1113,0.1001
5.124,1,0.82,-10.98,8.11,5,72.9,20.57,0.12,-0.0618,0.105,-0.002,-0.031,1.763,-1.678,-126.74,11.57,2,8.74,1,0.547,-8.72,-0.75,3.532,1,5,0.1094,0.0927,0.1094,0.1057
5.16,1,0.814,-10.73,7.74,5,73.0,21.02,0.12,-0.0599,0.107,-0.0,-0.008,1.762,-1.679,-126.74,11.57,2,7.82,1,0.548,-4.36,-6.54,0.0,0,5,0.1113,0.0983,0.115,0.1039
5.193,1,0.813,-10.23,7.89,5,72.6,21.02,0.12,-0.0554,0.113,0.001,-0.042,1.759,-1.683,-126.8,11.57,2,7.82,1,0.564,-6.3,-3.57,0.0,0,5,0.1187,0.1131,0.115,0.1039
5.228,1,0.806,-10.23,7.84,5,72.1,21.02,0.12,-0.0627,0.115,-0.001,-0.083,1.756,-1.687,-126.97,11.57,2,7.82,1,0.562,-6.79,-2.38,0.0,0,5,0.1261,0.115,0.1113,0.1057
5.26,1,0.802,-9.98,7.46,5,71.6,21.02,0.12,-0.0603,0.115,-0.003,-0.018,1.754,-1.688,-127.02,11.57,2,7.82,1,0.574,-7.76,-2.16,0.0,0,5,0.128,0.1113,0.1131,0.1094
5.325,1,0.796,-9.73,8.35,5,71.1,20.57,0.12,-0.0548,0.113,0.001,-0.018,1.749,-1.696,-127.14,11.57,2,7.82,1,0.585,-6.79,-3.71,0.0,0,5,0.115,0.102,0.1261,0.1094
5.362,1,0.786,-9.23,8.33,5,71.2,21.11,0.12,-0.0739,0.112,0.0,-0.043,1.746,-1.699,-127.2,11.56,2,6.59,1,0.588,-6.3,-4.83,0.0,0,5,0.1131,0.1001,0.1243,0.1094
5.423,1,0.801,-9.23,8.15,5,71.1,21.11,0.12,-0.0783,0.117,-0.001,-0.15,1.742,-1.705,-127.37,11.56,2,6.59,1,0.599,-3.88,1.57,0.0,0,5,0.1261,0.1113,0.1205,0.1094
5.459,1,0.802,-9.23,7.7,5,71.0,21.11,0.12,-0.0742,0.116,-0.002,-0.105,1.74,-1.707,-127.54,11.56,2,6.59,1,0.607,-4.85,2.01,5.216,1,5,0.1298,0.1094,0.1187,0.1076
5.492,1,0.806,-8.98,7.66,5,70.4,21.1,0.12,-0.0652,0.115,-0.001,-0.025,1.738,-1.71,-127.65,11.56,2,6.59,1,0.612,-4.85,1.29,3.031,1,5,0.1298,0.1094,0.1187,0.1039
5.527,1,0.811,-8.73,7.29,5,70.4,21.1,0.12,-0.0671,0.115,0.0,-0.045,1.735,-1.714,-127.77,11.56,2,6.59,1,0.613,-4.85,0.86,3.404,1,5,0.1224,0.102,0.128,0.1057
5.597,1,0.835,-8.98,7.0,5,70.7,20.57,0.12,-0.0619,0.114,-0.0,-0.047,1.731,-1.719,-127.94,11.56,2,7.0,1,0.616,-4.85,1.5,0.0,0,5,0.1187,0.1001,0.1261,0.1094
5.623,1,0.841,-8.73,6.0,5,70.6,21.02,0.12,-0.053,0.112,-0.005,0.007,1.728,-1.723,-128.0,11.56,2,7.0,1,0.615,-4.85,-0.57,7.024,1,5,0.1224,0.0946,0.1187,0.1113
5.658,1,0.856,-8.49,6.25,5,71.7,20.57,0.12,-0.0367,0.111,-0.004,-0.011,1.726,-1.724,-128.0,11.56,2,7.0,1,0.622,-3.88,1.06,0.0,0,5,0.1205,0.0964,0.1187,0.1094
5.724,1,0.868,-8.24,5.56,5,72.0,20.57,0.12,-0.044,0.117,0.0,-0.001,1.721,-1.732,-128.17,11.56,2,7.0,1,0.606,-2.42,-2.51,0.0,0,5,0.1223,0.1148,0.1185,0.1111
5.759,1,0.873,-7.99,5.62,5,72.4,20.57,0.12,-0.0336,0.118,0.0,-0.023,1.719,-1.734,-128.23,11.56,2,6.92,1,0.61,-2.91,-1.8,0.0,0,5,0.1223,0.1148,0.1204,0.113
5.823,1,0.879,-7.74,5.82,5,73.6,20.57,0.12,-0.0369,0.114,0.001,-0.025,1.714,-1.741,-128.34,11.56,2,6.92,1,0.617,-4.36,0.09,5.658,1,5,0.1168,0.1057,0.1243,0.1076
5.858,1,0.888,-7.74,5.57,5,73.7,20.56,0.12,-0.0432,0.113,0.0,-0.026,1.712,-1.743,-128.34,11.56,2,6.92,1,0.619,-4.36,-1.63,4.501,1,5,0.1187,0.1057,0.1205,0.1076
5.894,1,0.903,-7.49,4.59,5,74.1,20.56,0.12,-0.038,0.111,-0.004,-0.035,1.709,-1.746,-128.4,11.56,2,6.92,1,0.622,-3.88,-1.78,5.166,1,5,0.1205,0.1039,0.1113,0.1094
5.924,1,0.913,-7.24,3.87,5,74.5,20.46,0.12,-0.0221,0.112,-0.001,0.001,1.707,-1.75,-128.46,11.56,2,6.92,1,0.624,-3.88,-1.97,4.345,1,5,0.1187,0.1094,0.1113,0.1076
5.962,1,0.919,-6.99,4.06,5,74.7,20.04,0.12,-0.0106,0.115,0.001,-0.025,1.704,-1.753,-128.51,11.56,2,7.21,1,0.622,-3.88,-1.53,3.921,1,5,0.1168,0.1113,0.115,0.1076
6.024,1,0.929,-6.49,4.05,5,75.3,20.04,0.12,-0.0162,0.116,0.002,-0.031,1.699,-1.759,-128.57,11.56,2,7.21,1,0.621,-3.39,-2.42,2.444,1,5,0.1116,0.1135,0.1226,0.1171
6.123,1,0.937,-5.49,3.61,5,75.6,20.2,0.12,-0.0203,0.116,-0.001,0.022,1.692,-1.768,-128.63,11.56,2,7.21,1,0.628,-2.42,-2.38,0.63,1,5,0.1243,0.1168,0.1131,0.1113
6.224,1,0.936,-4.74,3.82,5,75.3,20.44,0.12,-0.0214,0.116,0.004,-0.002,1.685,-1.777,-128.69,11.56,2,7.15,1,0.628,-1.45,-3.12,-2.2,1,5,0.1122,0.114,0.125,0.1122
6.26,1,0.934,-4.49,3.83,5,75.1,20.2,0.12,-0.0336,0.115,0.003,-0.067,1.684,-1.779,-128.74,11.56,2,7.15,1,0.629,-1.45,-3.12,-2.075,1,5,0.1103,0.114,0.1232,0.114
6.324,1,0.937,-4.49,3.7,5,75.1,20.56,0.1271,-0.039,0.116,0.001,-0.031,1.678,-1.786,-128.92,11.56,2,7.15,1,0.631,-1.94,-2.95,2.066,1,5,0.1168,0.1131,0.1224,0.1131
6.423,1,0.925,-3.99,3.7,5,74.4,20.57,0.1621,-0.052,0.124,0.006,-0.118,1.67,-1.797,-129.14,11.55,2,6.85,1,0.649,-0.97,-6.72,-1.167,1,5,0.1254,0.1254,0.1343,0.1093
6.459,1,0.924,-3.99,3.03,5,74.2,20.44,0.1762,-0.064,0.127,0.006,-0.032,1.669,-1.799,-129.2,11.55,2,6.85,1,0.641,-1.45,-6.44,-1.243,1,5,0.128,0.128,0.1391,0.1131
6.524,1,0.921,-4.49,3.59,5,73.6,20.44,0.1971,-0.0526,0.147,0.001,-0.079,1.661,-1.808,-129.49,11.55,2,6.85,1,0.641,-1.94,-7.21,-3.005,1,5,0.1576,0.1409,0.1539,0.1335
6.558,1,0.921,-4.49,3.31,5,73.6,20.2,0.2112,-0.068,0.155,0.0,-0.057,1.659,-1.811,-129.6,11.55,2,5.49,1,0.636,-2.42,-8.43,-3.167,1,5,0.1669,0.1484,0.1632,0.1428
6.623,1,0.92,-4.49,2.9,5,73.5,20.56,0.1944,-0.0537,0.191,0.006,-0.069,1.649,-1.823,-129.95,11.55,2,5.49,1,0.647,-2.91,-8.3,-6.475,1,5,0.1947,0.1855,0.2077,0.1762
6.658,1,0.921,-4.49,2.64,5,73.6,20.44,0.1706,-0.0342,0.199,0.006,-0.056,1.646,-1.827,-130.0,11.55,2,5.49,1,0.636,-1.94,-9.23,0.798,1,5,0.2038,0.1945,0.2167,0.1815
