t,valid,conf,lat_mm,head_deg,bandas,contraste,larg_mm,vx,wz,odom_vx,odom_vy,odom_wz,x_m,y_m,yaw_deg,volts,perfil,servo,f_valid,f_conf,f_lat_mm,f_head_deg,f_curv,f_curv_ok,f_bandas,fl,fr,rl,rr
0.019,1,0.537,-5.74,0.27,3,78.0,20.46,0.0068,0.0415,0.0,0.0,0.0,-0.009,-0.0,1.15,11.77,1,-0.0,1,0.799,5.33,-0.46,-1.437,1,5,0.0,0.0,0.0,0.0
0.052,1,0.537,-5.74,0.27,3,78.0,20.46,0.021,0.0469,0.0,0.0,0.0,-0.009,-0.0,1.15,11.77,1,-0.0,1,0.8,5.33,-0.85,-0.243,1,5,0.0,0.0,0.0,0.0
0.084,1,0.587,-5.74,3.24,4,78.0,20.52,0.035,0.0469,0.001,0.0,0.0,-0.009,-0.0,1.15,11.77,1,-0.0,1,0.776,7.27,-1.78,2.209,1,5,0.0,0.0018,0.0018,0.0018
0.118,1,0.534,-5.74,0.27,3,78.1,20.46,0.0419,-0.0049,0.002,0.0,0.005,-0.009,-0.0,1.15,11.77,1,-0.0,1,0.776,7.27,-1.78,2.209,1,5,0.0,0.0037,0.0018,0.0037
0.152,1,0.537,-5.74,0.28,3,77.9,20.46,0.0561,0.0469,0.005,-0.0,0.014,-0.009,-0.0,1.2,11.77,1,-0.66,1,0.803,4.85,-0.03,-2.443,1,5,0.0018,0.0037,0.0055,0.0073
0.184,1,0.536,-5.74,0.36,3,78.1,20.04,0.07,0.0469,0.009,0.0,0.036,-0.008,-0.0,1.26,11.77,1,-0.66,1,0.796,5.33,-0.46,-1.439,1,5,0.0037,0.0073,0.011,0.0128
0.216,1,0.535,-5.74,0.36,3,78.4,20.04,0.0769,0.0454,0.013,0.001,0.019,-0.008,0.0,1.26,11.77,1,-0.66,1,0.796,5.33,-0.46,-1.439,1,5,0.011,0.011,0.0183,0.0128
0.252,1,0.536,-5.74,0.36,3,78.6,20.04,0.091,0.0454,0.026,0.0,-0.02,-0.006,-0.0,1.2,11.77,1,-0.66,1,0.808,5.33,0.06,-3.082,1,5,0.0276,0.0221,0.0294,0.0239
0.282,1,0.534,-5.74,0.36,3,78.8,20.04,0.0979,0.0454,0.042,0.0,0.01,-0.004,0.0,1.26,11.77,1,-0.66,1,0.817,5.33,0.55,-0.885,1,5,0.0349,0.0313,0.0368,0.0294
0.318,1,0.528,-5.74,0.37,3,78.9,20.04,0.1119,0.0452,0.051,-0.003,-0.006,-0.003,-0.0,1.26,11.77,1,-0.66,1,0.817,5.33,0.55,-0.885,1,5,0.0536,0.048,0.048,0.0554
