t,valid,conf,lat_mm,head_deg,bandas,contraste,larg_mm,vx,wz,odom_vx,odom_vy,odom_wz,x_m,y_m,yaw_deg,volts,perfil,servo,f_valid,f_conf,f_lat_mm,f_head_deg,f_curv,f_curv_ok,f_bandas,fl,fr,rl,rr
0.383,1,0.524,-5.24,-0.14,3,78.6,20.56,0.14,0.0436,0.086,-0.002,0.043,0.005,0.0,1.38,11.76,1,-0.48,1,0.742,11.15,-2.03,3.886,1,5,0.0851,0.0851,0.0814,0.0907
0.419,1,0.528,-5.24,-0.09,3,78.5,20.46,0.1469,0.0486,0.093,0.0,0.054,0.007,0.0,1.43,11.76,1,-0.48,1,0.742,11.15,-2.03,3.886,1,5,0.087,0.0962,0.0907,0.0999
0.45,1,0.525,-5.24,1.14,3,79.1,20.56,0.161,0.0482,0.11,0.0,0.025,0.012,0.0,1.49,11.76,1,-0.48,1,0.343,6.61,0.58,-3.095,1,4,0.1017,0.1146,0.1054,0.1183
0.483,1,0.528,-4.99,0.56,3,79.3,20.56,0.175,0.0165,0.128,0.0,0.016,0.017,0.0,1.55,11.76,1,-0.48,1,0.347,7.21,0.81,0.505,1,4,0.1183,0.1313,0.1257,0.1368
0.515,1,0.532,-4.74,0.62,3,79.0,20.04,0.1819,0.0283,0.136,0.001,0.022,0.02,0.001,1.55,11.76,1,-0.48,1,0.347,7.21,0.81,0.505,1,4,0.1276,0.1405,0.1331,0.1424
0.551,1,0.676,-4.74,0.48,4,77.7,20.52,0.1912,0.0236,0.154,0.0,0.005,0.027,0.001,1.55,11.76,1,0.55,1,0.347,7.21,0.81,0.505,1,4,0.1461,0.1535,0.1554,0.1628
0.583,1,0.68,-4.74,0.48,4,78.1,20.51,0.2053,0.0274,0.171,0.0,0.04,0.035,0.001,1.6,11.76,1,0.55,1,0.341,7.21,0.3,-2.213,1,4,0.1646,0.172,0.1702,0.1776
0.617,1,0.586,-4.74,3.69,4,79.0,20.84,0.2099,0.0274,0.179,-0.001,0.014,0.038,0.001,1.6,11.76,1,0.55,1,0.341,7.21,0.3,-2.213,1,4,0.1738,0.1775,0.1793,0.1867
0.65,1,0.66,-4.49,0.93,4,79.3,20.56,0.1859,-0.0597,0.194,-0.0,0.016,0.047,0.001,1.66,11.76,1,0.55,1,0.345,7.81,1.4,0.508,1,4,0.1886,0.1941,0.1923,0.1997
0.682,1,0.66,-4.24,1.29,4,80.0,20.56,0.2,0.0123,0.208,-0.002,-0.002,0.055,0.001,1.66,11.76,1,0.55,1,0.345,7.81,1.4,0.51,1,4,0.2053,0.2053,0.2071,0.2145
0.717,1,0.67,-4.24,0.6,4,79.8,20.69,0.2068,-0.0022,0.214,-0.0,-0.019,0.06,0.002,1.6,11.76,1,0.55,1,0.345,7.81,1.4,0.51,1,4,0.2128,0.2146,0.2128,0.2165
0.783,1,0.671,-4.74,0.86,4,79.7,20.51,0.1774,0.0215,0.218,0.002,-0.055,0.077,0.002,1.49,11.74,1,0.45,1,0.344,7.81,1.85,-2.97,1,4,0.2164,0.2127,0.2275,0.2164
0.818,1,0.673,-4.24,0.05,4,79.3,20.56,0.1657,0.0221,0.219,0.0,0.019,0.082,0.002,1.49,11.74,1,0.45,1,0.344,7.81,1.85,-2.97,1,4,0.2164,0.209,0.2293,0.2201
0.853,1,0.658,-3.99,1.65,4,78.6,20.77,0.1416,0.0365,0.22,0.0,0.016,0.091,0.002,1.43,11.74,1,0.45,1,0.346,7.81,-0.55,0.052,1,4,0.2163,0.2126,0.2292,0.2237
0.883,1,0.581,-3.99,3.95,4,78.5,20.77,0.1173,0.0039,0.22,0.004,-0.003,0.099,0.003,1.43,11.74,1,0.45,1,0.345,7.81,1.39,0.574,1,4,0.2145,0.2182,0.2293,0.2182
0.917,1,0.651,-3.74,0.7,4,79.0,20.84,0.1057,-0.0339,0.215,0.006,-0.035,0.103,0.003,1.43,11.74,1,0.45,1,0.345,7.81,1.39,0.574,1,4,0.209,0.2164,0.2256,0.2108
0.952,1,0.677,-3.99,0.11,4,78.6,21.03,0.09,0.0202,0.205,0.006,-0.044,0.111,0.004,1.26,11.74,1,0.99,1,0.346,7.81,-0.13,-3.354,1,4,0.2018,0.2073,0.2166,0.1962
0.982,1,0.68,-3.99,0.35,4,77.7,20.89,0.09,0.0339,0.2,0.006,0.013,0.115,0.004,1.26,11.74,1,0.99,1,0.342,7.21,-1.18,-6.254,1,4,0.1981,0.2018,0.211,0.1907
1.016,1,0.69,-3.74,0.17,4,76.8,20.56,0.09,0.0297,0.194,0.003,-0.025,0.123,0.004,1.26,11.74,1,0.99,1,0.342,7.21,-1.18,-6.254,1,4,0.1962,0.1925,0.2018,0.1851
1.053,1,0.685,-3.99,0.41,4,77.1,20.69,0.09,0.0299,0.187,0.002,-0.051,0.13,0.004,1.2,11.74,1,0.99,1,0.75,10.18,-1.51,3.64,1,5,0.1925,0.1832,0.1962,0.1777
1.082,1,0.676,-4.24,-0.03,4,77.7,20.69,0.09,0.029,0.174,0.001,-0.059,0.137,0.004,1.09,11.74,1,0.99,1,0.777,6.3,-0.02,-5.408,1,5,0.183,0.1701,0.1793,0.1627
1.118,1,0.666,-4.24,-0.04,4,77.8,20.69,0.09,0.0398,0.166,0.0,-0.002,0.14,0.004,1.03,11.74,1,0.99,1,0.777,6.3,-0.02,-5.408,1,5,0.1775,0.1627,0.1701,0.1553
1.15,1,0.671,-4.49,-0.1,4,77.3,20.77,0.09,0.0395,0.157,0.0,-0.031,0.146,0.005,1.03,11.74,1,-0.15,1,0.351,6.61,-1.75,0.066,1,4,0.1626,0.1534,0.1608,0.1497
1.185,1,0.667,-4.74,-0.01,4,77.7,20.69,0.09,0.0433,0.152,0.001,-0.015,0.152,0.005,0.92,11.74,1,-0.15,1,0.338,6.61,-3.3,-3.843,1,4,0.1498,0.1461,0.1609,0.1517
1.216,1,0.672,-4.74,-0.08,4,78.0,20.56,0.09,0.0447,0.149,0.002,-0.018,0.155,0.005,0.92,11.74,1,-0.15,1,0.338,6.61,-3.3,-3.843,1,4,0.1443,0.1406,0.1628,0.1499
1.249,1,0.674,-4.99,0.11,4,77.2,20.89,0.09,0.0451,0.138,0.001,-0.056,0.16,0.005,0.86,11.74,1,-0.15,1,0.348,5.41,-1.03,0.535,1,4,0.1351,0.1277,0.1499,0.1388
1.283,1,0.667,-5.24,-0.04,4,77.2,20.95,0.09,0.0445,0.127,-0.0,0.037,0.165,0.005,0.8,11.74,1,-0.15,1,0.349,5.41,-2.96,0.089,1,4,0.1277,0.1203,0.1332,0.1258
1.315,1,0.68,-4.99,-0.55,4,77.5,20.89,0.09,0.0499,0.124,0.0,0.012,0.167,0.005,0.8,11.74,1,-0.15,1,0.349,5.41,-2.96,0.089,1,4,0.1277,0.1221,0.1258,0.1203
1.353,1,0.687,-5.24,-0.29,4,78.0,20.69,0.09,0.0551,0.119,0.0,-0.019,0.172,0.005,0.74,11.72,1,-0.66,1,0.349,5.41,-2.96,0.097,1,4,0.1184,0.1221,0.1166,0.1184
1.385,1,0.697,-5.24,-0.53,4,78.1,20.51,0.09,0.0532,0.112,0.0,-0.029,0.176,0.005,0.74,11.72,1,-0.66,1,0.344,4.81,-3.62,-6.281,1,4,0.1092,0.1147,0.1092,0.1147
1.416,1,0.697,-5.49,-0.42,4,77.6,20.56,0.09,0.0572,0.106,0.0,-0.014,0.178,0.005,0.74,11.72,1,-0.66,1,0.348,5.41,-4.48,-3.842,1,4,0.1017,0.1072,0.1054,0.1109
1.45,1,0.691,-5.49,-0.41,4,77.1,20.56,0.09,0.0579,0.098,0.002,0.004,0.181,0.005,0.74,11.72,1,-0.66,1,0.346,6.61,-0.25,0.0,0,4,0.0962,0.0981,0.1018,0.0962
1.483,1,0.696,-5.49,-0.41,4,77.5,20.56,0.09,0.0574,0.089,0.002,-0.045,0.185,0.005,0.69,11.72,1,-0.66,1,0.351,6.61,1.23,-4.672,1,4,0.0926,0.0889,0.0926,0.0815
1.515,1,0.689,-5.74,-0.4,4,78.7,20.69,0.09,0.0573,0.086,-0.0,-0.101,0.186,0.005,0.57,11.72,1,-0.66,1,0.351,6.61,1.23,-4.672,1,4,0.0926,0.0852,0.0852,0.0796
1.552,1,0.68,-5.99,-0.47,4,79.0,20.77,0.09,0.0597,0.084,-0.004,0.03,0.19,0.005,0.63,11.72,1,-1.15,1,0.353,6.61,0.19,0.536,1,4,0.0944,0.0796,0.0796,0.0815
1.582,1,0.67,-5.74,-0.72,4,78.8,20.52,0.09,0.0638,0.083,-0.0,0.066,0.193,0.005,0.69,11.72,1,-1.15,1,0.35,6.61,-0.23,4.016,1,4,0.087,0.0777,0.0814,0.0851
1.616,1,0.672,-5.74,-0.35,4,77.8,20.95,0.09,0.0644,0.082,0.001,0.026,0.195,0.005,0.74,11.72,1,-1.15,1,0.35,6.61,-0.23,4.016,1,4,0.074,0.0814,0.0851,0.0888
1.65,1,0.687,-5.24,-0.59,4,77.9,20.52,0.09,0.0578,0.075,0.003,0.055,0.197,0.006,0.86,11.72,1,-1.15,1,0.349,6.61,-0.28,0.0,0,4,0.0593,0.0815,0.0759,0.0852
1.681,1,0.686,-4.74,-0.47,4,77.6,20.52,0.09,0.0559,0.075,0.004,0.055,0.199,0.006,0.92,11.72,1,-1.15,1,0.349,7.81,-0.55,0.152,1,4,0.0593,0.0852,0.0723,0.0815
1.717,1,0.678,-4.24,-0.34,4,78.1,20.52,0.09,0.048,0.07,0.006,0.068,0.202,0.006,1.09,11.72,1,-1.15,1,0.349,7.81,-0.55,0.152,1,4,0.0538,0.0871,0.0649,0.076
1.751,1,0.679,-3.74,-0.15,4,78.2,20.51,0.09,0.0409,0.068,0.006,0.079,0.204,0.006,1.26,11.71,1,-1.15,1,0.345,9.01,2.19,4.11,1,4,0.0482,0.0852,0.063,0.0741
1.781,1,0.674,-2.99,-0.05,4,78.3,20.89,0.09,0.0328,0.064,0.005,0.102,0.207,0.007,1.49,11.71,1,-1.15,1,0.346,10.22,1.87,0.149,1,4,0.0481,0.0833,0.0592,0.074
1.815,1,0.679,-2.25,-0.17,4,78.9,20.69,0.09,0.0224,0.063,0.006,0.096,0.208,0.007,1.6,11.71,1,-1.15,1,0.346,10.22,1.87,0.149,1,4,0.0444,0.0813,0.0573,0.0702
1.851,1,0.68,-1.75,-0.05,4,79.5,20.69,0.09,0.0177,0.063,0.004,0.036,0.21,0.007,1.72,11.71,1,-1.15,1,0.342,12.62,2.76,-3.771,1,4,0.0481,0.0814,0.0518,0.0703
1.884,1,0.677,-1.5,0.26,4,80.8,20.69,0.09,0.0116,0.062,0.001,0.035,0.213,0.007,1.78,11.71,1,-1.15,1,0.342,12.62,6.63,-2.931,1,4,0.0462,0.0795,0.0518,0.0703
1.914,1,0.676,-1.25,0.47,4,81.3,20.51,0.09,0.0041,0.064,-0.001,0.023,0.214,0.007,1.78,11.71,1,-1.15,1,0.343,13.82,3.98,-3.742,1,4,0.0555,0.074,0.0518,0.074
1.952,1,0.672,-1.25,0.71,4,80.7,20.69,0.09,-0.0007,0.065,-0.002,0.026,0.217,0.007,1.83,11.71,1,-0.29,1,0.343,13.82,3.98,-3.742,1,4,0.0605,0.0715,0.055,0.0734
1.984,1,0.669,-1.0,0.39,4,80.2,20.69,0.09,-0.0036,0.07,-0.001,0.001,0.22,0.007,1.89,11.71,1,-0.29,1,0.346,13.82,5.49,0.094,1,4,0.0697,0.0733,0.0642,0.0733
2.016,1,0.715,-1.0,1.07,5,78.9,20.96,0.09,-0.0006,0.072,-0.001,0.038,0.222,0.007,1.89,11.71,1,-0.29,1,0.346,13.82,7.41,0.532,1,4,0.0697,0.0752,0.066,0.0752
2.081,1,0.67,-0.75,5.38,5,79.3,21.11,0.09,-0.0108,0.069,0.0,0.008,0.227,0.007,2.06,11.71,1,-0.29,1,0.343,13.82,7.41,-5.467,1,4,0.0625,0.0717,0.0698,0.0772
2.114,1,0.718,-0.75,1.85,5,79.7,20.57,0.09,-0.0889,0.068,0.0,0.015,0.228,0.007,2.06,11.71,1,-0.29,1,0.342,15.02,5.18,-3.709,1,4,0.0607,0.0699,0.0662,0.0735
2.15,1,0.719,-0.75,1.61,5,79.5,20.81,0.09,-0.0268,0.068,-0.001,0.006,0.231,0.007,2.06,11.71,1,0.62,1,0.342,15.02,5.18,-3.709,1,4,0.0666,0.0685,0.0648,0.0703
2.182,1,0.713,-0.75,1.53,5,79.5,20.57,0.09,-0.022,0.068,0.0,-0.029,0.233,0.008,2.01,11.71,1,0.62,1,0.342,15.02,5.18,-3.709,1,4,0.068,0.068,0.0698,0.068
2.214,1,0.622,-0.75,6.33,5,79.8,21.11,0.09,-0.0206,0.068,0.001,-0.036,0.235,0.008,2.01,11.71,1,0.62,1,0.342,15.02,5.18,-3.709,1,4,0.0698,0.0663,0.0716,0.0645
2.285,1,0.628,-0.75,6.0,5,79.4,21.11,0.09,-0.104,0.074,-0.0,-0.055,0.241,0.008,1.89,11.71,1,0.62,1,0.757,14.06,0.26,2.89,1,5,0.0735,0.0699,0.0735,0.0681
2.314,1,0.624,-1.0,6.09,5,78.7,20.96,0.09,-0.0981,0.074,-0.002,-0.033,0.242,0.008,1.83,11.71,1,0.62,1,0.744,14.06,0.82,4.255,1,5,0.0759,0.0685,0.0759,0.0759
2.348,1,0.686,-1.25,1.73,5,78.5,20.81,0.09,-0.0968,0.078,-0.002,-0.026,0.246,0.008,1.66,11.73,1,5.1,1,0.349,10.22,0.36,-3.815,1,4,0.0868,0.0702,0.0813,0.0739
2.382,1,0.71,-1.25,1.16,5,79.0,20.57,0.09,-0.0179,0.079,-0.001,-0.037,0.249,0.008,1.66,11.73,1,5.1,1,0.349,10.22,0.36,-3.815,1,4,0.0905,0.0702,0.0849,0.0739
2.416,1,0.715,-1.5,1.07,5,79.4,20.96,0.09,-0.0081,0.081,-0.0,-0.031,0.25,0.008,1.6,11.73,1,5.1,1,0.349,10.22,0.36,-3.815,1,4,0.0887,0.072,0.0887,0.0739
2.45,1,0.718,-1.75,1.32,5,79.5,20.81,0.09,-0.004,0.079,0.0,-0.013,0.253,0.008,1.55,11.73,1,5.1,1,0.349,10.22,0.36,-3.815,1,4,0.0814,0.074,0.0851,0.0759
2.484,1,0.715,-1.75,1.27,5,78.8,20.81,0.09,-0.0055,0.078,0.0,0.0,0.257,0.008,1.55,11.73,1,5.1,1,0.332,0.0,-19.05,0.0,0,4,0.0795,0.0739,0.0813,0.0776
2.515,1,0.718,-1.5,0.94,5,78.1,20.81,0.09,-0.0053,0.079,0.0,0.003,0.258,0.008,1.6,11.73,1,5.1,1,0.757,7.76,-11.77,-2.167,1,5,0.0788,0.0788,0.0788,0.0788
2.549,1,0.728,-1.25,0.74,5,77.4,20.81,0.09,-0.0028,0.079,0.001,0.03,0.261,0.008,1.66,11.73,1,1.53,1,0.821,6.3,-5.44,-4.244,1,5,0.0769,0.0805,0.0787,0.0787
2.583,1,0.729,-1.5,1.11,5,77.2,20.96,0.09,-0.0024,0.08,0.002,-0.037,0.265,0.009,1.6,11.73,1,1.53,1,0.817,6.3,-7.41,-4.261,1,5,0.0751,0.0824,0.0806,0.0806
2.615,1,0.727,-1.5,1.1,5,76.9,20.96,0.09,-0.0055,0.08,0.002,-0.061,0.266,0.009,1.55,11.73,1,1.53,1,0.806,6.3,-6.99,-5.398,1,5,0.074,0.0814,0.0814,0.0814
2.648,1,0.667,-1.5,-0.06,4,77.5,20.56,0.09,-0.0054,0.081,0.002,-0.015,0.27,0.009,1.43,11.73,1,1.53,1,0.777,7.27,-7.18,-6.265,1,5,0.0759,0.0815,0.0833,0.0815
2.685,1,0.67,-1.5,-0.07,4,77.8,20.56,0.09,0.0147,0.083,-0.0,0.024,0.273,0.009,1.43,11.73,1,1.53,1,0.784,9.69,-0.06,-4.973,1,5,0.0851,0.0814,0.0832,0.0814
2.714,1,0.663,-1.5,-0.07,4,78.6,20.56,0.09,0.0148,0.084,0.0,0.015,0.275,0.009,1.43,11.73,1,1.53,1,0.808,9.69,0.92,-2.769,1,5,0.0869,0.0832,0.085,0.0813
2.751,1,0.653,-1.25,-0.31,4,78.2,20.51,0.09,0.0148,0.086,-0.001,0.023,0.278,0.009,1.55,11.72,1,-2.03,1,0.808,9.69,0.92,-2.769,1,5,0.0849,0.0849,0.0849,0.0886
2.786,1,0.578,-1.25,0.36,4,77.9,20.69,0.09,0.016,0.084,0.0,0.016,0.281,0.009,1.6,11.72,1,-2.03,1,0.76,13.09,3.81,-2.166,1,5,0.0777,0.087,0.0814,0.0907
2.817,1,0.646,-1.0,0.13,4,77.6,20.76,0.09,0.0044,0.083,0.0,0.022,0.283,0.009,1.6,11.72,1,-2.03,1,0.79,14.06,8.47,-1.433,1,5,0.0757,0.0868,0.0794,0.0887
2.848,1,0.606,-0.75,0.21,4,76.9,20.52,0.09,0.0057,0.083,-0.0,0.021,0.286,0.009,1.66,11.72,1,-2.03,1,0.769,15.99,12.29,-3.202,1,5,0.0795,0.085,0.0795,0.0868
2.882,1,0.624,-0.75,0.63,4,76.2,20.69,0.09,0.0013,0.083,0.001,-0.002,0.29,0.009,1.72,11.72,1,-2.03,1,0.793,15.99,15.62,-1.009,1,5,0.0776,0.085,0.0813,0.085
2.915,1,0.626,-0.75,0.59,4,76.6,20.69,0.09,-0.0054,0.085,0.001,-0.023,0.292,0.009,1.66,11.72,1,-2.03,1,0.79,16.48,14.14,-2.14,1,5,0.0814,0.087,0.0851,0.0851
2.948,1,0.662,-0.75,0.2,4,77.9,20.69,0.09,-0.0042,0.085,0.002,-0.024,0.295,0.01,1.6,11.72,1,-1.84,1,0.75,19.87,12.39,3.384,1,5,0.0814,0.087,0.087,0.0833
2.984,1,0.658,-0.75,0.19,4,78.1,20.69,0.09,0.0029,0.086,0.003,-0.063,0.298,0.01,1.49,11.72,1,-1.84,1,0.75,19.87,12.39,3.384,1,5,0.0851,0.0887,0.0887,0.0814
3.016,1,0.659,-0.75,-0.11,4,77.4,20.51,0.09,0.003,0.086,0.0,0.036,0.3,0.01,1.49,11.72,1,-1.84,1,0.728,19.87,13.57,3.622,1,5,0.0887,0.0851,0.0869,0.0814
3.046,1,0.602,-0.75,0.12,4,76.9,20.52,0.09,0.0084,0.088,-0.0,0.004,0.304,0.01,1.6,11.72,1,-1.84,1,0.718,20.36,12.29,4.813,1,5,0.0935,0.088,0.088,0.0843
3.084,1,0.67,-0.75,0.29,4,76.7,20.69,0.09,0.0045,0.088,-0.002,0.019,0.307,0.01,1.66,11.72,1,-1.84,1,0.718,20.36,12.29,4.813,1,5,0.0899,0.0862,0.0862,0.0917
3.116,1,0.68,-0.75,0.2,4,76.7,20.69,0.09,0.0015,0.089,-0.0,-0.005,0.309,0.01,1.66,11.72,1,-1.84,1,0.686,18.42,7.33,3.102,1,5,0.0862,0.0899,0.0862,0.0917
3.146,1,0.681,-0.75,0.53,4,76.3,20.52,0.09,0.0032,0.087,0.0,0.01,0.313,0.01,1.66,11.72,1,1.81,1,0.33,15.02,5.15,-3.709,1,4,0.0814,0.0888,0.0851,0.0907
3.18,1,0.685,-0.5,0.13,4,76.3,20.77,0.09,-0.0026,0.087,0.0,0.01,0.313,0.01,1.66,11.72,1,1.81,1,0.691,14.54,3.69,6.156,1,5,0.0814,0.0888,0.0851,0.0907
3.214,1,0.689,-0.5,0.18,4,76.3,20.56,0.09,0.0014,0.086,-0.0,0.012,0.316,0.01,1.66,11.72,1,1.81,1,0.76,12.12,-0.65,1.621,1,5,0.0851,0.0832,0.0869,0.0869
3.249,1,0.683,-0.75,0.2,4,76.8,20.69,0.09,0.0008,0.083,-0.001,-0.057,0.321,0.01,1.49,11.72,1,1.81,1,0.749,14.06,-1.32,4.187,1,5,0.081,0.0774,0.0866,0.0884
3.285,1,0.692,-0.75,-0.19,4,77.5,20.51,0.09,0.0036,0.085,0.0,-0.018,0.323,0.01,1.43,11.72,1,1.81,1,0.749,14.06,-1.32,4.187,1,5,0.081,0.0774,0.0921,0.0884
3.314,1,0.689,-0.75,-0.1,4,77.3,20.51,0.09,0.0103,0.085,0.002,-0.06,0.324,0.01,1.38,11.72,1,1.81,1,0.714,10.18,-8.98,3.433,1,5,0.0811,0.0811,0.0921,0.0847
3.349,1,0.681,-1.0,0.14,4,77.0,20.76,0.09,0.0087,0.09,0.004,0.039,0.328,0.011,1.38,11.71,1,4.34,1,0.726,10.66,-12.33,-1.004,1,5,0.0907,0.0907,0.0962,0.0814
3.381,1,0.682,-0.75,-0.11,4,77.5,20.51,0.09,0.0074,0.092,0.002,-0.005,0.332,0.011,1.38,11.71,1,4.34,1,0.726,10.66,-12.33,-1.004,1,5,0.0925,0.0907,0.0962,0.087
3.415,1,0.691,-1.0,0.08,4,77.5,21.03,0.09,0.0084,0.091,0.001,-0.02,0.334,0.011,1.38,11.71,1,4.34,1,0.727,11.63,-12.44,-0.324,1,5,0.0906,0.0888,0.0943,0.0888
3.448,1,0.691,-1.0,-0.01,4,77.7,20.77,0.09,0.0081,0.089,0.0,0.004,0.337,0.011,1.38,11.71,1,4.34,1,0.727,11.63,-12.44,-0.324,1,5,0.0885,0.0867,0.0922,0.0904
3.489,1,0.678,-1.0,0.08,4,77.6,20.58,0.09,0.0094,0.088,0.001,0.018,0.342,0.011,1.38,11.71,1,4.34,1,0.727,11.63,-12.44,-0.324,1,5,0.0868,0.0868,0.0905,0.0868
3.548,1,0.681,-0.5,-0.05,4,77.9,20.89,0.09,0.0078,0.084,0.002,-0.01,0.346,0.011,1.43,11.71,1,4.03,1,0.344,4.21,-11.65,-6.805,1,4,0.0815,0.0852,0.087,0.0833
3.582,1,0.674,-0.5,0.27,4,78.0,21.04,0.09,0.0038,0.085,0.003,-0.044,0.347,0.011,1.38,11.71,1,4.03,1,0.344,4.21,-11.65,-6.805,1,4,0.0797,0.0871,0.0889,0.0852
3.614,1,0.638,-0.75,2.77,4,78.1,20.84,0.09,-0.0013,0.086,0.001,-0.019,0.351,0.011,1.32,11.71,1,4.03,1,0.342,4.21,-11.63,-6.849,1,4,0.0828,0.0865,0.0865,0.0865
3.648,1,0.677,-0.75,0.14,4,78.5,20.56,0.09,-0.0416,0.088,-0.001,0.004,0.356,0.011,1.26,11.71,1,4.03,1,0.342,4.21,-11.64,-6.799,1,4,0.0901,0.0864,0.0864,0.0882
3.68,1,0.681,-0.75,-0.19,4,78.5,20.51,0.09,0.0044,0.089,-0.0,0.012,0.357,0.011,1.26,11.71,1,4.03,1,0.342,4.21,-11.64,-6.799,1,4,0.0901,0.0864,0.0864,0.0882
3.714,1,0.732,-0.75,0.45,5,77.7,20.56,0.09,0.01,0.089,0.0,0.023,0.359,0.011,1.32,11.71,1,4.03,1,0.336,3.0,-11.34,0.0,0,4,0.0894,0.0876,0.0912,0.0894
3.751,1,0.726,-0.75,0.61,5,77.2,20.57,0.09,-0.001,0.089,-0.001,-0.008,0.363,0.012,1.32,11.73,1,3.55,1,0.71,6.79,-16.57,1.076,1,5,0.0873,0.0856,0.0909,0.0927
3.779,1,0.674,-0.75,0.13,4,78.1,20.56,0.09,-0.0039,0.09,0.0,0.002,0.365,0.012,1.32,11.73,1,3.55,1,0.71,6.79,-16.57,1.076,1,5,0.0855,0.0873,0.0926,0.0926
3.816,1,0.684,-0.75,0.2,4,78.3,20.69,0.09,0.0044,0.086,0.001,0.012,0.368,0.012,1.32,11.73,1,3.55,1,0.71,6.79,-16.57,1.076,1,5,0.0847,0.0865,0.0865,0.0847
3.849,1,0.688,-0.25,-0.39,4,78.8,20.56,0.09,0.0032,0.084,0.002,0.007,0.371,0.012,1.43,11.73,1,3.55,1,0.36,-0.6,-19.76,0.0,0,4,0.0813,0.0868,0.085,0.0813
3.881,1,0.689,-0.25,-0.39,4,78.6,20.56,0.09,0.0073,0.082,0.002,0.0,0.373,0.012,1.43,11.73,1,3.55,1,0.344,0.6,-19.97,0.0,0,4,0.0814,0.0851,0.0832,0.0795
3.915,1,0.738,-0.5,0.49,5,78.3,20.57,0.09,0.0079,0.083,0.003,0.004,0.376,0.012,1.38,11.73,1,3.55,1,0.323,6.01,-13.54,-1.212,1,4,0.0814,0.087,0.0851,0.0796
3.947,1,0.737,-0.75,0.9,5,77.1,20.81,0.09,-0.004,0.086,0.001,-0.03,0.38,0.012,1.38,11.73,1,1.9,1,0.755,11.63,-8.82,2.87,1,5,0.0869,0.0906,0.0832,0.0832
3.983,1,0.673,-0.75,0.19,4,76.3,21.0,0.09,-0.0083,0.088,-0.0,0.054,0.384,0.012,1.38,11.73,1,1.9,1,0.755,11.63,-8.82,2.87,1,5,0.0888,0.0925,0.0832,0.0851
4.016,1,0.693,-0.75,-0.05,4,75.2,21.0,0.09,0.004,0.09,-0.001,0.021,0.385,0.012,1.38,11.73,1,1.9,1,0.346,5.41,-9.36,-5.724,1,4,0.0944,0.0944,0.0833,0.0889
4.046,1,0.692,-0.75,0.53,4,75.6,20.84,0.09,0.008,0.092,-0.001,0.018,0.389,0.012,1.43,11.73,1,1.9,1,0.346,6.01,-9.23,-2.159,1,4,0.0889,0.0908,0.0908,0.0963
