t,valid,conf,lat_mm,head_deg,bandas,contraste,larg_mm,vx,wz,odom_vx,odom_vy,odom_wz,x_m,y_m,yaw_deg,volts,servo,f_valid,f_conf,f_lat_mm,f_head_deg,f_curv,f_curv_ok,f_bandas,fl,fr,rl,rr
0.525,1,0.783,-1.75,-1.16,5,71.9,20.0,0.07,0.0195,0.077,0.003,-0.009,-1.489,-2.93,-117.34,12.23,2.32,1,0.883,-4.36,-11.63,-3.113,1,5,0.0774,0.0792,0.0811,0.07
0.558,1,0.786,-1.75,-1.14,5,72.0,20.0,0.07,0.0359,0.079,0.003,-0.032,-1.49,-2.932,-117.4,12.23,2.32,1,0.854,-0.97,-10.9,-2.094,1,5,0.0811,0.0792,0.0847,0.07
0.623,1,0.798,-2.25,0.25,5,71.6,20.46,0.07,0.0357,0.079,0.0,-0.02,-1.493,-2.937,-117.57,12.23,2.32,1,0.868,0.48,-1.93,-0.123,1,5,0.0813,0.072,0.0868,0.0776
0.657,1,0.798,-2.0,-0.17,5,71.3,20.04,0.07,0.0172,0.078,-0.001,-0.011,-1.493,-2.939,-117.57,12.23,2.32,1,0.868,0.48,-1.93,-0.123,1,5,0.0812,0.072,0.0831,0.0775
0.725,1,0.807,-1.75,0.09,5,71.8,19.59,0.07,0.0211,0.076,-0.003,0.006,-1.496,-2.944,-117.51,12.23,-0.8,1,0.859,3.39,2.3,-2.754,1,5,0.0776,0.0739,0.0721,0.0813
0.757,1,0.813,-1.75,0.09,5,72.3,19.59,0.07,0.0136,0.078,-0.002,0.037,-1.497,-2.946,-117.51,12.23,-0.8,1,0.862,3.39,3.28,-0.549,1,5,0.0777,0.0777,0.074,0.0814
0.79,1,0.828,-1.75,0.43,5,72.5,19.59,0.07,0.0137,0.079,-0.0,0.003,-1.498,-2.948,-117.46,12.23,-0.8,1,0.862,3.39,3.28,-0.549,1,5,0.0758,0.0795,0.0776,0.0832
0.825,1,0.831,-1.75,0.43,5,73.0,20.04,0.07,0.008,0.079,0.002,0.007,-1.5,-2.951,-117.46,12.23,-0.8,1,0.864,5.33,1.71,-1.907,1,5,0.074,0.0814,0.0795,0.0795
0.858,1,0.834,-1.75,0.7,5,73.3,20.2,0.07,0.0081,0.077,0.001,-0.003,-1.501,-2.952,-117.46,12.23,-0.8,1,0.851,8.72,8.34,-1.69,1,5,0.0721,0.0777,0.0777,0.0795
0.923,1,0.821,-1.75,0.68,5,73.6,20.2,0.07,0.0034,0.076,0.001,0.003,-1.503,-2.958,-117.4,12.22,-1.71,1,0.872,8.72,12.15,1.177,1,5,0.0812,0.0793,0.0756,0.0682
0.955,1,0.802,-1.75,0.47,5,73.6,20.2,0.07,0.0038,0.078,0.001,-0.006,-1.504,-2.96,-117.4,12.22,-1.71,1,0.872,8.72,12.15,1.177,1,5,0.083,0.0811,0.0774,0.07
1.025,1,0.814,-2.0,0.86,5,73.4,20.2,0.07,0.0076,0.079,-0.003,-0.019,-1.507,-2.965,-117.46,12.22,-1.71,1,0.869,8.24,11.25,-1.072,1,5,0.0813,0.0739,0.0776,0.0831
1.053,1,0.819,-2.0,1.05,5,73.2,20.2,0.07,0.0037,0.078,-0.003,-0.012,-1.508,-2.966,-117.46,12.22,-1.71,1,0.871,8.24,11.25,-1.074,1,5,0.0795,0.0739,0.0758,0.0832
1.126,1,0.811,-2.99,1.66,5,73.0,19.59,0.07,-0.0001,0.074,0.002,0.003,-1.51,-2.972,-117.51,12.22,-0.05,1,0.875,8.24,10.19,0.0,1,5,0.0721,0.0758,0.0758,0.0721
1.154,1,0.809,-2.75,1.31,5,73.2,20.56,0.07,0.0017,0.072,0.003,-0.017,-1.511,-2.973,-117.51,12.22,-0.05,1,0.876,8.24,10.19,-1.536,1,5,0.0684,0.074,0.0758,0.0703
1.223,1,0.818,-2.99,1.5,5,73.6,20.0,0.07,0.0033,0.069,0.005,-0.007,-1.513,-2.978,-117.51,12.22,-0.05,1,0.866,6.79,11.18,0.812,1,5,0.0647,0.074,0.074,0.0629
1.254,1,0.834,-2.75,1.24,5,73.6,20.56,0.07,0.0024,0.069,0.003,-0.016,-1.514,-2.979,-117.57,12.22,-0.05,1,0.867,4.36,4.31,1.177,1,5,0.0703,0.0703,0.074,0.0629
1.291,1,0.837,-2.25,1.2,5,73.6,20.56,0.07,0.0033,0.073,0.0,-0.009,-1.515,-2.982,-117.57,12.22,1.8,1,0.867,4.36,4.31,1.177,1,5,0.0777,0.0721,0.074,0.0666
1.325,1,0.848,-2.25,1.49,5,73.7,20.56,0.07,-0.0022,0.076,-0.002,-0.033,-1.517,-2.985,-117.63,12.22,1.8,1,0.867,4.36,4.31,1.177,1,5,0.0806,0.0696,0.077,0.0751
1.352,1,0.855,-2.25,1.33,5,73.7,20.56,0.07,-0.0067,0.076,-0.002,-0.053,-1.518,-2.986,-117.69,12.22,1.8,1,0.877,3.39,2.97,-2.931,1,5,0.0788,0.0697,0.077,0.077
1.389,1,0.852,-1.75,0.67,5,73.5,20.56,0.07,-0.0038,0.074,-0.003,0.019,-1.519,-2.988,-117.74,12.22,1.8,1,0.872,3.39,2.96,-1.292,1,5,0.0782,0.0654,0.0764,0.0764
1.453,1,0.848,-1.75,0.63,5,73.2,20.56,0.07,0.0027,0.075,0.002,0.023,-1.521,-2.993,-117.74,12.22,1.8,1,0.88,3.88,2.46,-1.802,1,5,0.0734,0.0734,0.0807,0.0715
1.556,1,0.841,-1.5,0.79,5,72.1,20.2,0.07,0.0042,0.068,0.002,0.028,-1.524,-2.999,-117.69,12.22,2.29,1,0.887,4.36,1.97,-2.287,1,5,0.0593,0.0704,0.0685,0.0722
1.653,1,0.824,-1.25,0.37,5,71.0,20.46,0.07,-0.0008,0.068,0.002,-0.003,-1.527,-3.005,-117.63,12.22,2.29,1,0.885,4.36,2.61,-0.866,1,5,0.0703,0.0722,0.0685,0.0629
1.754,1,0.826,-1.75,0.18,5,71.3,20.2,0.07,0.0042,0.071,-0.001,-0.026,-1.53,-3.011,-117.8,12.22,1.96,1,0.883,4.36,1.94,-0.643,1,5,0.0737,0.0664,0.0737,0.07
1.852,1,0.83,-1.25,-0.12,5,72.3,20.44,0.07,0.0132,0.071,0.003,0.017,-1.534,-3.018,-117.74,12.22,1.96,1,0.881,4.36,1.97,-2.295,1,5,0.063,0.0759,0.0722,0.0741
1.889,1,0.827,-1.0,0.13,5,72.5,20.2,0.07,0.0121,0.068,0.003,0.054,-1.535,-3.02,-117.57,12.22,1.96,1,0.883,4.36,1.96,-2.307,1,5,0.0574,0.0759,0.0648,0.0722
1.922,1,0.832,-0.75,0.09,5,72.9,20.04,0.07,0.0051,0.067,0.0,0.039,-1.536,-3.022,-117.51,12.21,1.64,1,0.875,5.33,1.59,1.455,1,5,0.0592,0.074,0.0592,0.074
1.953,1,0.838,-0.75,0.47,5,72.9,20.44,0.07,0.0033,0.066,-0.001,0.055,-1.537,-3.023,-117.46,12.21,1.64,1,0.875,5.33,1.59,1.455,1,5,0.0611,0.0722,0.0574,0.074
1.99,1,0.841,-0.75,0.76,5,72.9,20.44,0.07,-0.0029,0.068,-0.002,0.04,-1.538,-3.026,-117.34,12.21,1.64,1,0.88,5.33,3.18,-2.278,1,5,0.0641,0.0732,0.0586,0.0769
2.021,1,0.846,-0.5,0.52,5,73.2,20.04,0.07,-0.0074,0.068,-0.002,0.04,-1.539,-3.028,-117.23,12.21,1.64,1,0.88,5.33,3.18,-2.278,1,5,0.066,0.0733,0.0586,0.0733
2.053,1,0.845,-0.5,0.54,5,73.2,20.0,0.07,-0.0058,0.068,-0.002,0.021,-1.54,-3.03,-117.23,12.21,1.64,1,0.872,5.82,3.9,-3.9,1,5,0.0678,0.0733,0.0586,0.0733
2.152,1,0.85,-0.75,0.88,5,74.1,20.46,0.07,-0.0054,0.073,-0.006,-0.014,-1.544,-3.036,-117.28,12.21,1.71,1,0.875,5.33,3.81,-0.846,1,5,0.0776,0.0591,0.0739,0.0813
2.222,1,0.853,-1.0,0.82,5,74.7,20.57,0.07,-0.0083,0.077,-0.002,0.031,-1.547,-3.041,-117.28,12.21,1.71,1,0.882,5.33,3.81,-0.838,1,5,0.0777,0.0777,0.0722,0.0796
2.256,1,0.855,-0.75,0.88,5,74.9,20.46,0.07,-0.0044,0.077,0.0,0.012,-1.548,-3.043,-117.28,12.21,1.71,1,0.882,5.33,3.81,-0.838,1,5,0.0759,0.0814,0.074,0.0777
2.324,1,0.858,-1.25,1.32,5,74.9,20.46,0.07,-0.0087,0.071,0.001,0.012,-1.55,-3.048,-117.23,12.21,1.71,1,0.88,5.33,3.81,-0.84,1,5,0.0648,0.0703,0.074,0.074
2.352,1,0.851,-1.25,1.33,5,75.2,20.46,0.07,-0.0105,0.07,0.0,0.007,-1.551,-3.049,-117.23,12.21,1.71,1,0.885,5.33,3.81,-0.833,1,5,0.0667,0.0704,0.0704,0.0722
2.451,1,0.866,-1.75,1.22,5,75.5,20.46,0.07,-0.0116,0.069,-0.003,-0.029,-1.554,-3.055,-117.28,12.21,1.71,1,0.891,5.33,4.12,-0.068,1,5,0.0739,0.0628,0.0683,0.0702
2.552,1,0.825,-2.25,1.09,5,75.6,20.04,0.07,-0.0047,0.072,-0.009,-0.002,-1.558,-3.061,-117.46,12.19,2.12,1,0.886,4.36,2.91,-0.077,1,5,0.0833,0.0629,0.0629,0.0796
2.652,1,0.867,-2.25,1.18,5,76.3,20.46,0.07,0.0022,0.075,-0.002,0.006,-1.562,-3.067,-117.34,12.19,2.12,1,0.882,4.36,3.06,-1.826,1,5,0.0758,0.0739,0.0721,0.0776
2.687,1,0.872,-2.25,1.18,5,76.4,20.46,0.07,0.0005,0.073,-0.001,0.001,-1.563,-3.07,-117.34,12.19,2.12,1,0.884,4.36,4.49,-2.184,1,5,0.0703,0.074,0.0703,0.0777
2.753,1,0.863,-2.25,0.88,5,75.7,20.46,0.07,-0.0,0.073,0.001,0.002,-1.565,-3.074,-117.34,12.19,2.12,1,0.879,4.36,4.5,-2.182,1,5,0.0684,0.074,0.074,0.074
2.823,1,0.861,-2.75,0.97,5,75.5,20.46,0.07,0.005,0.077,-0.002,-0.009,-1.568,-3.079,-117.4,12.19,2.12,1,0.887,4.36,2.91,-0.076,1,5,0.0813,0.0739,0.0757,0.0776
2.851,1,0.861,-2.75,0.96,5,75.5,20.04,0.07,0.0093,0.077,-0.005,0.001,-1.569,-3.081,-117.4,12.19,2.12,1,0.887,4.36,2.91,-0.076,1,5,0.0832,0.0702,0.0739,0.0813
2.89,1,0.856,-2.75,0.72,5,75.1,20.2,0.07,0.0092,0.078,-0.009,0.009,-1.571,-3.083,-117.4,12.19,2.12,1,0.889,3.39,3.93,-0.745,1,5,0.085,0.0684,0.0684,0.0887
2.924,1,0.857,-2.75,0.71,5,75.3,20.2,0.07,0.0128,0.077,-0.008,0.034,-1.573,-3.086,-117.4,12.17,1.76,1,0.889,3.39,3.0,-2.931,1,5,0.0813,0.0721,0.0647,0.0887
2.951,1,0.854,-2.75,0.69,5,75.4,20.2,0.07,0.0127,0.077,-0.006,0.015,-1.573,-3.087,-117.34,12.17,1.76,1,0.89,3.39,3.0,-2.927,1,5,0.0794,0.0776,0.0646,0.0849
3.052,1,0.86,-2.5,1.02,5,75.2,20.04,0.105,0.0128,0.078,-0.002,0.018,-1.577,-3.094,-117.11,12.17,1.76,1,0.882,4.36,4.78,-1.446,1,5,0.0739,0.0813,0.0702,0.0849
3.091,1,0.862,-2.25,0.78,5,75.5,20.2,0.112,0.0034,0.08,-0.0,0.001,-1.579,-3.097,-117.06,12.17,1.76,1,0.89,4.36,4.48,-2.19,1,5,0.0757,0.0831,0.0757,0.0849
3.123,1,0.856,-2.25,0.79,5,75.7,20.2,0.1261,0.0033,0.088,-0.002,-0.018,-1.581,-3.101,-117.11,12.17,1.36,1,0.889,4.36,4.48,-2.194,1,5,0.0886,0.0867,0.0849,0.0904
3.152,1,0.822,-2.25,0.85,5,75.9,20.2,0.14,0.0021,0.094,-0.003,-0.019,-1.582,-3.102,-117.11,12.17,1.36,1,0.889,4.36,4.48,-2.194,1,5,0.096,0.0886,0.0942,0.0979
3.186,1,0.836,-2.25,0.46,5,76.1,20.46,0.1469,0.0,0.108,-0.004,-0.015,-1.584,-3.107,-117.11,12.17,1.36,1,0.889,4.36,4.16,-2.866,1,5,0.1139,0.101,0.1084,0.1102
3.222,1,0.833,-2.25,0.78,5,76.3,20.2,0.1553,0.0087,0.124,-0.003,-0.023,-1.587,-3.112,-117.17,12.17,1.36,1,0.888,4.36,4.47,-2.2,1,5,0.1279,0.1187,0.1242,0.126
3.255,1,0.841,-2.5,1.1,5,76.3,20.2,0.1506,0.0018,0.133,-0.001,-0.018,-1.588,-3.114,-117.17,12.17,1.36,1,0.89,4.36,4.17,-2.86,1,5,0.1352,0.1315,0.1315,0.1334
3.287,1,0.827,-2.25,0.49,5,76.5,20.04,0.1575,-0.0035,0.149,0.004,0.078,-1.591,-3.12,-117.11,12.17,1.36,1,0.891,4.36,4.47,-2.2,1,5,0.1459,0.1532,0.1513,0.1441
3.319,1,0.851,-2.5,1.07,5,76.1,20.2,0.1651,0.0076,0.158,0.004,-0.008,-1.593,-3.126,-117.17,12.17,0.99,1,0.888,4.36,4.48,-2.196,1,5,0.1539,0.1612,0.1631,0.1539
3.352,1,0.839,-2.25,0.59,5,76.1,20.46,0.1641,-0.0038,0.163,0.003,0.019,-1.595,-3.129,-117.17,12.17,0.99,1,0.888,4.85,4.62,-1.246,1,5,0.1608,0.1627,0.17,0.159
3.388,1,0.861,-2.0,0.74,5,75.7,20.57,0.1711,0.0045,0.169,-0.003,0.03,-1.598,-3.134,-117.17,12.17,0.99,1,0.888,4.85,4.62,-1.246,1,5,0.1713,0.1623,0.1713,0.1731
3.451,1,0.845,-1.75,0.67,5,74.9,20.04,0.1941,-0.0039,0.178,-0.0,0.023,-1.603,-3.144,-117.11,12.17,0.99,1,0.884,4.36,5.43,0.0,1,5,0.176,0.176,0.1795,0.1813
3.487,1,0.806,-1.75,0.6,5,74.7,20.46,0.1823,-0.0038,0.181,0.003,-0.023,-1.606,-3.151,-117.23,12.17,0.99,1,0.884,2.91,1.26,-1.793,1,5,0.1765,0.182,0.1857,0.1802
3.52,1,0.841,-1.75,0.5,5,74.5,20.44,0.1633,-0.0,0.191,0.002,-0.046,-1.61,-3.158,-117.28,12.19,0.71,1,0.888,2.42,0.18,-2.48,1,5,0.1887,0.1869,0.198,0.1887
3.551,1,0.842,-1.75,0.49,5,74.2,20.44,0.165,0.0027,0.193,-0.003,0.024,-1.612,-3.161,-117.28,12.19,0.71,1,0.89,2.91,-0.64,-2.115,1,5,0.1945,0.1815,0.1982,0.1982
3.59,1,0.838,-1.25,0.6,5,73.9,20.44,0.1531,0.0037,0.196,-0.001,0.07,-1.615,-3.168,-117.17,12.19,0.71,1,0.897,3.39,-0.19,-2.89,1,5,0.1944,0.187,0.2018,0.1999
3.619,1,0.852,-1.75,1.2,5,74.0,20.46,0.1438,-0.004,0.19,0.001,-0.036,-1.619,-3.175,-117.17,12.19,0.71,1,0.892,3.39,0.44,-3.047,1,5,0.1867,0.1886,0.1941,0.1923
3.652,1,0.842,-1.5,0.55,5,73.6,20.2,0.1508,-0.012,0.189,0.002,0.028,-1.62,-3.178,-117.17,12.19,0.71,1,0.896,3.39,0.75,-2.33,1,5,0.1866,0.1922,0.1903,0.1885
3.719,1,0.84,-1.25,0.72,5,73.4,20.04,0.1629,-0.0006,0.179,-0.005,-0.075,-1.627,-3.19,-117.28,12.19,-0.11,1,0.88,6.3,4.42,-2.284,1,5,0.1871,0.1723,0.176,0.1797
3.752,1,0.825,-2.25,1.04,5,73.1,20.46,0.1548,-0.007,0.173,-0.003,-0.045,-1.629,-3.193,-117.34,12.19,-0.11,1,0.892,6.3,5.31,-0.124,1,5,0.1815,0.1667,0.1741,0.1704
3.786,1,0.828,-2.25,0.75,5,73.5,20.2,0.1484,-0.0009,0.167,0.001,-0.081,-1.632,-3.199,-117.46,12.19,-0.11,1,0.88,4.36,5.41,1.701,1,5,0.1704,0.163,0.1741,0.1612
3.821,1,0.828,-2.25,0.37,5,73.4,20.04,0.1546,0.0041,0.167,0.001,-0.027,-1.635,-3.205,-117.57,12.19,-0.11,1,0.88,4.36,5.41,1.701,1,5,0.1702,0.1573,0.1795,0.1628
3.851,1,0.818,-1.75,-0.16,5,73.4,20.04,0.1574,0.0123,0.167,0.0,-0.003,-1.636,-3.208,-117.63,12.19,-0.11,1,0.896,4.36,1.97,-2.33,1,5,0.172,0.1553,0.1793,0.1627
3.886,1,0.823,-1.75,0.21,5,73.6,20.44,0.1455,0.0186,0.166,0.0,0.011,-1.639,-3.214,-117.57,12.19,-0.11,1,0.893,4.36,1.97,-2.342,1,5,0.17,0.1552,0.1774,0.1608
3.921,1,0.819,-1.75,0.29,5,73.9,20.2,0.1338,0.0108,0.162,0.005,-0.064,-1.642,-3.22,-117.69,12.17,-0.38,1,0.893,4.36,1.97,-2.342,1,5,0.159,0.1609,0.1738,0.1553
3.953,1,0.815,-2.25,0.09,5,74.0,20.44,0.1376,0.0091,0.162,0.006,-0.022,-1.643,-3.223,-117.74,12.17,-0.38,1,0.893,4.36,1.97,-2.342,1,5,0.1553,0.1609,0.1738,0.1572
3.988,1,0.842,-2.0,0.16,5,74.4,20.04,0.1257,0.0198,0.16,0.005,-0.047,-1.646,-3.229,-117.86,12.17,-0.38,1,0.893,4.36,1.97,-2.342,1,5,0.1534,0.1571,0.1737,0.1571
4.022,1,0.848,-2.0,-0.12,5,74.9,20.2,0.1322,0.0147,0.155,-0.001,0.061,-1.649,-3.234,-117.8,12.17,-0.38,1,0.89,3.88,0.88,-1.447,1,5,0.157,0.144,0.1625,0.1551
4.05,1,0.862,-1.75,0.22,5,75.0,20.46,0.1461,0.0207,0.152,-0.002,0.03,-1.651,-3.236,-117.74,12.17,-0.38,1,0.891,4.36,-0.57,-2.516,1,5,0.1551,0.1422,0.157,0.1533
4.085,1,0.873,-2.25,0.39,5,74.7,20.44,0.153,0.0097,0.145,-0.001,-0.012,-1.653,-3.241,-117.74,12.17,-0.38,1,0.896,4.36,2.0,-2.312,1,5,0.1459,0.1459,0.1422,0.1459
4.12,1,0.869,-2.25,-0.16,5,74.8,20.46,0.1622,0.0113,0.141,0.001,0.023,-1.656,-3.246,-117.8,12.17,-0.38,1,0.896,4.36,2.0,-2.312,1,5,0.1402,0.1457,0.1383,0.1402
4.15,1,0.85,-2.25,0.1,5,75.1,20.46,0.1617,0.0248,0.142,0.001,0.007,-1.657,-3.249,-117.8,12.17,-0.38,1,0.892,3.39,0.77,-2.333,1,5,0.142,0.1476,0.1383,0.1402
4.185,1,0.874,-2.25,0.12,5,74.8,20.44,0.1686,0.0182,0.147,-0.001,0.009,-1.66,-3.254,-117.74,12.17,-0.38,1,0.887,3.39,1.38,-0.853,1,5,0.1476,0.1458,0.1458,0.1476
4.22,1,0.876,-2.0,0.17,5,74.5,20.44,0.1828,0.0173,0.154,-0.0,0.076,-1.663,-3.26,-117.69,12.17,-0.38,1,0.887,3.39,1.38,-0.853,1,5,0.1496,0.1533,0.1533,0.1588
4.25,1,0.834,-1.25,-0.05,5,73.9,20.46,0.1897,0.0126,0.156,0.002,0.084,-1.664,-3.263,-117.57,12.17,-0.38,1,0.9,4.36,1.03,-2.795,1,5,0.1459,0.1588,0.157,0.1607
4.288,1,0.862,-1.75,0.43,5,73.6,20.46,0.1658,0.0094,0.162,0.005,0.006,-1.667,-3.269,-117.57,12.17,-0.38,1,0.894,5.33,2.21,-2.751,1,5,0.1494,0.1678,0.166,0.166
4.319,1,0.87,-1.25,0.08,5,73.7,20.46,0.1601,0.0046,0.172,0.004,0.034,-1.671,-3.276,-117.57,12.17,-1.1,1,0.888,4.36,2.0,-2.305,1,5,0.1626,0.1774,0.1737,0.1737
4.352,1,0.85,-0.75,-0.18,5,73.6,20.46,0.1503,0.0076,0.176,-0.0,0.033,-1.673,-3.279,-117.51,12.17,-1.1,1,0.895,4.36,1.04,-4.436,1,5,0.172,0.1775,0.1738,0.1793
4.385,1,0.85,-0.75,0.21,5,73.4,20.46,0.1384,0.0075,0.176,-0.004,0.02,-1.676,-3.285,-117.51,12.17,-1.1,1,0.895,4.36,1.04,-4.436,1,5,0.1796,0.1777,0.1666,0.1796
4.421,1,0.862,-1.25,0.67,5,73.3,20.0,0.1143,0.0009,0.171,-0.0,-0.014,-1.679,-3.291,-117.51,12.17,-1.1,1,0.895,4.36,1.04,-4.436,1,5,0.1692,0.171,0.1692,0.1729
4.454,1,0.859,-1.25,0.35,5,73.5,20.46,0.1091,-0.0004,0.166,0.001,-0.078,-1.68,-3.294,-117.57,12.17,-1.1,1,0.895,4.36,1.04,-4.436,1,5,0.1599,0.1654,0.1691,0.1691
4.49,1,0.863,-1.75,0.25,5,74.0,20.44,0.1091,0.0052,0.161,0.001,-0.006,-1.683,-3.299,-117.63,12.17,-1.1,1,0.895,4.36,1.04,-4.436,1,5,0.1506,0.1543,0.1708,0.169
4.518,1,0.856,-1.5,0.01,5,73.4,20.44,0.116,0.0129,0.154,-0.006,0.035,-1.686,-3.304,-117.63,12.19,-2.01,1,0.901,4.36,0.99,-2.779,1,5,0.1533,0.144,0.1533,0.1662
4.551,1,0.859,-1.25,-0.23,5,73.2,20.44,0.1109,0.0138,0.152,-0.007,0.082,-1.688,-3.307,-117.51,12.19,-2.01,1,0.898,4.36,0.99,-4.488,1,5,0.1565,0.1436,0.1473,0.162
4.586,1,0.865,-1.75,0.54,5,73.9,20.44,0.1078,0.0147,0.144,-0.006,-0.036,-1.69,-3.312,-117.46,12.19,-2.01,1,0.898,4.36,0.99,-4.488,1,5,0.1509,0.1435,0.1343,0.149
4.618,1,0.873,-1.75,0.25,5,74.4,20.46,0.1078,0.0074,0.137,-0.003,0.039,-1.693,-3.316,-117.46,12.19,-2.01,1,0.898,4.36,0.99,-4.488,1,5,0.1407,0.1407,0.1279,0.1388
4.684,1,0.88,-1.75,0.15,5,74.6,20.2,0.1217,0.0114,0.128,-0.005,-0.016,-1.697,-3.323,-117.46,12.19,-2.01,1,0.863,13.09,17.44,0.0,0,5,0.1322,0.1231,0.1231,0.1322
4.723,1,0.892,-2.25,0.4,5,74.9,20.44,0.1358,0.013,0.122,-0.006,-0.044,-1.699,-3.327,-117.51,12.19,-3.21,1,0.863,13.09,17.44,0.0,0,5,0.1295,0.1166,0.1166,0.1258
4.75,1,0.887,-2.25,0.13,5,74.2,20.44,0.144,0.0129,0.12,-0.006,0.002,-1.701,-3.329,-117.57,12.19,-3.21,1,0.887,12.12,14.22,-1.296,1,5,0.1294,0.1146,0.1128,0.1239
4.784,1,0.872,-2.0,0.06,5,73.8,19.97,0.1321,0.0188,0.119,-0.001,0.093,-1.702,-3.334,-117.46,12.19,-3.21,1,0.891,11.15,14.26,-3.604,1,5,0.1203,0.1203,0.1147,0.1203
4.819,1,0.869,-2.0,0.21,5,73.9,19.97,0.1299,0.0168,0.121,0.003,-0.023,-1.703,-3.336,-117.4,12.19,-3.21,1,0.891,11.15,14.26,-3.604,1,5,0.1147,0.1295,0.1184,0.1203
4.852,1,0.891,-2.25,0.22,5,74.0,20.46,0.1299,0.0137,0.12,0.006,-0.038,-1.704,-3.338,-117.46,12.19,-3.21,1,0.891,11.15,14.26,-3.604,1,5,0.1109,0.1294,0.122,0.1183
4.886,1,0.878,-2.25,0.4,5,74.4,20.44,0.1368,0.0163,0.12,0.005,0.029,-1.707,-3.344,-117.46,12.19,-3.21,1,0.889,11.15,11.69,-0.939,1,5,0.1079,0.1276,0.1222,0.1204
4.917,1,0.882,-1.75,-0.05,5,74.6,20.46,0.1474,0.0117,0.119,0.001,0.035,-1.709,-3.346,-117.4,12.17,-1.73,1,0.891,11.15,13.85,-2.903,1,5,0.1128,0.1217,0.1182,0.1235
4.951,1,0.891,-1.75,0.64,5,75.0,20.04,0.1354,0.0157,0.119,-0.003,0.058,-1.71,-3.348,-117.34,12.17,-1.73,1,0.889,11.15,12.53,-4.016,1,5,0.118,0.118,0.1144,0.1252
4.986,1,0.89,-1.25,0.08,5,74.8,20.46,0.1423,0.0008,0.121,-0.004,0.068,-1.713,-3.354,-117.23,12.17,-1.73,1,0.873,10.66,13.54,-0.794,1,5,0.1231,0.1249,0.1102,0.1267
5.018,1,0.893,-0.75,0.2,5,75.1,20.0,0.1374,0.0076,0.124,0.003,-0.045,-1.715,-3.359,-117.17,12.17,-1.73,1,0.879,8.24,8.16,-4.631,1,5,0.1164,0.133,0.122,0.1257
5.05,1,0.888,-1.25,0.46,5,74.9,20.44,0.1153,0.0005,0.124,0.003,-0.045,-1.715,-3.359,-117.17,12.17,-1.73,1,0.894,9.21,7.1,-4.19,1,5,0.1164,0.133,0.122,0.1257
