t,valid,conf,lat_mm,head_deg,bandas,contraste,larg_mm,vx,wz,odom_vx,odom_vy,odom_wz,x_m,y_m,yaw_deg,volts,servo,f_valid,f_conf,f_lat_mm,f_head_deg,f_curv,f_curv_ok,f_bandas,fl,fr,rl,rr
0.021,1,0.786,-2.25,0.25,5,72.7,20.56,0.0209,0.0138,0.0,0.0,0.001,-1.478,-2.907,-117.4,12.25,0.0,1,0.837,22.78,33.07,0.0,0,5,0.0,0.0,0.0,0.0
0.056,1,0.785,-2.25,0.28,5,72.6,20.46,0.035,0.0159,0.0,0.0,0.004,-1.478,-2.907,-117.4,12.25,0.0,1,0.822,19.87,34.48,0.0,0,5,0.0,0.0,0.0,0.0
0.091,1,0.789,-2.25,0.25,5,72.6,20.56,0.0489,0.0154,0.002,0.001,-0.003,-1.478,-2.908,-117.4,12.25,3.13,1,0.697,6.79,17.22,0.0,0,5,0.0018,0.0037,0.0018,0.0
0.124,1,0.785,-2.25,0.24,5,72.6,20.56,0.0559,0.0158,0.006,0.003,-0.001,-1.478,-2.908,-117.4,12.25,3.13,1,0.697,6.79,17.22,0.0,0,5,0.0036,0.0146,0.0036,0.0036
0.154,1,0.798,-1.75,0.01,5,72.5,20.46,0.07,0.0159,0.014,0.004,0.04,-1.478,-2.909,-117.34,12.25,3.13,1,0.829,0.48,4.56,3.351,1,5,0.0127,0.0273,0.0073,0.0073
0.19,1,0.797,-1.75,-0.04,5,72.4,20.04,0.07,0.0138,0.017,0.003,0.006,-1.479,-2.909,-117.28,12.25,3.13,1,0.86,-0.48,-5.97,-1.065,1,5,0.0146,0.0329,0.0073,0.0146
0.26,1,0.812,-1.75,0.72,5,72.4,19.85,0.07,0.0158,0.042,0.0,0.011,-1.48,-2.913,-117.28,12.25,3.13,1,0.86,-4.36,-10.2,-1.867,1,5,0.035,0.0386,0.0294,0.035
0.324,1,0.78,-1.75,0.76,5,72.6,20.46,0.07,0.0027,0.061,0.0,0.007,-1.482,-2.916,-117.23,12.25,5.3,1,0.881,-4.36,-9.79,-2.807,1,5,0.0591,0.061,0.0628,0.0628
0.353,1,0.777,-1.75,0.64,5,73.3,20.46,0.07,0.0023,0.067,-0.0,-0.009,-1.483,-2.917,-117.23,12.25,5.3,1,0.878,-4.36,-9.79,-2.836,1,5,0.0647,0.0665,0.0665,0.0702
0.422,1,0.804,-1.75,0.08,5,72.2,19.85,0.07,0.0043,0.078,0.001,-0.002,-1.486,-2.923,-117.28,12.25,5.3,1,0.882,-4.36,-11.63,-3.11,1,5,0.0758,0.0776,0.0812,0.0776
0.456,1,0.793,-1.75,-0.22,5,71.8,20.44,0.07,0.0143,0.077,0.002,-0.028,-1.486,-2.925,-117.28,12.25,5.3,1,0.879,-4.36,-11.14,-4.044,1,5,0.074,0.0776,0.0812,0.0758
