t,valid,conf,lat_mm,head_deg,bandas,contraste,larg_mm,vx,wz,odom_vx,odom_vy,odom_wz,x_m,y_m,yaw_deg,volts,servo,f_valid,f_conf,f_lat_mm,f_head_deg,f_curv,f_curv_ok,f_bandas,fl,fr,rl,rr
0.001,1,0.82,-2.75,-1.46,5,72.5,20.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1.66,11.82,-0.0,1,0.831,10.66,9.67,-0.606,1,5,0.0,0.0,0.0,0.0
0.004,1,0.821,-2.75,-1.46,5,72.6,20.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.66,11.82,-0.0,1,0.83,10.66,9.67,-0.607,1,5,0.0,0.0,0.0,0.0
0.007,1,0.82,-2.75,-1.46,5,72.5,20.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.66,11.82,-0.0,1,0.83,10.66,9.67,-0.606,1,5,0.0,0.0,0.0,0.0
0.009,1,0.82,-2.75,-1.46,5,72.6,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,11.82,-0.0,1,0.83,10.66,9.67,-0.608,1,5,0.0,0.0,0.0,0.0
0.01,1,0.821,-2.75,-1.46,5,72.6,20.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,1.66,11.82,-0.0,1,0.831,10.66,9.67,-0.604,1,5,0.0,0.0,0.0,0.0
0.058,1,0.82,-2.75,-1.46,5,72.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.66,11.82,-0.0,1,0.829,10.66,9.67,-0.609,1,5,0.0,0.0,0.0,0.0
0.096,1,0.821,-2.75,-1.46,5,72.6,20.0,0.0143,0.0502,0.0,0.0,0.0,0.0,0.0,1.66,11.82,-0.0,1,0.829,10.66,9.67,-0.609,1,5,0.0,0.0,0.0,0.0
0.128,1,0.82,-2.75,-1.46,5,72.5,20.0,0.0281,0.0502,0.0,0.0,0.0,0.0,0.0,1.66,11.82,-0.0,1,0.829,10.66,9.67,-0.607,1,5,0.0,0.0,0.0,0.0
0.166,1,0.822,-2.75,-1.42,5,72.7,20.46,0.0426,0.0502,0.002,-0.0,0.002,0.0,-0.0,1.66,11.82,-0.0,1,0.831,10.66,9.66,-0.599,1,5,0.0,0.0029,0.0,0.0044
0.196,1,0.819,-2.75,-1.46,5,72.5,20.0,0.0494,0.0494,0.005,0.0,0.024,0.001,0.0,1.72,11.85,-0.85,1,0.831,10.66,9.66,-0.599,1,5,0.0,0.0029,0.0015,0.0058
0.262,1,0.819,-2.25,-1.43,5,72.5,20.0,0.07,0.0502,0.015,0.002,0.035,0.002,0.0,1.83,11.85,-0.85,1,0.831,10.66,9.66,-0.608,1,5,0.0055,0.0183,0.0146,0.0201
0.295,1,0.818,-2.25,-1.4,5,72.4,20.46,0.0843,0.0438,0.019,0.001,0.057,0.002,0.0,1.89,11.85,-0.85,1,0.828,11.15,9.56,-2.663,1,5,0.0109,0.0253,0.0163,0.0253
0.326,1,0.809,-2.0,-1.34,5,72.2,20.0,0.0981,0.0438,0.031,0.001,0.019,0.004,0.0,1.89,11.85,-0.85,1,0.819,11.15,11.02,-3.231,1,5,0.0255,0.0364,0.0291,0.0346
0.363,1,0.812,-2.0,-1.09,5,72.2,20.0,0.105,0.0397,0.048,0.001,0.006,0.007,0.0,1.95,11.85,-0.85,1,0.819,11.15,11.02,-3.231,1,5,0.0422,0.0532,0.0459,0.0514
0.398,1,0.811,-1.75,-0.16,5,71.7,20.0,0.1,0.036,0.068,0.002,0.006,0.01,0.001,1.95,11.85,0.74,1,0.824,12.12,10.52,0.358,1,5,0.0611,0.0703,0.0685,0.0703
0.496,1,0.787,-1.0,-0.23,5,71.1,19.59,0.092,0.0178,0.099,-0.0,-0.04,0.018,0.001,2.01,11.85,0.74,1,0.79,11.15,10.22,-0.422,1,5,0.0995,0.0995,0.0977,0.0995
0.527,1,0.789,-1.0,-0.05,5,71.1,20.2,0.092,0.0104,0.107,-0.001,0.087,0.023,0.001,2.01,11.85,0.74,1,0.806,9.69,5.87,-2.425,1,5,0.1088,0.1069,0.1051,0.1069
0.565,1,0.786,-0.75,0.84,5,71.1,19.59,0.092,0.0082,0.106,-0.002,0.016,0.027,0.001,2.06,11.85,0.74,1,0.823,10.66,5.62,-1.754,1,5,0.1055,0.1055,0.1018,0.111
0.595,1,0.791,-0.75,1.14,5,71.2,19.27,0.092,-0.0102,0.105,-0.002,0.003,0.029,0.001,2.06,11.85,2.87,1,0.823,10.66,5.62,-1.754,1,5,0.1036,0.1036,0.1018,0.1092
0.627,1,0.79,-0.75,1.13,5,71.7,19.27,0.092,-0.0145,0.099,-0.002,-0.021,0.033,0.001,2.01,11.85,2.87,1,0.814,10.66,5.62,-1.671,1,5,0.0981,0.0963,0.0981,0.1037
0.695,1,0.79,-2.5,2.46,5,72.2,19.27,0.092,-0.0137,0.097,0.003,-0.026,0.038,0.002,1.89,11.85,2.87,1,0.783,8.24,5.23,-4.904,1,5,0.098,0.0925,0.1073,0.0906
0.726,1,0.797,-2.75,2.67,5,72.5,19.59,0.0726,-0.016,0.101,0.004,-0.066,0.043,0.002,1.78,11.85,2.87,1,0.756,2.42,-1.4,-5.897,1,5,0.1036,0.0962,0.1128,0.0906
0.762,1,0.769,-2.99,2.29,5,72.7,19.59,0.0726,-0.0175,0.105,0.001,-0.04,0.047,0.002,1.66,11.85,2.87,1,0.756,2.42,-1.4,-5.897,1,5,0.111,0.0999,0.1129,0.0981
0.797,1,0.788,-3.24,2.56,5,73.4,19.85,0.0726,-0.0093,0.105,0.001,-0.045,0.049,0.002,1.6,11.85,4.44,1,0.358,3.61,-6.35,-3.831,1,4,0.1128,0.1036,0.1091,0.0962
0.825,1,0.792,-3.24,1.98,5,73.4,19.85,0.0726,-0.0124,0.1,0.0,-0.014,0.053,0.002,1.6,11.85,4.44,1,0.358,3.0,-8.55,0.0,0,4,0.1073,0.098,0.1036,0.0925
0.863,1,0.762,-3.49,1.45,5,72.9,20.57,0.0726,-0.0029,0.094,0.001,-0.028,0.056,0.002,1.55,11.85,4.44,1,0.358,3.0,-8.55,0.0,0,4,0.0981,0.0889,0.1018,0.0889
0.895,1,0.801,-3.74,2.2,5,73.2,19.85,0.0726,0.0086,0.093,-0.001,-0.046,0.058,0.002,1.49,11.85,4.44,1,0.781,-0.97,-5.8,0.0,0,5,0.0944,0.0815,0.1018,0.0926
0.927,1,0.814,-2.5,0.72,5,72.8,19.97,0.0726,-0.0024,0.088,-0.002,-0.004,0.061,0.002,1.38,11.85,4.44,1,0.781,-0.97,-5.8,0.0,0,5,0.0908,0.0759,0.0945,0.0889
0.998,1,0.807,-2.75,0.66,5,73.3,20.04,0.07,0.0082,0.078,-0.002,-0.024,0.068,0.002,1.38,11.85,3.04,1,0.82,1.94,-9.14,0.0,0,5,0.0833,0.0703,0.0814,0.0759
1.025,1,0.811,-2.75,0.35,5,73.3,20.0,0.07,0.0129,0.077,-0.002,0.008,0.069,0.002,1.38,11.85,3.04,1,0.82,1.94,-9.14,0.0,0,5,0.0796,0.0704,0.0796,0.0778
1.063,1,0.794,-2.75,-0.35,5,73.3,20.04,0.07,0.0183,0.075,-0.001,-0.021,0.072,0.002,1.38,11.85,3.04,1,0.82,1.94,-9.14,0.0,0,5,0.0721,0.0703,0.0777,0.0814
1.094,1,0.822,-2.75,0.42,5,73.3,20.0,0.07,0.0306,0.074,-0.002,0.004,0.074,0.002,1.38,11.85,3.04,1,0.84,0.97,-8.7,0.0,0,5,0.0703,0.0703,0.074,0.0814
1.161,1,0.816,-2.5,0.08,5,73.7,20.0,0.07,0.0174,0.073,0.0,0.006,0.079,0.003,1.43,11.85,3.04,1,0.847,5.33,5.41,-4.813,1,5,0.0666,0.074,0.0722,0.0777
1.194,1,0.788,-2.25,0.08,5,73.7,20.46,0.07,0.0202,0.073,0.001,0.011,0.081,0.003,1.43,11.87,-0.27,1,0.869,5.33,2.99,0.0,0,5,0.0666,0.074,0.074,0.0759
1.228,1,0.775,-2.25,0.01,5,73.0,20.46,0.07,0.0174,0.072,0.0,-0.005,0.084,0.003,1.43,11.87,-0.27,1,0.867,5.33,3.09,0.0,0,5,0.0666,0.0722,0.0722,0.0759
1.261,1,0.789,-2.25,-0.49,5,73.4,20.04,0.07,0.0191,0.07,0.001,0.007,0.087,0.003,1.43,11.87,-0.27,1,0.859,5.33,3.11,0.0,0,5,0.0722,0.0722,0.0703,0.0666
1.297,1,0.804,-2.25,0.07,5,73.0,20.04,0.07,0.028,0.07,0.003,-0.015,0.089,0.003,1.43,11.87,-0.27,1,0.845,7.76,1.69,-5.343,1,5,0.074,0.074,0.0721,0.061
1.33,1,0.794,-2.25,-0.7,5,72.5,20.0,0.07,0.0185,0.07,0.002,-0.011,0.091,0.003,1.43,11.87,-0.27,1,0.84,7.76,1.72,-5.331,1,5,0.074,0.0722,0.0722,0.0611
1.363,1,0.779,-2.25,-1.42,5,72.6,20.46,0.07,0.0321,0.071,0.002,0.002,0.094,0.003,1.43,11.87,-0.27,1,0.84,7.76,1.72,-5.331,1,5,0.0721,0.0721,0.074,0.0666
1.395,1,0.773,-2.25,-1.78,5,72.7,20.46,0.07,0.0448,0.071,-0.0,-0.041,0.096,0.003,1.38,11.87,-2.14,1,0.805,11.63,8.28,-2.336,1,5,0.0722,0.0685,0.0722,0.0703
1.428,1,0.785,-2.5,-1.24,5,72.9,19.97,0.07,0.0511,0.07,-0.0,-0.075,0.098,0.003,1.26,11.87,-2.14,1,0.805,11.63,8.28,-2.336,1,5,0.0703,0.0685,0.0703,0.0703
1.461,1,0.784,-2.75,-1.69,5,72.8,20.0,0.07,0.045,0.07,-0.0,-0.009,0.101,0.003,1.2,11.87,-2.14,1,0.825,10.66,8.08,-1.824,1,5,0.0737,0.07,0.0682,0.0663
1.494,1,0.807,-2.75,-0.22,5,72.7,20.04,0.07,0.0554,0.069,-0.0,0.002,0.102,0.003,1.2,11.87,-2.14,1,0.825,10.66,8.08,-1.824,1,5,0.0719,0.07,0.0682,0.0663
1.525,1,0.805,-2.75,-0.03,5,72.3,20.04,0.07,0.0292,0.069,0.001,0.024,0.105,0.004,1.2,11.87,-2.14,1,0.786,12.6,9.58,-1.008,1,5,0.0682,0.07,0.07,0.0663
1.563,1,0.805,-2.5,-0.3,5,72.1,20.04,0.07,0.0258,0.067,0.002,0.028,0.107,0.004,1.32,11.87,-2.14,1,0.825,13.57,13.64,-0.312,1,5,0.0592,0.0684,0.0684,0.0703
1.594,1,0.804,-2.25,-0.04,5,72.0,20.0,0.07,0.0273,0.067,0.003,0.027,0.109,0.004,1.38,11.88,-1.2,1,0.825,13.57,13.64,-0.312,1,5,0.0573,0.0703,0.0684,0.0703
1.66,1,0.797,-1.75,-0.25,5,71.4,20.2,0.07,0.0202,0.067,0.003,0.018,0.114,0.004,1.43,11.88,-1.2,1,0.802,11.63,15.54,-4.563,1,5,0.0588,0.0735,0.0661,0.0698
1.695,1,0.806,-1.5,-0.32,5,71.7,19.59,0.07,0.0183,0.067,0.002,0.015,0.117,0.004,1.49,11.88,-1.2,1,0.805,11.63,15.91,-3.896,1,5,0.0588,0.0698,0.0661,0.0698
1.726,1,0.827,-1.75,0.4,5,72.6,19.85,0.07,0.0172,0.067,0.003,0.044,0.118,0.004,1.49,11.88,-1.2,1,0.798,13.09,15.22,-1.924,1,5,0.0619,0.0729,0.0674,0.0674
1.758,1,0.832,-1.25,0.37,5,73.1,20.04,0.07,0.008,0.066,0.002,-0.003,0.121,0.004,1.6,11.88,-1.2,1,0.798,13.09,15.22,-1.924,1,5,0.0643,0.0716,0.0643,0.0643
1.798,1,0.831,-1.5,0.59,5,73.1,19.97,0.07,0.0029,0.068,0.0,-0.042,0.122,0.004,1.55,11.88,-1.2,1,0.81,12.12,9.31,-1.924,1,5,0.0692,0.0728,0.0637,0.0655
1.894,1,0.81,-1.75,0.22,5,73.7,20.2,0.07,0.003,0.074,-0.004,-0.005,0.128,0.004,1.43,11.88,0.62,1,0.819,12.12,9.1,-3.92,1,5,0.082,0.0692,0.0711,0.0747
1.924,1,0.803,-1.75,-0.02,5,73.7,20.2,0.07,0.0124,0.075,-0.0,-0.005,0.133,0.004,1.43,11.88,0.62,1,0.822,12.12,8.94,-0.927,1,5,0.0772,0.0735,0.0754,0.0735
1.994,1,0.825,-2.0,0.52,5,73.2,20.0,0.07,0.0163,0.071,0.0,-0.004,0.135,0.004,1.43,11.88,0.62,1,0.823,12.6,8.46,-1.779,1,5,0.0702,0.0702,0.0721,0.0721
2.061,1,0.814,-2.5,1.03,5,73.1,19.59,0.07,0.0096,0.065,0.003,-0.004,0.141,0.005,1.43,11.88,1.1,1,0.824,12.6,8.46,-1.779,1,5,0.0589,0.0681,0.0681,0.0663
2.095,1,0.805,-2.5,0.95,5,73.2,20.04,0.07,0.0064,0.065,0.004,0.021,0.142,0.005,1.43,11.88,1.1,1,0.825,13.09,8.15,-0.899,1,5,0.0571,0.07,0.0681,0.0644
2.193,1,0.816,-2.5,1.49,5,73.5,20.56,0.07,0.0065,0.063,0.001,-0.003,0.148,0.005,1.55,11.88,1.1,1,0.826,9.21,2.35,-1.364,1,5,0.063,0.0667,0.0611,0.0611
2.293,1,0.849,-1.75,1.53,5,73.6,20.56,0.07,-0.0033,0.068,-0.002,-0.009,0.155,0.005,1.43,11.9,2.37,1,0.826,8.72,1.44,-4.666,1,5,0.0719,0.0664,0.0664,0.0682
2.362,1,0.849,-1.25,0.95,5,73.5,20.56,0.07,-0.0126,0.071,0.001,0.021,0.161,0.006,1.49,11.9,2.37,1,0.829,8.24,1.81,-5.557,1,5,0.0666,0.0703,0.074,0.0721
2.394,1,0.844,-1.25,0.91,5,73.4,20.56,0.07,-0.0077,0.069,0.002,0.012,0.162,0.006,1.55,11.9,2.37,1,0.829,8.24,1.81,-5.557,1,5,0.0647,0.0703,0.0721,0.0703
2.562,1,0.837,-0.5,0.56,5,71.6,20.0,0.07,-0.005,0.067,0.001,0.008,0.174,0.006,1.66,11.9,1.59,1,0.837,10.18,1.31,-5.986,1,5,0.0629,0.0703,0.0666,0.0685
2.593,1,0.834,-0.5,0.56,5,71.3,20.57,0.07,-0.0076,0.067,0.001,0.003,0.176,0.006,1.66,11.9,1.59,1,0.838,10.18,1.37,-5.966,1,5,0.0649,0.0704,0.0667,0.0667
2.63,1,0.828,-0.75,0.6,5,71.0,20.46,0.07,-0.0068,0.067,-0.001,-0.031,0.178,0.006,1.6,11.91,-0.53,1,0.839,10.18,2.51,-3.742,1,5,0.0704,0.0649,0.0667,0.0667
2.659,1,0.82,-0.75,0.21,5,70.9,20.46,0.07,-0.0041,0.07,-0.003,-0.054,0.181,0.006,1.43,11.91,-0.53,1,0.836,10.18,1.38,-5.963,1,5,0.0779,0.063,0.0704,0.0686
2.693,1,0.791,-1.0,-0.01,5,70.9,20.57,0.07,0.0029,0.07,-0.003,-0.016,0.183,0.006,1.43,11.91,-0.53,1,0.828,10.18,1.34,-5.976,1,5,0.0778,0.063,0.0704,0.0685
2.796,1,0.833,-0.75,0.31,5,71.9,20.56,0.07,0.0095,0.074,0.0,0.05,0.19,0.006,1.6,11.91,-0.53,1,0.842,13.09,10.08,-2.46,1,5,0.0666,0.074,0.074,0.0796
2.824,1,0.831,-0.25,-0.02,5,72.4,20.56,0.07,0.0008,0.071,-0.0,0.033,0.193,0.006,1.72,11.91,-2.18,1,0.847,13.09,9.2,-3.275,1,5,0.0611,0.074,0.0666,0.0814
2.894,1,0.833,0.25,0.25,5,73.0,20.44,0.07,0.0012,0.069,0.002,0.041,0.197,0.007,1.83,11.91,-2.18,1,0.841,14.06,11.32,-0.806,1,5,0.0592,0.0777,0.0648,0.074
2.995,1,0.844,0.5,0.7,5,73.2,20.44,0.07,-0.0078,0.069,-0.001,-0.071,0.205,0.007,1.95,11.91,-2.18,1,0.849,15.03,12.41,-2.354,1,5,0.0665,0.0739,0.061,0.0702
3.025,1,0.848,0.5,0.85,5,73.5,20.44,0.07,-0.0182,0.07,-0.001,-0.031,0.207,0.007,1.89,11.91,-0.85,1,0.849,15.03,12.41,-2.354,1,5,0.072,0.0739,0.0647,0.0702
3.122,1,0.85,0.25,0.44,5,74.3,20.46,0.07,-0.02,0.077,0.0,-0.017,0.214,0.007,1.83,11.91,-0.85,1,0.848,14.54,10.42,-3.323,1,5,0.0795,0.0739,0.0795,0.0739
3.16,1,0.852,-0.25,0.97,5,74.6,20.46,0.07,-0.0095,0.076,-0.0,-0.022,0.217,0.007,1.83,11.91,-0.85,1,0.848,14.54,10.42,-3.323,1,5,0.0776,0.0702,0.0813,0.0757
3.193,1,0.851,-0.25,0.97,5,74.6,20.46,0.07,-0.013,0.075,-0.0,0.012,0.219,0.007,1.83,11.91,-0.85,1,0.845,14.06,11.23,-2.43,1,5,0.0776,0.0702,0.0794,0.0739
3.222,1,0.855,-0.25,0.72,5,74.8,20.46,0.07,-0.0133,0.073,-0.001,0.0,0.222,0.007,1.83,11.92,0.65,1,0.844,14.06,11.24,-2.413,1,5,0.074,0.0703,0.074,0.0758
3.294,1,0.856,0.0,0.57,5,74.9,20.56,0.07,-0.0098,0.069,-0.001,0.062,0.226,0.007,1.95,11.92,0.65,1,0.846,14.54,10.84,-1.51,1,5,0.0685,0.0666,0.0685,0.0722
3.322,1,0.851,-0.25,1.19,5,74.6,20.46,0.07,-0.0104,0.068,-0.001,-0.013,0.229,0.007,2.01,11.92,0.65,1,0.85,15.03,10.04,-2.405,1,5,0.0685,0.0666,0.0666,0.0703
3.358,1,0.846,0.25,0.89,5,74.8,20.46,0.07,-0.018,0.07,-0.001,-0.01,0.231,0.007,2.01,11.92,0.65,1,0.85,15.03,10.04,-2.405,1,5,0.0684,0.0703,0.0666,0.074
3.39,1,0.853,0.25,0.83,5,74.9,20.46,0.07,-0.0189,0.072,-0.003,-0.028,0.233,0.007,1.95,11.92,0.65,1,0.85,15.03,10.04,-2.405,1,5,0.0703,0.074,0.0647,0.0795
3.427,1,0.866,0.0,0.95,5,75.1,20.56,0.07,-0.0174,0.073,-0.003,0.0,0.236,0.007,1.95,11.92,1.84,1,0.85,15.03,10.04,-2.405,1,5,0.0739,0.0757,0.0646,0.0794
3.526,1,0.828,-0.25,0.89,5,75.2,20.44,0.07,-0.0165,0.074,-0.001,-0.006,0.243,0.007,1.95,11.92,1.84,1,0.839,11.15,2.62,-5.858,1,5,0.0734,0.0716,0.0753,0.0771
3.592,1,0.833,-0.25,0.81,5,75.6,20.44,0.07,-0.0126,0.07,-0.001,-0.002,0.248,0.007,1.95,11.92,1.84,1,0.837,11.15,2.62,-5.854,1,5,0.0699,0.068,0.0699,0.0735
3.621,1,0.858,-0.25,0.95,5,75.7,20.46,0.07,-0.0114,0.068,-0.001,-0.014,0.25,0.008,1.95,11.92,0.91,1,0.837,11.15,2.61,-5.865,1,5,0.0698,0.0662,0.068,0.0698
3.692,1,0.876,-0.25,1.01,5,75.7,20.04,0.07,-0.0141,0.068,-0.001,0.015,0.254,0.008,1.95,11.92,0.91,1,0.848,11.15,2.33,-3.199,1,5,0.0713,0.0622,0.0713,0.0658
3.722,1,0.873,-0.25,1.01,5,75.6,20.04,0.07,-0.0152,0.07,-0.0,-0.008,0.257,0.008,1.95,11.92,0.91,1,0.847,11.15,2.69,-5.837,1,5,0.0731,0.0658,0.0731,0.0676
3.793,1,0.865,-0.25,1.01,5,75.4,20.04,0.07,-0.0153,0.076,-0.001,-0.025,0.262,0.008,1.89,11.92,0.91,1,0.847,11.15,2.69,-5.837,1,5,0.0777,0.0777,0.0721,0.0758
3.821,1,0.866,0.0,0.79,5,75.3,20.0,0.07,-0.0153,0.079,-0.004,0.026,0.265,0.008,1.89,11.92,-0.76,1,0.849,11.15,2.31,-4.88,1,5,0.0833,0.0777,0.0722,0.0833
3.89,1,0.863,0.25,0.66,5,75.0,20.04,0.07,-0.0142,0.08,-0.004,0.028,0.27,0.008,2.01,11.92,-0.76,1,0.849,11.15,2.31,-4.88,1,5,0.0822,0.0786,0.0731,0.0859
3.928,1,0.86,0.25,0.74,5,74.8,20.46,0.07,-0.0146,0.075,-0.003,-0.009,0.273,0.008,2.01,11.92,-0.76,1,0.849,11.15,2.31,-4.88,1,5,0.0749,0.073,0.0712,0.0804
3.993,1,0.847,-0.25,0.9,5,74.9,20.44,0.07,-0.0157,0.068,-0.002,-0.029,0.277,0.008,1.89,11.92,-0.76,1,0.851,14.06,11.26,-2.316,1,5,0.072,0.0609,0.072,0.0683
4.026,1,0.851,-0.25,0.51,5,75.0,20.04,0.07,-0.0124,0.068,-0.0,-0.008,0.28,0.008,1.83,11.92,-1.88,1,0.859,14.06,10.95,0.233,1,5,0.0721,0.061,0.0739,0.0647
4.06,1,0.859,-0.5,0.45,5,75.0,19.97,0.07,-0.0058,0.068,0.002,-0.037,0.283,0.008,1.78,11.92,-1.88,1,0.857,14.06,8.9,-2.462,1,5,0.0699,0.0626,0.0773,0.0626
4.094,1,0.86,-0.75,0.77,5,75.4,20.04,0.07,-0.0022,0.069,0.002,-0.028,0.284,0.008,1.78,11.92,-1.88,1,0.857,14.06,8.9,-2.462,1,5,0.0699,0.0662,0.0772,0.0644
4.125,1,0.83,-0.75,0.03,5,75.7,20.04,0.07,-0.0048,0.074,-0.0,-0.013,0.287,0.008,1.72,11.92,-1.88,1,0.857,13.09,10.11,-2.334,1,5,0.0772,0.0698,0.0772,0.0717
4.222,1,0.842,-1.0,0.35,5,76.1,20.04,0.07,0.0067,0.079,-0.003,-0.02,0.295,0.008,1.6,11.92,-1.3,1,0.858,13.09,8.75,-1.928,1,5,0.0814,0.0796,0.0722,0.0833
4.327,1,0.845,-2.0,0.71,5,76.5,20.04,0.07,0.0034,0.074,-0.006,-0.026,0.303,0.008,1.6,11.92,-1.3,1,0.858,12.12,8.94,-3.871,1,5,0.0796,0.0648,0.0722,0.0796
4.356,1,0.859,-2.25,0.53,5,76.9,20.04,0.07,0.0094,0.071,-0.004,-0.032,0.305,0.008,1.55,11.92,-1.3,1,0.853,12.12,8.92,-2.376,1,5,0.0778,0.0666,0.0703,0.0778
4.425,1,0.823,-2.5,0.31,5,76.7,19.97,0.07,0.0135,0.069,-0.001,-0.005,0.31,0.008,1.49,11.92,-0.27,1,0.86,11.15,7.43,-4.458,1,5,0.0759,0.0629,0.074,0.0648
4.459,1,0.838,-2.25,0.07,5,76.5,20.46,0.07,0.0195,0.069,-0.002,-0.026,0.312,0.008,1.49,11.92,-0.27,1,0.865,11.15,7.78,-3.941,1,5,0.0759,0.0611,0.0741,0.0667
4.523,1,0.848,-2.5,0.04,5,76.5,19.97,0.07,0.0198,0.073,-0.004,0.002,0.317,0.007,1.49,11.92,-0.27,1,0.867,11.15,7.47,-2.967,1,5,0.0741,0.0667,0.0722,0.0796
4.558,1,0.837,-2.25,-0.18,5,76.5,20.46,0.07,0.0231,0.074,-0.003,0.046,0.32,0.007,1.55,11.92,-0.27,1,0.87,11.15,7.82,-2.428,1,5,0.0703,0.0758,0.0666,0.0851
4.627,1,0.862,-2.25,0.53,5,76.1,20.04,0.07,0.0234,0.075,-0.002,0.054,0.325,0.007,1.72,11.92,-0.61,1,0.867,12.12,8.97,-0.807,1,5,0.0684,0.0832,0.0629,0.0851
4.662,1,0.86,-2.25,0.52,5,76.2,20.04,0.07,0.011,0.073,-0.003,0.04,0.327,0.007,1.83,11.92,-0.61,1,0.867,12.12,8.97,-0.807,1,5,0.0685,0.0778,0.0611,0.0833
4.724,1,0.836,-2.25,0.37,5,75.8,20.46,0.07,0.0112,0.067,-0.002,0.018,0.331,0.007,1.89,11.92,-0.61,1,0.872,12.12,9.29,-3.417,1,5,0.0667,0.0685,0.0611,0.0722
4.76,1,0.856,-2.25,0.68,5,75.4,20.46,0.07,0.0138,0.067,-0.0,-0.017,0.334,0.008,1.89,11.92,-0.61,1,0.872,12.12,9.29,-3.417,1,5,0.0667,0.0704,0.0611,0.0685
4.826,1,0.84,-2.25,0.55,5,75.0,20.04,0.07,0.0083,0.066,-0.0,-0.011,0.338,0.008,1.83,11.92,0.04,1,0.873,12.12,9.31,-3.391,1,5,0.0685,0.0648,0.0666,0.0648
4.924,1,0.826,-1.75,0.47,5,74.6,20.44,0.07,0.0106,0.068,-0.003,0.001,0.345,0.008,1.89,11.92,0.04,1,0.871,12.12,8.94,-3.873,1,5,0.0667,0.0648,0.0648,0.0741
4.989,1,0.838,-1.75,0.5,5,74.6,20.44,0.07,0.0065,0.068,0.0,-0.025,0.349,0.008,1.89,11.92,0.04,1,0.862,12.12,9.65,-2.319,1,5,0.0648,0.0723,0.063,0.0704
5.024,1,0.84,-1.75,0.5,5,74.6,20.44,0.07,0.0062,0.066,-0.0,-0.001,0.351,0.008,1.89,11.92,0.51,1,0.862,12.12,9.65,-2.319,1,5,0.0666,0.0685,0.0629,0.0666
5.055,1,0.845,-1.75,0.5,5,74.6,20.44,0.07,0.0064,0.065,0.001,0.048,0.354,0.008,2.01,11.92,0.51,1,0.871,12.12,8.94,-3.865,1,5,0.0648,0.0685,0.0648,0.0667
5.093,1,0.85,-1.75,0.88,5,74.4,20.2,0.07,0.0066,0.064,0.0,0.012,0.355,0.008,2.01,11.92,0.51,1,0.871,12.12,8.94,-3.865,1,5,0.0611,0.0648,0.063,0.0667
5.12,1,0.846,-1.5,0.92,5,74.2,19.97,0.07,0.0001,0.063,0.002,0.001,0.358,0.008,2.06,11.92,0.51,1,0.865,13.09,10.15,-0.781,1,5,0.0575,0.0649,0.0649,0.0649
5.22,1,0.837,-1.5,0.9,5,74.0,19.97,0.098,-0.003,0.066,0.0,-0.022,0.364,0.008,1.95,11.91,1.29,1,0.833,10.18,9.08,-2.24,1,5,0.0666,0.0629,0.0685,0.0648
5.326,1,0.842,-1.0,0.42,5,73.5,19.97,0.0777,-0.0023,0.09,-0.003,0.002,0.373,0.008,2.01,11.91,1.29,1,0.869,10.66,3.58,-3.231,1,5,0.0927,0.0837,0.0909,0.0946
5.353,1,0.84,-0.75,0.83,5,73.3,20.46,0.0724,-0.0001,0.097,-0.001,-0.037,0.376,0.009,1.95,11.91,1.29,1,0.869,10.66,3.58,-3.231,1,5,0.0999,0.0945,0.0963,0.0963
5.426,1,0.822,-0.75,0.81,5,73.1,20.46,0.0724,-0.009,0.097,0.003,-0.037,0.383,0.009,1.89,11.91,1.02,1,0.857,10.66,2.73,-5.792,1,5,0.0999,0.098,0.1017,0.0888
5.458,1,0.833,-1.25,0.72,5,73.1,20.04,0.0724,-0.0083,0.087,0.0,-0.093,0.386,0.009,1.72,11.91,1.02,1,0.859,11.15,2.35,-4.859,1,5,0.0925,0.0796,0.0944,0.0814
5.524,1,0.827,-2.75,0.62,5,73.0,20.04,0.0724,-0.0007,0.079,0.0,-0.045,0.391,0.009,1.49,11.91,1.02,1,0.864,9.21,2.9,-2.637,1,5,0.0831,0.0647,0.0924,0.0739
5.553,1,0.823,-2.75,0.24,5,73.2,20.44,0.0724,0.0195,0.079,0.0,-0.045,0.391,0.009,1.49,11.91,1.02,1,0.868,8.24,1.64,-4.229,1,5,0.0831,0.0647,0.0924,0.0739
5.625,1,0.829,-2.5,0.02,5,73.7,19.97,0.0724,0.0229,0.073,-0.001,0.002,0.397,0.009,1.38,11.93,-0.71,1,0.867,8.24,1.7,-2.643,1,5,0.0794,0.0665,0.0775,0.0683
5.653,1,0.827,-2.5,0.13,5,73.7,19.97,0.0724,0.023,0.071,-0.001,0.01,0.398,0.009,1.43,11.93,-0.71,1,0.864,8.24,1.31,-1.525,1,5,0.0757,0.0665,0.0739,0.0683
5.725,1,0.827,-2.25,0.07,5,73.7,20.46,0.0724,0.0205,0.072,-0.001,0.018,0.404,0.009,1.43,11.93,-0.71,1,0.87,10.66,5.77,-3.597,1,5,0.074,0.074,0.0666,0.0722
