t,valid,conf,lat_mm,head_deg,bandas,contraste,larg_mm,vx,wz,odom_vx,odom_vy,odom_wz,x_m,y_m,yaw_deg,volts,perfil,servo,f_valid,f_conf,f_lat_mm,f_head_deg,f_curv,f_curv_ok,f_bandas,fl,fr,rl,rr
0.662,1,0.909,-2.0,-0.94,5,75.8,21.02,0.1468,0.027,0.136,0.002,0.033,-0.748,-1.156,76.6,11.68,1,-2.18,1,0.94,9.69,0.19,-4.732,1,5,0.1407,0.1351,0.1407,0.1259
0.751,1,0.915,-1.5,-0.62,5,75.9,20.0,0.1063,0.0349,0.142,0.004,0.028,-0.746,-1.145,76.72,11.68,1,-2.18,1,0.93,11.15,-0.27,-7.9,1,5,0.1351,0.1462,0.1462,0.1407
0.818,1,0.912,-2.0,-0.31,5,74.7,20.2,0.1014,0.0235,0.139,0.005,-0.024,-0.744,-1.134,76.72,11.68,1,-2.18,1,0.936,14.54,8.75,-5.639,1,5,0.1302,0.1504,0.1376,0.1376
0.889,1,0.902,-1.75,-0.43,5,74.3,20.2,0.1147,0.0242,0.137,-0.002,0.02,-0.742,-1.126,76.78,11.68,1,-3.9,1,0.936,14.06,7.7,-3.584,1,5,0.1402,0.1383,0.1311,0.1383
0.99,1,0.911,-2.5,-0.07,5,74.4,19.97,0.0937,0.023,0.12,0.002,-0.012,-0.739,-1.114,76.72,11.68,1,-3.9,1,0.954,13.57,6.85,-5.746,1,5,0.1146,0.1202,0.1239,0.122
1.019,1,0.908,-2.5,-0.28,5,74.4,20.2,0.098,0.0263,0.119,0.002,-0.06,-0.738,-1.109,76.66,11.68,1,-3.9,1,0.954,13.57,6.85,-5.746,1,5,0.1109,0.1239,0.1183,0.122
1.055,1,0.915,-2.5,-0.31,5,74.6,20.44,0.098,0.0289,0.119,0.001,-0.03,-0.737,-1.107,76.6,11.68,1,-3.9,1,0.954,13.57,6.85,-5.746,1,5,0.1109,0.1238,0.1164,0.1257
1.09,1,0.913,-2.5,-0.42,5,75.3,20.44,0.112,0.0291,0.121,-0.003,0.068,-0.736,-1.102,76.66,11.65,1,-5.04,1,0.948,16.96,13.46,-5.114,1,5,0.122,0.1201,0.1146,0.1257
1.156,1,0.924,-2.5,-0.67,5,75.9,20.44,0.1324,0.0318,0.115,0.001,0.017,-0.734,-1.093,76.78,11.65,1,-5.04,1,0.953,17.45,12.95,-4.276,1,5,0.1099,0.1154,0.1173,0.1173
1.223,1,0.918,-2.25,-0.32,5,75.7,20.44,0.1531,0.0386,0.117,0.003,-0.026,-0.732,-1.086,76.83,11.65,1,-5.04,1,0.972,17.45,14.23,-3.177,1,5,0.108,0.1263,0.1135,0.119
1.257,1,0.925,-1.75,-0.35,5,75.6,19.85,0.167,0.0277,0.125,0.003,0.017,-0.731,-1.081,76.89,11.65,1,-5.04,1,0.97,17.45,14.21,-3.172,1,5,0.1182,0.1348,0.1219,0.1256
1.356,1,0.931,-1.75,0.13,5,74.8,20.44,0.1814,0.0242,0.159,0.001,0.06,-0.728,-1.065,77.12,11.65,1,-5.04,1,0.965,18.42,15.17,-0.306,1,5,0.1507,0.1599,0.1599,0.1654
1.456,1,0.916,-1.25,-0.33,5,71.4,20.44,0.1824,0.0119,0.186,0.002,0.036,-0.724,-1.047,77.12,11.63,1,-2.31,1,0.951,18.42,14.35,-3.573,1,5,0.1804,0.1894,0.1876,0.1876
1.482,1,0.913,-1.0,-0.66,5,70.1,20.44,0.171,0.0178,0.192,0.001,-0.003,-0.723,-1.043,77.12,11.63,1,-2.31,1,0.951,18.42,14.35,-3.573,1,5,0.1875,0.1929,0.1947,0.1947
1.522,1,0.924,-0.75,-0.85,5,70.0,20.2,0.1669,0.0237,0.196,0.0,0.045,-0.721,-1.035,77.18,11.63,1,-2.31,1,0.944,14.54,8.02,-4.259,1,5,0.1961,0.1943,0.198,0.1943
1.555,1,0.851,-0.75,-0.87,5,64.9,20.46,0.1451,0.0241,0.193,0.005,-0.075,-0.72,-1.028,77.01,11.63,1,-2.31,1,0.943,14.54,9.27,-3.134,1,5,0.183,0.2015,0.1941,0.1923
1.621,1,0.812,-1.0,-1.0,5,62.6,20.44,0.1658,0.0278,0.19,0.003,0.022,-0.717,-1.017,77.06,11.63,1,-2.31,1,0.941,14.06,7.73,-3.584,1,5,0.1833,0.1944,0.1907,0.1907
1.656,1,0.815,-0.75,-1.22,5,62.8,20.44,0.1665,0.0344,0.182,-0.002,0.021,-0.716,-1.01,77.18,11.63,1,-1.8,1,0.935,14.06,7.73,-3.584,1,5,0.1833,0.1759,0.1851,0.1851
1.754,1,0.814,-1.0,-1.0,5,63.4,20.44,0.1787,0.039,0.175,0.003,0.046,-0.713,-0.996,77.12,11.63,1,-1.8,1,0.897,13.57,6.95,-5.75,1,5,0.1683,0.1849,0.172,0.1757
1.783,1,0.813,-1.0,-1.48,5,63.1,20.44,0.1672,0.0349,0.177,0.0,0.076,-0.711,-0.989,77.23,11.63,1,-1.8,1,0.897,13.57,6.95,-5.75,1,5,0.1755,0.1829,0.1718,0.1774
1.821,1,0.792,-0.5,-0.98,5,62.1,20.44,0.143,0.0424,0.178,0.0,-0.05,-0.71,-0.982,77.29,11.63,1,-1.8,1,0.891,14.54,8.41,-4.937,1,5,0.172,0.1812,0.1757,0.183
1.855,1,0.803,-1.0,-0.75,5,62.1,20.44,0.1237,0.0226,0.175,0.007,-0.005,-0.709,-0.975,77.18,11.63,1,-1.8,1,0.891,14.54,8.12,-0.489,1,5,0.1592,0.187,0.1777,0.1777
1.888,1,0.817,-1.0,-1.33,5,62.9,20.44,0.1378,0.0258,0.173,0.009,0.098,-0.708,-0.972,77.29,11.63,1,-1.8,1,0.896,14.06,7.74,-3.584,1,5,0.1536,0.1887,0.1758,0.1739
1.953,1,0.806,0.0,-1.29,5,62.9,20.44,0.1369,0.038,0.165,0.003,0.04,-0.706,-0.962,77.46,11.63,1,-1.8,1,0.887,14.54,9.5,-4.519,1,5,0.1609,0.1683,0.1664,0.1627
2.052,1,0.848,-0.5,-1.51,5,64.6,20.2,0.1722,0.0321,0.147,0.002,0.027,-0.703,-0.948,77.29,11.63,1,-1.8,1,0.89,14.54,8.72,0.689,1,5,0.1414,0.1469,0.1506,0.1488
2.154,1,0.87,-0.75,-1.41,5,66.1,20.44,0.207,0.0499,0.163,0.003,0.026,-0.699,-0.929,77.46,11.62,1,-1.29,1,0.892,14.54,7.85,-1.346,1,5,0.1502,0.1594,0.1557,0.1612
2.19,1,0.884,-0.5,-1.47,5,67.8,20.56,0.2207,0.0519,0.169,0.003,0.043,-0.698,-0.925,77.52,11.62,1,-1.29,1,0.895,14.54,9.77,-3.786,1,5,0.1552,0.1737,0.17,0.1774
2.32,1,0.893,0.5,-0.61,5,69.2,20.56,0.1727,0.0427,0.206,0.002,0.007,-0.692,-0.897,77.92,11.62,1,-0.22,1,0.901,12.6,4.56,-3.377,1,5,0.1941,0.2163,0.1997,0.2126
2.352,1,0.886,0.5,-0.83,5,68.5,20.56,0.1731,0.0085,0.206,0.002,0.007,-0.692,-0.897,77.92,11.62,1,-0.22,1,0.894,13.57,3.52,-2.708,1,5,0.1941,0.2163,0.1997,0.2126
2.452,1,0.888,0.5,-0.15,5,68.0,20.44,0.1696,0.016,0.2,-0.0,0.062,-0.688,-0.879,78.21,11.62,1,-0.22,1,0.895,13.57,5.78,-3.353,1,5,0.195,0.2074,0.1932,0.2056
2.556,1,0.888,0.75,-0.09,5,68.0,20.56,0.1251,-0.0019,0.183,-0.002,0.002,-0.682,-0.853,78.38,11.6,1,0.07,1,0.891,14.54,5.17,-3.362,1,5,0.1812,0.1867,0.1793,0.1995
2.587,1,0.873,0.75,0.01,5,67.2,20.81,0.1393,-0.0058,0.18,-0.001,-0.042,-0.681,-0.849,78.32,11.6,1,0.07,1,0.895,14.06,5.73,-4.439,1,5,0.1722,0.1777,0.1796,0.1907
2.652,1,0.867,0.25,-0.23,5,66.8,20.81,0.1536,-0.0075,0.178,-0.001,-0.011,-0.68,-0.842,78.27,11.6,1,0.07,1,0.894,13.57,5.76,-3.395,1,5,0.1721,0.1776,0.1758,0.1869
2.754,1,0.831,0.25,0.07,5,64.2,21.02,0.1706,0.0042,0.158,-0.007,-0.054,-0.675,-0.824,78.44,11.6,1,-0.33,1,0.885,13.57,6.27,-5.48,1,5,0.1683,0.1516,0.1535,0.1664
2.855,1,0.842,-0.25,-0.15,5,64.6,20.81,0.1878,-0.0041,0.153,-0.002,0.081,-0.672,-0.809,78.44,11.6,1,-0.33,1,0.817,13.09,7.95,1.659,1,5,0.1545,0.1509,0.1509,0.1618
2.888,1,0.83,0.25,0.3,5,63.9,21.02,0.2018,0.0081,0.155,-0.001,-0.057,-0.67,-0.802,78.55,11.6,1,-0.88,1,0.793,13.57,9.49,6.144,1,5,0.1545,0.1563,0.1509,0.1563
2.921,1,0.823,-0.25,0.25,5,63.0,20.56,0.1897,-0.0112,0.163,-0.002,0.034,-0.669,-0.795,78.5,11.6,1,-0.88,1,0.774,13.09,11.06,0.0,0,5,0.1636,0.1618,0.16,0.1654
2.95,1,0.837,-0.25,-0.06,5,63.7,20.56,0.2043,-0.0041,0.163,-0.002,0.034,-0.669,-0.795,78.5,11.6,1,-0.88,1,0.774,13.09,11.06,0.0,0,5,0.1636,0.1618,0.16,0.1654
3.025,1,0.807,-0.25,0.47,5,62.0,21.02,0.1777,0.0043,0.18,-0.0,0.031,-0.666,-0.781,78.55,11.6,1,-0.88,1,0.776,13.57,17.31,0.0,0,5,0.1773,0.1755,0.1828,0.1828
3.052,1,0.793,0.25,0.16,5,61.1,21.02,0.1756,-0.0097,0.183,-0.001,0.056,-0.665,-0.777,78.55,11.6,1,-0.88,1,0.772,14.06,18.76,0.0,0,5,0.1792,0.1774,0.1866,0.1884
3.148,1,0.807,0.5,0.16,5,61.6,21.42,0.1218,-0.0059,0.191,-0.001,-0.003,-0.661,-0.758,78.55,11.57,1,0.97,1,0.719,11.15,26.88,0.0,0,5,0.1849,0.1923,0.1886,0.1997
3.187,1,0.798,0.75,-0.1,5,60.2,21.02,0.1056,-0.0084,0.185,-0.004,0.119,-0.66,-0.751,78.72,11.57,1,0.97,1,0.72,10.66,39.49,0.0,0,5,0.1886,0.183,0.1793,0.1886
3.222,1,0.805,0.75,0.03,5,60.8,21.1,0.0935,-0.0068,0.176,-0.008,-0.109,-0.658,-0.745,78.67,11.57,1,0.97,1,0.66,7.76,49.95,0.0,0,5,0.1867,0.1683,0.1683,0.1812
3.248,1,0.815,0.0,0.0,5,61.6,21.02,0.09,-0.0084,0.172,-0.009,-0.069,-0.657,-0.741,78.55,11.57,1,0.97,1,0.66,7.76,49.95,0.0,0,5,0.1848,0.1626,0.1645,0.1774
3.353,1,0.823,-0.5,-0.79,5,62.3,20.96,0.09,0.0007,0.147,-0.001,0.108,-0.654,-0.727,78.5,11.57,1,4.96,1,0.601,-0.48,66.42,0.0,0,5,0.1462,0.1351,0.1554,0.1499
3.387,1,0.845,-0.75,-0.03,5,63.9,20.81,0.09,0.0202,0.134,-0.003,-0.089,-0.653,-0.722,78.44,11.57,1,4.96,1,0.561,-2.91,66.94,0.0,0,5,0.1405,0.1183,0.1442,0.1331
3.452,1,0.837,-1.0,-0.93,5,63.1,20.81,0.09,0.0088,0.128,-0.001,-0.091,-0.652,-0.715,78.15,11.57,1,4.96,1,0.524,-11.63,69.9,0.0,0,5,0.1368,0.1152,0.1386,0.1224
3.488,1,0.839,-1.25,-0.59,5,63.2,20.81,0.09,0.0269,0.119,0.004,-0.083,-0.651,-0.711,78.04,11.55,1,13.49,1,0.518,-13.09,70.39,0.0,0,5,0.12,0.1128,0.1326,0.1093
3.548,1,0.841,-1.75,-1.12,5,63.4,20.46,0.09,0.023,0.098,0.005,-0.055,-0.65,-0.706,77.81,11.55,1,13.49,1,0.544,-17.45,71.29,0.0,0,5,0.0989,0.0916,0.1135,0.0879
3.649,1,0.851,-2.75,-1.09,5,64.7,20.57,0.09,0.0364,0.078,0.002,-0.05,-0.648,-0.698,77.58,11.55,1,13.49,1,0.552,-25.2,71.54,0.0,0,5,0.0876,0.0694,0.0913,0.0639
3.688,1,0.852,-2.75,-1.48,5,64.6,20.46,0.09,0.0472,0.07,0.002,-0.052,-0.648,-0.695,77.52,11.55,1,19.84,1,0.523,-30.54,70.34,0.0,0,5,0.0771,0.0624,0.0826,0.0587
3.753,1,0.853,-2.75,-1.48,5,64.7,20.46,0.09,0.0524,0.065,0.001,0.008,-0.647,-0.691,77.46,11.55,1,19.84,1,0.527,-33.44,69.98,0.0,0,5,0.0645,0.0627,0.07,0.0645
3.788,1,0.853,-2.5,-1.3,5,64.7,20.57,0.09,0.0518,0.062,0.002,0.044,-0.647,-0.689,77.52,11.55,1,19.84,1,0.558,-36.84,69.92,0.0,0,5,0.0555,0.0666,0.0611,0.0648
3.848,1,0.869,-2.25,-1.36,5,66.0,20.46,0.09,0.0452,0.06,0.0,0.066,-0.646,-0.685,77.69,11.55,1,19.84,1,0.532,-38.78,69.07,0.0,0,5,0.0536,0.0703,0.0499,0.0666
3.887,1,0.878,-1.75,-1.66,5,66.8,20.56,0.09,0.0433,0.06,-0.002,0.027,-0.645,-0.683,77.75,11.55,1,25.28,1,0.558,-41.2,68.75,0.0,0,5,0.0554,0.0702,0.0443,0.0684
3.948,1,0.877,-1.75,-1.24,5,66.6,20.46,0.09,0.0433,0.057,0.0,0.05,-0.645,-0.68,77.86,11.55,1,25.28,1,0.568,-42.65,68.03,0.0,0,5,0.0517,0.0684,0.0462,0.0628
3.987,1,0.873,-1.25,-1.41,5,66.1,20.46,0.09,0.0364,0.057,0.001,0.039,-0.644,-0.678,77.98,11.55,1,25.28,1,0.553,-38.78,68.08,0.0,0,5,0.0497,0.0644,0.0515,0.0626
4.026,1,0.882,-1.25,-0.99,5,66.9,20.44,0.09,0.0339,0.057,0.001,0.096,-0.644,-0.675,78.09,11.55,1,25.28,1,0.543,-36.84,67.15,0.0,0,5,0.0515,0.0644,0.0533,0.0607
4.053,1,0.871,-1.25,-1.11,5,66.0,20.46,0.09,0.0268,0.06,-0.0,0.037,-0.643,-0.673,78.21,11.55,1,25.28,1,0.57,-34.9,67.46,0.0,0,5,0.0533,0.0662,0.0533,0.0625
4.149,1,0.88,-0.25,-0.74,5,66.8,20.46,0.09,0.03,0.066,0.001,0.045,-0.642,-0.667,78.44,11.54,1,29.97,1,0.571,-33.44,66.15,0.0,0,5,0.0572,0.0757,0.0591,0.072
4.187,1,0.895,0.25,-0.49,5,68.2,20.46,0.09,0.0121,0.067,0.004,0.051,-0.642,-0.665,78.55,11.54,1,29.97,1,0.599,-31.02,64.47,0.0,0,5,0.0536,0.0794,0.0628,0.0739
4.248,1,0.872,0.25,1.46,5,69.8,20.56,0.09,0.0036,0.07,0.001,0.036,-0.641,-0.661,78.67,11.54,1,29.97,1,0.599,-31.02,64.47,0.0,0,5,0.061,0.0776,0.0647,0.0776
4.287,1,0.853,0.25,2.75,5,70.3,20.56,0.09,-0.0295,0.073,0.0,0.023,-0.64,-0.658,78.72,11.54,1,35.23,1,0.61,-25.69,63.91,0.0,0,5,0.0666,0.0777,0.0685,0.0777
4.354,1,0.792,0.5,1.44,5,71.1,20.44,0.09,-0.0511,0.071,0.001,0.004,-0.639,-0.652,78.78,11.54,1,35.23,1,0.625,-24.23,61.93,0.0,0,5,0.0646,0.0776,0.0683,0.0757
4.386,1,0.733,0.75,-0.71,4,72.2,20.45,0.09,-0.0309,0.071,-0.0,-0.004,-0.639,-0.651,78.78,11.54,1,35.23,1,0.666,-24.72,60.39,0.0,0,5,0.0683,0.0757,0.0646,0.0739
4.447,1,0.702,0.5,3.01,4,71.5,20.29,0.09,0.0044,0.073,-0.001,0.003,-0.638,-0.647,78.72,11.54,1,35.23,1,0.674,-25.2,58.34,0.0,0,5,0.0734,0.0716,0.0716,0.0734
4.486,1,0.672,0.5,4.16,4,71.6,20.56,0.09,-0.0572,0.077,-0.0,-0.024,-0.638,-0.644,78.72,11.54,1,39.47,1,0.68,-22.78,55.64,0.0,0,5,0.0785,0.0732,0.0803,0.075
4.548,1,0.609,0.75,3.85,4,70.9,20.56,0.09,-0.0772,0.083,-0.001,-0.002,-0.636,-0.639,78.78,11.54,1,39.47,1,0.724,-19.87,55.25,0.0,0,5,0.0842,0.0805,0.0824,0.0842
4.586,1,0.538,0.75,0.19,3,70.9,20.56,0.09,-0.0746,0.083,-0.001,-0.007,-0.636,-0.635,78.72,11.54,1,39.47,1,0.74,-16.96,55.37,0.0,0,5,0.0856,0.0838,0.0801,0.0838
4.648,1,0.477,0.75,8.14,3,69.3,20.57,0.09,-0.0104,0.081,0.002,-0.027,-0.635,-0.631,78.67,11.54,1,39.47,1,0.732,-17.45,51.45,0.0,0,5,0.0808,0.0826,0.0844,0.0771
4.687,1,0.444,0.75,9.83,3,67.3,20.46,0.09,-0.1491,0.08,0.002,-0.036,-0.634,-0.627,78.61,11.54,1,44.35,1,0.773,-14.06,49.87,0.0,0,5,0.0809,0.079,0.0845,0.0753
4.747,1,0.323,0.5,0.0,2,63.1,22.11,0.09,-0.1784,0.077,0.004,0.003,-0.634,-0.623,78.55,11.54,1,44.35,1,0.773,-11.63,49.98,0.0,0,5,0.0753,0.0808,0.0808,0.0716
4.786,1,0.288,0.25,0.0,2,61.0,24.21,0.09,-0.0039,0.08,0.006,-0.047,-0.633,-0.619,78.5,11.54,1,44.35,1,0.773,-6.3,50.41,0.0,0,5,0.0814,0.0814,0.0907,0.0685
4.848,1,0.195,-0.5,0.0,2,53.0,29.2,0.09,-0.0014,0.087,0.004,-0.121,-0.632,-0.614,78.04,11.54,1,44.35,1,0.773,-4.85,50.44,0.0,0,5,0.0963,0.0722,0.1092,0.0703
4.884,1,0.152,1.25,0.0,2,48.2,33.06,0.09,0.0072,0.087,0.004,-0.047,-0.632,-0.611,77.92,11.54,1,44.88,1,0.785,0.0,49.78,0.0,0,5,0.0944,0.074,0.1074,0.0703
4.947,1,0.117,5.99,46.29,3,37.3,33.75,0.09,-0.0138,0.087,0.004,-0.012,-0.631,-0.606,77.86,11.54,1,44.88,1,0.797,2.42,49.96,0.0,0,5,0.087,0.0888,0.0925,0.0796
4.979,1,0.101,8.49,0.0,2,33.5,28.41,0.0783,-0.0138,0.086,0.0,0.005,-0.63,-0.602,77.92,11.54,1,44.88,1,0.797,2.42,49.96,0.0,0,5,0.0832,0.0887,0.0832,0.0887
5.047,1,0.086,18.47,0.0,2,30.3,29.86,0.045,-0.0138,0.082,-0.001,0.002,-0.629,-0.598,77.86,11.54,1,44.88,1,0.799,9.69,50.1,0.0,0,5,0.0831,0.0849,0.0757,0.0831
5.083,1,0.015,31.64,0.0,1,30.7,21.1,0.045,-0.0138,0.077,0.001,0.078,-0.629,-0.595,78.04,11.52,1,43.12,1,0.825,15.03,50.52,0.0,0,5,0.0775,0.0794,0.0775,0.0738
5.146,0,0.0,0.0,0.0,0,32.5,0.0,0.045,-0.0138,0.064,0.0,-0.033,-0.628,-0.591,77.92,11.52,1,43.12,1,0.82,16.48,51.03,0.0,0,5,0.0648,0.0574,0.0722,0.0629
5.186,1,0.024,28.45,0.0,1,32.5,22.96,0.0331,-0.1332,0.06,-0.003,-0.008,-0.627,-0.589,77.86,11.52,1,43.12,1,0.824,22.3,52.87,0.0,0,5,0.0648,0.05,0.0648,0.0611
5.248,1,0.032,28.95,0.0,1,30.9,21.96,0.0,-0.6,0.057,-0.001,-0.017,-0.626,-0.586,77.81,11.52,1,43.12,1,0.828,27.14,53.45,0.0,0,5,0.0611,0.0537,0.0574,0.0555
5.286,1,0.029,29.7,0.0,1,31.3,20.46,0.0,-0.6,0.043,0.0,-0.069,-0.626,-0.585,77.69,11.52,1,43.0,1,0.819,29.57,55.9,0.0,0,5,0.0518,0.0352,0.05,0.0333
5.347,1,0.033,28.95,0.0,1,31.9,21.96,0.0,-0.6,0.01,0.009,-0.348,-0.627,-0.584,76.72,11.52,1,43.0,1,0.8,27.14,54.45,0.0,0,5,0.0425,-0.0148,0.0536,-0.0407
5.385,1,0.038,28.2,0.0,1,33.3,23.46,0.0,-0.6,-0.001,0.018,-0.393,-0.628,-0.584,75.8,11.52,1,43.0,1,0.8,23.27,51.02,0.0,0,5,0.0443,-0.037,0.0702,-0.0832
5.446,0,0.0,0.0,0.0,0,35.2,0.0,0.0,-0.6,-0.006,0.014,-0.475,-0.629,-0.585,74.26,11.52,1,43.0,1,0.828,20.36,49.5,0.0,0,5,0.0592,-0.0703,0.0851,-0.0998
5.483,1,0.011,31.91,0.0,1,35.8,20.57,0.0,-0.6,-0.01,0.006,-0.544,-0.629,-0.585,73.05,11.52,1,43.0,1,0.828,20.36,49.5,0.0,0,5,0.0685,-0.0907,0.0814,-0.0999
5.552,1,0.103,15.97,0.0,2,36.2,27.63,0.0,-0.6,-0.011,-0.003,-0.574,-0.629,-0.586,71.1,11.52,1,43.0,1,0.844,6.3,39.56,0.0,0,5,0.0833,-0.1092,0.0815,-0.1
5.58,1,0.214,12.48,43.66,3,39.5,28.48,0.0,-0.6,-0.01,-0.002,-0.547,-0.629,-0.586,69.84,11.52,1,43.0,1,0.844,6.3,39.56,0.0,0,5,0.0832,-0.1091,0.0851,-0.0998
5.648,1,0.281,8.98,42.72,3,44.6,28.95,0.0139,-0.0844,-0.006,0.014,-0.419,-0.63,-0.586,68.3,11.52,1,43.0,1,0.838,0.0,33.26,0.0,0,5,0.0628,-0.0739,0.0886,-0.1034
5.68,1,0.297,7.74,42.49,3,45.8,29.45,0.0207,-0.1253,-0.006,0.022,-0.481,-0.631,-0.586,67.27,11.52,1,43.0,1,0.838,0.0,33.26,0.0,0,5,0.0554,-0.0554,0.0887,-0.1109
5.719,1,0.347,5.74,41.67,4,48.2,28.67,0.035,-0.2121,-0.006,0.022,-0.42,-0.632,-0.586,66.29,11.52,1,43.0,1,0.843,-8.24,21.83,0.0,0,5,0.0591,-0.0554,0.0887,-0.1146
5.747,1,0.432,3.99,41.43,4,50.2,28.14,0.0487,-0.2952,-0.006,0.02,-0.407,-0.632,-0.586,65.83,11.52,1,43.0,1,0.843,-8.24,21.83,0.0,0,5,0.0592,-0.0573,0.0869,-0.1109
5.783,1,0.477,2.5,41.45,4,53.0,27.69,0.0556,-0.3373,-0.001,0.012,-0.339,-0.633,-0.586,65.03,11.52,1,43.0,1,0.843,-8.24,21.83,0.0,0,5,0.0573,-0.0555,0.0777,-0.0851
5.817,1,0.506,1.25,41.04,4,55.9,27.44,0.07,-0.4242,0.007,0.005,-0.31,-0.632,-0.585,64.34,11.52,1,43.0,1,0.881,-15.99,10.4,0.0,0,5,0.055,-0.0422,0.066,-0.0495
5.885,1,0.515,-0.25,40.54,4,57.8,27.32,0.09,-0.5455,0.029,-0.002,-0.294,-0.631,-0.583,63.31,11.52,1,45.0,1,0.895,-18.9,4.27,0.0,0,5,0.077,-0.0202,0.0751,-0.0147
5.916,1,0.519,-0.25,40.15,4,57.3,26.56,0.09,-0.5455,0.051,-0.003,-0.414,-0.63,-0.58,62.4,11.52,1,45.0,1,0.896,-18.9,1.1,0.0,0,5,0.1099,-0.0072,0.1045,-0.0018
5.98,1,0.603,0.5,38.33,5,56.7,25.95,0.09,-0.5455,0.082,-0.001,-0.54,-0.627,-0.576,60.62,11.52,1,45.0,1,0.889,-19.39,-1.87,0.0,0,5,0.1623,0.0018,0.1587,0.0036
6.047,1,0.636,0.75,34.54,5,60.1,25.46,0.09,-0.5455,0.093,0.002,-0.556,-0.624,-0.571,58.79,11.52,1,45.0,1,0.89,-23.27,-9.49,6.024,1,5,0.1819,0.0037,0.1875,0.0
6.085,1,0.702,0.5,35.68,5,61.8,25.31,0.09,-0.5455,0.096,0.002,-0.573,-0.622,-0.567,57.47,11.51,1,45.0,1,0.909,-26.66,-18.27,0.0,0,5,0.1877,0.0036,0.1932,0.0
6.153,1,0.652,0.5,35.31,5,60.8,24.96,0.09,-0.5455,0.099,-0.001,-0.499,-0.619,-0.562,55.58,11.51,1,45.0,1,0.954,-29.08,-26.88,0.0,0,5,0.1999,0.0,0.1944,0.0
6.186,1,0.683,0.0,34.89,5,58.1,23.96,0.09,-0.5455,0.097,0.0,-0.6,-0.617,-0.559,54.26,11.51,1,45.0,1,0.941,-31.5,-30.0,0.0,0,5,0.1942,0.0,0.1942,0.0
6.285,1,0.694,-2.0,31.85,5,61.2,23.34,0.09,-0.5455,0.096,-0.001,-0.518,-0.611,-0.551,51.05,11.51,1,45.0,1,0.943,-38.29,-40.67,0.0,0,5,0.1939,0.0,0.1902,0.0
6.386,1,0.691,-4.99,28.66,5,62.6,22.77,0.09,-0.5348,0.093,0.001,-0.542,-0.605,-0.544,47.9,11.51,1,45.0,1,0.927,-45.56,-48.32,0.0,0,5,0.1833,0.0,0.1888,0.0
6.45,1,0.767,-6.49,26.0,5,64.2,22.65,0.09,-0.447,0.092,0.0,-0.533,-0.601,-0.54,46.07,11.51,1,45.0,1,0.911,-49.92,-51.98,0.0,0,5,0.1849,0.0018,0.183,0.0
