t,valid,conf,lat_mm,head_deg,bandas,contraste,larg_mm,vx,wz,odom_vx,odom_vy,odom_wz,x_m,y_m,yaw_deg,volts,perfil,servo,f_valid,f_conf,f_lat_mm,f_head_deg,f_curv,f_curv_ok,f_bandas,fl,fr,rl,rr
0.02,1,0.912,-2.99,-1.19,5,76.8,21.02,0.0209,0.046,0.0,0.0,-0.001,-0.759,-1.212,76.66,11.7,1,-0.12,1,0.949,8.72,0.9,-0.509,1,5,0.0,0.0,0.0,0.0
0.056,1,0.916,-2.99,-1.3,5,76.7,21.02,0.0353,0.0477,0.001,-0.0,0.0,-0.759,-1.212,76.66,11.68,1,-1.2,1,0.947,8.72,0.9,-0.509,1,5,0.0,0.0,0.0018,0.0037
0.15,1,0.914,-2.75,-1.23,5,76.6,20.81,0.0699,0.0496,0.009,0.004,0.021,-0.76,-1.211,76.72,11.68,1,-1.2,1,0.949,8.72,0.9,-0.506,1,5,0.0037,0.0184,0.0074,0.0055
0.218,1,0.902,-1.75,-0.8,5,76.4,21.02,0.091,0.0456,0.03,0.003,0.071,-0.759,-1.208,76.95,11.68,1,-1.2,1,0.948,9.69,2.11,-0.508,1,5,0.0203,0.0407,0.0259,0.0333
0.256,1,0.912,-1.75,-0.79,5,76.4,20.81,0.1055,0.0265,0.048,0.003,0.021,-0.759,-1.206,77.01,11.68,1,-0.86,1,0.953,10.18,2.94,-3.742,1,5,0.0405,0.0552,0.046,0.0497
0.292,1,0.915,-1.75,-0.45,5,76.4,21.02,0.119,0.0286,0.057,0.001,0.01,-0.758,-1.204,77.01,11.68,1,-0.86,1,0.948,10.66,2.41,-2.614,1,5,0.0516,0.0626,0.0534,0.059
0.323,1,0.914,-1.5,-0.6,5,76.6,21.02,0.126,0.0232,0.075,0.002,0.019,-0.758,-1.201,77.06,11.68,1,-0.86,1,0.946,10.66,3.02,-1.299,1,5,0.0682,0.0792,0.0755,0.0774
0.357,1,0.923,-1.25,-0.56,5,76.5,20.46,0.1401,0.0248,0.093,0.002,0.024,-0.757,-1.197,77.12,11.68,1,-0.86,1,0.961,10.66,3.98,-6.028,1,5,0.0851,0.0925,0.0962,0.0962
0.426,1,0.917,-1.25,-0.34,5,76.4,21.02,0.1359,0.022,0.12,0.003,-0.002,-0.755,-1.189,77.01,11.68,1,-0.86,1,0.952,10.66,3.98,-4.523,1,5,0.1129,0.1184,0.1277,0.1221
0.525,1,0.914,-1.75,-0.47,5,76.3,20.46,0.1079,0.0168,0.142,0.002,0.014,-0.752,-1.175,76.89,11.68,1,-0.34,1,0.959,10.66,1.42,-4.708,1,5,0.1425,0.137,0.1518,0.137
