t,valid,conf,lat_mm,head_deg,bandas,contraste,larg_mm,vx,wz,odom_vx,odom_vy,odom_wz,volts,servo,f_valid,f_conf,f_lat_mm,f_head_deg,f_curv,f_curv_ok,f_bandas,fl,fr,rl,rr
2.315,1,0.779,-2.0,0.45,5,71.4,20.04,0.1507,0.004,0.132,0.008,0.019,12.54,1.95,1,0.858,-1.94,-0.09,1.762,1,5,0.1181,0.144,0.1366,0.131
2.383,1,0.783,-1.25,0.03,5,70.6,20.04,0.1719,0.0032,0.157,0.003,-0.058,12.54,1.95,1,0.869,-1.45,-0.69,-1.156,1,5,0.1502,0.1612,0.1576,0.1576
2.416,1,0.777,-1.5,1.07,5,70.3,20.04,0.1859,0.0064,0.159,0.003,-0.023,12.54,1.95,1,0.871,-1.45,-0.7,-1.153,1,5,0.1539,0.1631,0.1612,0.1576
2.482,1,0.769,-1.25,1.15,5,69.6,20.04,0.1866,-0.0178,0.165,0.006,0.004,12.53,0.28,1,0.841,1.45,-0.72,-0.106,1,5,0.1613,0.1706,0.1706,0.1558
2.515,1,0.802,-1.25,1.68,5,70.2,19.27,0.1627,-0.0189,0.171,0.006,-0.047,12.53,0.28,1,0.86,3.39,7.68,0.619,1,5,0.1651,0.1762,0.178,0.1651
2.545,1,0.805,-1.0,1.44,5,70.6,18.99,0.1694,-0.0332,0.174,0.006,-0.047,12.53,0.28,1,0.86,3.39,7.68,0.619,1,5,0.1651,0.1762,0.1836,0.1706
2.582,1,0.811,-1.25,2.04,5,71.2,19.85,0.1597,-0.0278,0.179,0.006,-0.046,12.53,0.28,1,0.878,3.39,6.75,0.084,1,5,0.1706,0.1817,0.1873,0.1743
2.613,1,0.811,-1.5,2.07,5,71.8,19.27,0.151,-0.0368,0.18,0.005,0.019,12.53,0.28,1,0.871,2.42,6.49,0.646,1,5,0.1743,0.1817,0.1873,0.1762
2.684,1,0.816,-1.75,2.02,5,71.4,19.85,0.1579,-0.0363,0.173,0.004,-0.083,12.53,1.6,1,0.874,3.39,6.61,1.798,1,5,0.1743,0.1743,0.1799,0.1632
2.716,1,0.82,-1.25,1.53,5,71.5,20.46,0.1717,-0.0358,0.165,0.0,-0.078,12.53,1.6,1,0.881,2.42,5.55,0.101,1,5,0.1651,0.1613,0.1688,0.1632
2.783,1,0.837,-1.25,1.1,5,72.2,20.04,0.1663,-0.0282,0.163,-0.0,-0.039,12.53,1.6,1,0.873,2.42,4.0,0.492,1,5,0.1669,0.1558,0.1706,0.1595
2.815,1,0.831,-0.75,0.74,5,71.4,20.46,0.1803,-0.0189,0.163,0.004,0.019,12.53,1.6,1,0.881,2.42,4.59,-2.01,1,5,0.1651,0.1632,0.1706,0.1521
2.845,1,0.827,-0.75,0.54,5,70.7,20.04,0.1698,-0.0142,0.162,0.005,0.003,12.53,1.6,1,0.881,2.42,4.59,-2.01,1,5,0.1632,0.1669,0.1669,0.1521
2.881,1,0.816,-0.75,1.17,5,69.6,20.04,0.1697,-0.0085,0.163,0.004,-0.116,12.52,1.97,1,0.887,2.42,5.54,0.112,1,5,0.1632,0.1706,0.1632,0.1558
2.916,1,0.814,-0.75,0.51,5,69.6,20.04,0.1835,-0.0262,0.168,0.003,0.012,12.52,1.97,1,0.88,2.42,3.7,-0.282,1,5,0.1669,0.1706,0.1669,0.1595
2.981,1,0.8,-0.5,0.72,5,71.5,19.51,0.1922,-0.0081,0.17,0.004,0.004,12.52,1.97,1,0.879,2.91,4.1,-0.898,1,5,0.1651,0.1688,0.178,0.1669
3.01,1,0.799,-0.25,0.6,5,71.1,20.46,0.19,-0.0168,0.17,0.004,-0.002,12.52,1.97,1,0.879,2.91,4.1,-0.898,1,5,0.1651,0.1725,0.1762,0.1669
3.082,1,0.798,-0.75,0.58,5,72.1,20.46,0.1898,-0.0155,0.185,0.001,0.04,12.52,2.36,1,0.877,2.42,3.7,-0.217,1,5,0.1855,0.1836,0.1892,0.1817
3.115,1,0.812,-0.75,0.48,5,72.5,20.04,0.1794,-0.008,0.19,0.002,-0.013,12.52,2.36,1,0.877,2.42,4.59,-2.058,1,5,0.191,0.1892,0.1947,0.1855
3.144,1,0.829,-0.75,0.79,5,72.7,20.04,0.1676,-0.0049,0.191,0.001,0.004,12.52,2.36,1,0.877,2.42,4.59,-2.058,1,5,0.191,0.1892,0.1947,0.1873
3.182,1,0.823,-0.75,0.77,5,73.0,20.04,0.1685,-0.013,0.185,-0.001,-0.054,12.52,2.36,1,0.885,2.42,5.56,-1.506,1,5,0.1836,0.1855,0.1817,0.1892
3.215,1,0.823,-1.25,0.92,5,73.4,20.04,0.1824,-0.014,0.185,-0.001,0.031,12.52,2.36,1,0.881,2.42,3.99,0.627,1,5,0.1836,0.1817,0.1799,0.1892
3.282,1,0.858,-1.25,0.37,5,73.7,20.0,0.1934,-0.0137,0.183,-0.001,0.014,12.52,2.36,1,0.89,2.42,3.02,-0.0,1,5,0.1855,0.1817,0.1817,0.1836
3.314,1,0.86,-1.25,0.38,5,74.7,19.45,0.1987,0.0011,0.179,-0.006,0.001,12.52,2.36,1,0.884,2.42,3.7,1.446,1,5,0.1855,0.1743,0.1725,0.1855
3.381,1,0.848,-0.75,0.53,5,74.0,20.04,0.1626,0.0022,0.191,-0.003,-0.032,12.52,2.36,1,0.892,2.42,5.55,-1.514,1,5,0.1929,0.1892,0.1873,0.1947
3.415,1,0.839,-0.75,0.51,5,73.5,20.04,0.1624,-0.0076,0.195,0.0,-0.03,12.52,2.36,1,0.893,3.39,4.53,0.732,1,5,0.1947,0.191,0.1929,0.1947
3.58,1,0.86,-1.5,0.63,5,75.1,19.97,0.1815,-0.0074,0.185,-0.001,-0.049,12.52,2.36,1,0.893,2.42,3.34,0.693,1,5,0.1873,0.1855,0.1817,0.1855
3.616,1,0.858,-1.75,0.53,5,74.8,20.04,0.172,-0.0008,0.177,-0.002,-0.075,12.52,2.36,1,0.889,-3.39,-4.02,-3.357,1,5,0.1836,0.1817,0.1799,0.1817
3.68,1,0.869,-1.75,0.52,5,75.1,20.0,0.1744,0.0034,0.178,0.001,-0.007,12.52,3.17,1,0.905,-2.42,-5.55,-0.121,1,5,0.1799,0.1762,0.1817,0.1743
3.713,1,0.861,-1.75,0.26,5,74.7,20.04,0.1638,0.0037,0.178,0.001,-0.031,12.52,3.17,1,0.905,-2.42,-3.98,-2.248,1,5,0.1799,0.1762,0.1817,0.1743
3.781,1,0.852,-1.75,0.34,5,73.9,20.0,0.1638,0.0098,0.172,-0.002,0.004,12.52,3.17,1,0.892,-2.91,-3.63,-1.681,1,5,0.1763,0.1671,0.1726,0.1726
3.817,1,0.829,-1.75,0.22,5,73.1,20.0,0.1777,0.007,0.171,-0.0,-0.025,12.52,3.17,1,0.899,-2.42,-3.67,-1.515,1,5,0.171,0.171,0.1692,0.171
3.88,1,0.837,-2.0,0.66,5,72.8,19.97,0.1892,0.0098,0.168,0.0,0.022,12.51,1.6,1,0.9,-2.42,-3.66,-1.48,1,5,0.1645,0.1698,0.1662,0.1698
3.913,1,0.841,-2.0,0.67,5,72.5,19.97,0.183,0.0009,0.167,0.001,-0.017,12.51,1.6,1,0.906,-2.42,-3.96,-2.234,1,5,0.1624,0.1714,0.166,0.1696
3.945,1,0.838,-1.75,0.26,5,72.0,20.0,0.1707,0.0014,0.169,0.001,0.029,12.51,1.6,1,0.906,-2.42,-3.96,-2.234,1,5,0.1651,0.1706,0.1706,0.1706
3.98,1,0.835,-0.75,0.46,5,71.9,20.0,0.1642,0.0091,0.175,-0.002,0.007,12.51,1.6,1,0.895,-1.45,-2.73,-2.219,1,5,0.1725,0.1743,0.1725,0.1817
4.009,1,0.838,-1.0,0.79,5,71.8,20.0,0.1645,-0.0086,0.179,-0.001,-0.02,12.51,1.6,1,0.895,-1.45,-2.73,-2.219,1,5,0.1743,0.1817,0.1743,0.1855
4.081,1,0.826,-1.25,0.92,5,71.5,20.04,0.1645,-0.0118,0.172,0.002,-0.123,12.51,-0.1,1,0.882,2.42,4.66,-2.021,1,5,0.1688,0.178,0.1706,0.1706
4.115,1,0.839,-1.25,0.38,5,71.7,20.0,0.1695,-0.0123,0.166,-0.0,0.018,12.51,-0.1,1,0.895,2.42,3.31,0.695,1,5,0.1651,0.1669,0.1706,0.1688
4.18,1,0.834,-1.25,0.38,5,72.0,20.0,0.1904,0.0007,0.166,-0.0,0.009,12.51,-0.1,1,0.898,2.42,2.41,-1.508,1,5,0.1632,0.1632,0.1688,0.1706
4.208,1,0.829,-1.25,0.38,5,71.9,20.0,0.1823,0.0009,0.167,-0.0,0.017,12.51,-0.1,1,0.898,2.42,2.41,-1.508,1,5,0.1669,0.1669,0.1669,0.1688
4.243,1,0.837,-1.25,0.34,5,72.8,19.51,0.1823,0.001,0.169,-0.0,-0.05,12.51,-0.1,1,0.898,2.42,2.41,-1.508,1,5,0.1725,0.1706,0.1669,0.1669
4.281,1,0.828,-1.0,0.15,5,72.5,19.97,0.1823,0.0019,0.174,0.0,-0.021,12.51,-0.74,1,0.896,2.42,2.41,-1.53,1,5,0.1743,0.1743,0.1743,0.1725
4.307,1,0.834,-1.25,0.49,5,72.6,19.51,0.1817,0.004,0.178,0.004,-0.009,12.51,-0.74,1,0.896,2.42,2.41,-1.53,1,5,0.1743,0.1817,0.1817,0.1743
4.381,1,0.859,-1.5,0.7,5,73.3,19.51,0.1805,-0.002,0.181,0.003,-0.049,12.51,-0.74,1,0.899,1.94,2.91,-0.912,1,5,0.1799,0.1817,0.1855,0.1762
4.409,1,0.865,-1.25,0.43,5,73.3,20.04,0.1871,-0.0051,0.177,0.0,-0.081,12.51,-0.74,1,0.899,1.94,2.91,-0.912,1,5,0.178,0.1743,0.1799,0.1743
4.482,1,0.871,-1.25,0.46,5,73.6,20.0,0.1998,-0.0014,0.183,0.001,-0.018,12.52,-0.43,1,0.887,1.45,3.43,-2.004,1,5,0.1776,0.1813,0.1869,0.185
4.509,1,0.859,-1.0,0.22,5,73.0,19.97,0.1883,-0.0018,0.185,0.0,0.017,12.52,-0.43,1,0.887,1.45,3.43,-2.004,1,5,0.1813,0.185,0.1869,0.1887
4.581,1,0.865,-1.25,0.03,5,73.1,20.0,0.184,0.0024,0.187,-0.0,0.018,12.52,-0.43,1,0.897,1.45,0.88,-2.183,1,5,0.1873,0.1855,0.1873,0.1873
4.68,1,0.843,-1.25,0.17,5,71.7,19.45,0.1869,0.0107,0.186,0.002,-0.055,12.52,-0.87,1,0.901,1.45,0.22,-1.864,1,5,0.1836,0.1929,0.1836,0.1836
4.708,1,0.827,-1.25,-0.21,5,72.0,19.45,0.1758,0.0069,0.18,0.0,-0.025,12.52,-0.87,1,0.901,1.45,0.22,-1.864,1,5,0.1817,0.1855,0.1743,0.178
4.744,1,0.833,-0.75,0.5,5,72.3,20.0,0.1734,0.0167,0.177,-0.0,-0.024,12.52,-0.87,1,0.901,1.45,0.22,-1.864,1,5,0.178,0.178,0.1743,0.1762
4.779,1,0.824,-0.75,0.4,5,72.2,20.0,0.1484,-0.0061,0.179,0.002,-0.009,12.52,-0.87,1,0.897,1.45,-0.26,-1.005,1,5,0.1743,0.178,0.1836,0.178
4.813,1,0.846,-0.5,-0.4,5,72.5,19.97,0.1462,-0.0033,0.179,0.004,0.002,12.52,-0.87,1,0.897,1.45,-0.26,-1.005,1,5,0.1725,0.1799,0.1855,0.1762
4.88,1,0.869,-1.0,0.02,5,73.7,19.97,0.1468,0.0126,0.16,0.003,0.008,12.51,-0.87,1,0.903,0.97,-1.13,-3.474,1,5,0.1576,0.1632,0.1632,0.1558
4.908,1,0.866,-0.75,0.19,5,74.1,20.0,0.1357,0.0095,0.16,0.002,0.033,12.51,-0.87,1,0.903,0.97,-1.13,-3.474,1,5,0.1576,0.1595,0.1651,0.1576
4.942,1,0.858,-0.75,0.04,5,73.8,20.0,0.1331,0.0025,0.159,0.0,-0.018,12.51,-0.87,1,0.903,0.97,-1.13,-3.474,1,5,0.158,0.1561,0.1635,0.1598
4.98,1,0.861,-0.75,0.31,5,74.1,20.0,0.1331,0.0058,0.154,0.002,-0.024,12.51,-0.87,1,0.888,5.33,5.12,-3.441,1,5,0.1539,0.1539,0.1594,0.1502
5.007,1,0.883,-1.25,0.37,5,73.8,19.85,0.134,-0.0,0.149,0.002,-0.088,12.51,-0.87,1,0.888,5.33,5.12,-3.441,1,5,0.1502,0.1502,0.1521,0.1447
5.042,1,0.868,-1.5,0.46,5,74.0,19.97,0.134,0.0048,0.139,0.0,-0.061,12.51,-0.87,1,0.888,5.33,5.12,-3.441,1,5,0.1436,0.1399,0.1399,0.1344
5.078,1,0.863,-1.75,0.37,5,73.9,20.0,0.134,0.0054,0.136,-0.0,0.014,12.51,-2.07,1,0.905,4.36,3.9,-3.513,1,5,0.1411,0.1356,0.1356,0.1319
5.109,1,0.873,-1.75,0.34,5,74.1,20.0,0.1322,0.0102,0.134,0.001,-0.009,12.51,-2.07,1,0.905,4.36,3.9,-3.513,1,5,0.1361,0.1325,0.1379,0.1307
5.142,1,0.87,-1.75,0.29,5,74.3,20.0,0.1322,0.0101,0.134,0.003,-0.024,12.51,-2.07,1,0.905,4.36,3.9,-3.513,1,5,0.1295,0.1313,0.1422,0.1313
5.175,1,0.879,-1.75,-0.44,5,74.6,19.45,0.1322,0.0106,0.13,0.001,0.02,12.51,-2.07,1,0.905,4.36,3.9,-3.513,1,5,0.1249,0.1267,0.1359,0.1322
5.208,1,0.87,-1.75,0.1,5,74.6,19.45,0.1322,0.0255,0.128,0.0,0.026,12.51,-2.07,1,0.905,4.36,3.9,-3.513,1,5,0.1261,0.128,0.128,0.128
5.28,1,0.878,-1.75,-0.44,5,74.5,19.45,0.146,0.0138,0.124,-0.002,-0.004,12.51,-3.77,1,0.89,8.72,12.17,-1.941,1,5,0.1273,0.1273,0.1163,0.1255
5.308,1,0.869,-2.25,0.14,5,74.7,20.0,0.1528,0.0262,0.125,-0.001,-0.007,12.51,-3.77,1,0.89,8.72,12.17,-1.941,1,5,0.1237,0.1273,0.12,0.1292
5.38,1,0.853,-1.75,0.01,5,73.8,20.0,0.1381,0.0182,0.133,0.003,0.013,12.51,-3.77,1,0.894,9.21,12.92,-1.855,1,5,0.1234,0.1381,0.1326,0.1362
5.407,1,0.845,-1.75,-0.19,5,73.8,19.45,0.145,0.0144,0.137,0.003,0.034,12.51,-3.77,1,0.894,9.21,12.92,-1.855,1,5,0.1307,0.1436,0.1362,0.1362
5.443,1,0.865,-2.0,-0.2,5,73.8,19.45,0.1585,0.0198,0.138,0.001,-0.069,12.51,-3.77,1,0.894,9.21,12.92,-1.855,1,5,0.1344,0.1436,0.1344,0.1381
5.48,1,0.867,-1.75,-0.33,5,73.8,20.0,0.1585,0.0231,0.142,0.002,0.011,12.52,-3.08,1,0.902,8.24,12.65,-1.444,1,5,0.1391,0.1465,0.1409,0.1409
5.508,1,0.828,-1.75,-1.02,5,73.0,19.45,0.1598,0.0233,0.145,0.0,0.002,12.52,-3.08,1,0.902,8.24,12.65,-1.444,1,5,0.1409,0.1484,0.1428,0.1484
5.542,1,0.849,-1.75,-0.89,5,73.3,20.0,0.1474,0.0387,0.156,0.002,0.057,12.52,-3.08,1,0.902,8.24,12.65,-1.444,1,5,0.1521,0.1595,0.1558,0.1558
5.579,1,0.858,-1.25,-0.31,5,73.7,19.45,0.1598,0.0372,0.156,0.003,0.053,12.52,-3.08,1,0.874,9.69,13.1,-2.644,1,5,0.1502,0.1669,0.1521,0.1558
5.61,1,0.842,-1.25,-0.64,5,73.2,19.45,0.1539,0.0171,0.153,0.003,-0.025,12.52,-3.08,1,0.874,9.69,13.1,-2.644,1,5,0.1465,0.1651,0.1484,0.1539
5.68,1,0.853,-1.25,-0.72,5,73.9,19.45,0.1403,0.0246,0.154,0.0,0.063,12.52,-1.69,1,0.866,8.24,11.42,-4.857,1,5,0.1447,0.1595,0.1502,0.1632
5.707,1,0.829,-1.25,-0.18,5,74.1,20.0,0.1287,0.0252,0.156,0.0,0.053,12.52,-1.69,1,0.866,8.24,11.42,-4.857,1,5,0.1465,0.1595,0.1539,0.1651
5.742,1,0.843,-1.25,0.15,5,74.2,20.0,0.104,0.014,0.156,-0.001,0.048,12.52,-1.69,1,0.866,8.24,11.42,-4.857,1,5,0.1539,0.1576,0.1521,0.1595
5.778,1,0.842,-1.25,0.39,5,74.7,20.0,0.0986,0.0083,0.146,-0.004,-0.045,12.52,-1.69,1,0.851,9.21,11.53,-1.813,1,5,0.1499,0.148,0.1351,0.1499
5.808,1,0.852,-1.25,0.13,5,74.7,20.0,0.1054,0.0042,0.142,-0.006,-0.031,12.52,-1.69,1,0.851,9.21,11.53,-1.813,1,5,0.148,0.1443,0.1277,0.1462
5.848,1,0.829,-1.25,-0.16,5,74.3,20.0,0.1196,0.0086,0.137,-0.006,-0.012,12.52,-1.69,1,0.815,4.36,4.51,-0.506,1,5,0.1388,0.1388,0.124,0.1462
5.879,1,0.831,-1.75,0.1,5,74.2,20.0,0.1336,0.0146,0.135,-0.003,0.032,12.51,-0.91,1,0.795,4.36,5.5,0.455,1,5,0.1314,0.1332,0.1314,0.1443
5.907,1,0.857,-1.75,0.14,5,74.5,19.59,0.1404,0.0152,0.133,-0.002,-0.011,12.51,-0.91,1,0.795,4.36,5.5,0.455,1,5,0.1295,0.1277,0.1332,0.1406
5.976,1,0.855,-2.25,0.26,5,74.2,20.0,0.1687,0.0128,0.124,-0.001,-0.015,12.51,-0.91,1,0.74,4.36,4.48,-1.082,1,4,0.128,0.1224,0.1224,0.1224
6.007,1,0.843,-2.25,0.05,5,73.8,20.0,0.1754,0.0156,0.127,-0.0,-0.04,12.51,-0.91,1,0.74,4.36,4.48,-1.082,1,4,0.128,0.128,0.1243,0.1261
6.107,1,0.844,-1.75,0.87,5,72.7,20.0,0.1725,0.0196,0.159,0.002,0.02,12.51,-0.19,1,0.728,4.36,5.43,-0.0,1,4,0.1521,0.1651,0.1576,0.1632
6.179,1,0.838,-1.5,0.5,5,72.5,19.97,0.1632,-0.0066,0.165,0.001,-0.1,12.51,-0.19,1,0.722,4.36,5.5,-5.168,1,4,0.1591,0.1684,0.1647,0.1684
6.207,1,0.827,-1.75,0.48,5,72.1,20.0,0.1516,0.0004,0.166,0.002,-0.09,12.51,-0.19,1,0.722,4.36,5.5,-5.168,1,4,0.1591,0.1702,0.1647,0.1684
6.278,1,0.843,-1.75,0.53,5,73.4,20.0,0.1031,0.0072,0.165,0.002,0.018,12.51,0.26,1,0.722,4.36,5.5,-5.168,1,4,0.1613,0.1688,0.1651,0.1632
6.314,1,0.858,-1.75,0.12,5,74.0,20.0,0.0974,0.0064,0.161,0.001,0.024,12.51,0.26,1,0.712,0.48,-1.89,-6.746,1,4,0.1595,0.1632,0.1613,0.1595
6.379,1,0.85,-1.75,0.62,5,73.6,20.0,0.0996,0.0136,0.14,-0.006,-0.052,12.51,0.26,1,0.703,0.48,-1.98,-1.35,1,4,0.1429,0.1301,0.1374,0.1484
6.415,1,0.857,-2.0,0.06,5,73.3,20.0,0.1135,0.0045,0.134,-0.003,-0.005,12.51,0.26,1,0.692,-0.48,-2.51,-3.241,1,4,0.1374,0.1283,0.1338,0.1356
6.481,1,0.861,-2.75,0.1,5,73.8,20.0,0.1346,0.0173,0.124,-0.002,-0.009,12.49,-1.04,1,0.682,-0.48,-1.29,5.261,1,4,0.1332,0.1203,0.124,0.1203
