t,valid,conf,lat_mm,head_deg,bandas,contraste,larg_mm,vx,wz,odom_vx,odom_vy,odom_wz,volts,servo,f_valid,f_conf,f_lat_mm,f_head_deg,f_curv,f_curv_ok,f_bandas,fl,fr,rl,rr
0.046,1,0.828,0.25,0.14,5,73.4,20.0,0.014,-0.0046,0.0,0.0,-0.005,12.55,0.0,1,0.834,7.27,10.37,2.855,1,5,0.0,0.0,0.0,0.0
0.217,1,0.827,0.0,0.0,5,73.3,19.97,0.0772,-0.0046,0.01,-0.005,-0.021,12.55,0.58,1,0.842,2.42,3.02,0.0,1,5,0.0111,0.0037,0.0074,0.0185
0.253,1,0.83,-0.25,0.22,5,73.5,19.45,0.0911,0.0007,0.015,-0.003,-0.043,12.55,0.58,1,0.808,-1.45,1.7,0.595,1,5,0.0148,0.0074,0.0167,0.0223
0.317,1,0.836,-0.25,0.13,5,73.8,19.27,0.1121,-0.0009,0.048,0.002,-0.004,12.55,3.31,1,0.844,-2.42,-5.53,-0.118,1,5,0.0389,0.0315,0.0445,0.0334
0.453,1,0.82,-1.25,0.02,5,73.7,19.45,0.1611,-0.0007,0.112,0.003,0.026,12.55,3.31,1,0.844,-2.91,-6.49,-0.851,1,5,0.1084,0.1084,0.1212,0.1102
0.517,1,0.812,-1.0,-0.61,5,74.2,19.97,0.1821,0.013,0.154,0.001,-0.004,12.55,2.39,1,0.844,-2.91,-6.49,-0.851,1,5,0.1462,0.1407,0.1499,0.1407
0.554,1,0.783,-1.0,-0.99,5,74.0,20.0,0.1755,0.0259,0.173,0.003,-0.011,12.55,2.39,1,0.845,-3.39,-7.72,-2.33,1,5,0.1639,0.162,0.1694,0.1583
0.654,1,0.8,-1.75,-0.48,5,74.1,20.04,0.1584,0.0333,0.197,0.005,-0.074,12.55,2.39,1,0.821,-0.97,-5.49,-2.234,1,5,0.1915,0.2007,0.2025,0.1915
0.717,1,0.801,-1.75,-0.65,5,74.4,20.46,0.168,0.0296,0.195,-0.001,-0.005,12.55,-0.83,1,0.847,-0.48,-0.61,0.0,1,5,0.1966,0.1966,0.191,0.1947
0.817,1,0.805,-2.5,-0.05,5,75.2,20.57,0.1798,0.0339,0.196,-0.001,-0.006,12.55,-0.83,1,0.856,-0.48,-0.64,-1.608,1,5,0.1929,0.1929,0.191,0.2003
0.851,1,0.809,-2.5,-0.22,5,75.5,20.56,0.1908,0.0264,0.196,-0.001,0.023,12.55,-0.83,1,0.803,4.36,6.88,-0.349,1,5,0.1892,0.1947,0.1947,0.2059
0.919,1,0.803,-2.25,0.28,5,76.1,20.56,0.1634,0.0293,0.198,-0.004,-0.02,12.55,-1.64,1,0.84,5.33,11.2,2.606,1,5,0.1929,0.1966,0.191,0.2114
0.946,1,0.804,-2.5,-0.21,5,76.2,20.57,0.1548,0.0138,0.202,-0.004,0.04,12.55,-1.64,1,0.84,5.33,11.2,2.606,1,5,0.1984,0.2021,0.1929,0.2133
0.984,1,0.823,-2.5,-0.65,5,76.0,20.57,0.1548,0.0284,0.204,-0.008,-0.001,12.55,-1.64,1,0.834,4.85,9.51,2.26,1,5,0.2075,0.2057,0.1873,0.2167
1.015,1,0.821,-2.5,-0.34,5,75.6,20.57,0.1406,0.0373,0.202,-0.011,-0.014,12.55,-1.64,1,0.83,4.36,10.75,4.164,1,5,0.2094,0.2002,0.1837,0.2167
1.052,1,0.821,-2.5,-0.32,5,75.5,20.57,0.1168,0.0292,0.194,-0.013,0.032,12.55,-1.64,1,0.828,4.36,10.39,5.321,1,5,0.2039,0.1855,0.1763,0.2094
1.087,1,0.803,-2.99,0.41,5,75.7,20.57,0.1043,0.0282,0.189,-0.009,0.013,12.55,0.02,1,0.837,3.88,11.13,4.766,1,5,0.1947,0.1817,0.178,0.2021
1.186,1,0.857,-3.74,0.31,5,75.7,20.46,0.0862,0.0205,0.172,-0.016,0.028,12.55,0.02,1,0.832,-0.97,6.17,-0.211,1,5,0.1817,0.1613,0.1502,0.1929
1.218,1,0.857,-4.24,0.68,5,75.3,20.0,0.1,0.0309,0.165,-0.016,-0.028,12.55,0.02,1,0.816,-4.85,0.31,1.514,1,5,0.1762,0.1521,0.1447,0.1855
1.352,1,0.812,-7.24,1.15,5,75.6,20.56,0.1489,0.0235,0.135,-0.016,-0.001,12.55,3.76,1,0.86,-8.72,-1.25,-1.909,1,5,0.1558,0.1113,0.128,0.1465
1.386,1,0.823,-7.74,0.82,5,75.5,20.56,0.1533,0.049,0.136,-0.013,-0.007,12.55,3.76,1,0.861,-9.69,-1.4,-1.445,1,5,0.1595,0.1187,0.1261,0.1391
1.484,1,0.829,-7.49,-0.21,5,74.4,20.04,0.1341,0.0566,0.145,-0.002,0.004,12.55,3.6,1,0.861,-8.24,-4.25,2.305,1,5,0.1372,0.1447,0.1409,0.1558
1.517,1,0.83,-7.49,0.54,5,74.1,20.0,0.1479,0.0742,0.144,0.002,0.017,12.55,3.6,1,0.861,-8.24,-4.25,2.305,1,5,0.1298,0.1465,0.1409,0.1558
1.546,1,0.828,-7.24,-0.6,5,73.4,20.0,0.1458,0.0568,0.145,0.001,0.033,12.55,3.6,1,0.863,-8.24,-3.22,2.966,1,5,0.1298,0.1502,0.1409,0.1576
1.583,1,0.834,-6.74,-0.67,5,72.6,20.46,0.1458,0.0791,0.145,-0.001,-0.001,12.55,3.6,1,0.863,-8.24,-3.22,2.966,1,5,0.1354,0.1502,0.1372,0.1558
1.612,1,0.831,-6.74,-0.8,5,72.1,20.0,0.1595,0.0758,0.147,-0.001,0.06,12.55,3.6,1,0.867,-7.27,-3.69,-0.722,1,5,0.1409,0.1539,0.1372,0.1558
1.716,1,0.789,-5.99,0.16,5,70.2,20.04,0.1423,0.0781,0.143,0.0,0.057,12.55,2.37,1,0.856,-5.82,-2.0,2.566,1,5,0.1354,0.1539,0.1354,0.1539
1.785,1,0.779,-3.99,-0.02,5,68.9,20.56,0.1559,0.0482,0.146,-0.002,0.041,12.55,2.37,1,0.86,-3.39,-1.37,0.779,1,5,0.1372,0.1539,0.1335,0.1595
1.854,1,0.793,-3.49,1.75,5,69.5,19.27,0.1129,0.0319,0.145,0.005,-0.005,12.55,2.37,1,0.862,-2.42,-0.48,0.069,1,5,0.128,0.1595,0.1391,0.1521
1.885,1,0.773,-3.74,2.2,5,70.0,18.98,0.1004,-0.0043,0.14,0.005,-0.027,12.54,3.17,1,0.869,-2.91,0.97,-0.447,1,5,0.1224,0.1484,0.1409,0.1484
1.916,1,0.776,-4.74,3.18,5,71.1,18.98,0.0903,-0.0074,0.134,-0.001,0.022,12.54,3.17,1,0.87,-2.91,1.33,1.92,1,5,0.1243,0.1298,0.1354,0.1447
1.949,1,0.769,-4.49,3.26,5,71.4,18.36,0.0972,-0.0115,0.13,-0.003,-0.035,12.54,3.17,1,0.861,-4.36,2.04,0.367,1,5,0.1261,0.1205,0.1335,0.1409
1.983,1,0.766,-4.74,3.35,5,71.3,19.27,0.1118,-0.018,0.125,-0.005,-0.022,12.54,3.17,1,0.838,-8.24,-3.21,1.119,1,5,0.1298,0.1131,0.1261,0.1298
2.016,1,0.768,-4.99,3.51,5,71.5,19.27,0.1255,-0.0233,0.118,-0.003,0.001,12.54,3.17,1,0.872,-9.21,-7.71,-4.497,1,5,0.1317,0.1131,0.1168,0.1113
2.084,1,0.775,-3.99,1.98,5,71.5,19.51,0.1081,-0.0155,0.111,0.003,-0.051,12.54,5.68,1,0.869,-8.72,-8.3,0.082,1,5,0.1168,0.1131,0.115,0.0983
2.116,1,0.77,-3.99,1.67,5,71.6,19.97,0.122,-0.0048,0.109,0.003,-0.02,12.54,5.68,1,0.869,-8.72,-8.3,0.082,1,5,0.1086,0.1068,0.116,0.1031
2.144,1,0.78,-3.74,1.45,5,71.9,20.04,0.1288,0.0001,0.107,0.001,-0.017,12.54,5.68,1,0.876,-8.72,-8.45,1.735,1,5,0.1068,0.1049,0.1123,0.1049
2.183,1,0.79,-3.74,1.04,5,72.2,19.51,0.1431,-0.0005,0.107,0.0,0.004,12.54,5.68,1,0.879,-8.24,-9.29,2.083,1,5,0.1058,0.1058,0.1094,0.1076
2.284,1,0.785,-2.5,0.63,5,71.5,19.97,0.1744,0.0058,0.125,0.008,0.035,12.54,1.95,1,0.847,-5.33,-9.17,-4.247,1,5,0.1081,0.1356,0.1301,0.1246
